date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.005243	0.005275	0.004525	0.005114	2,729.41	0
Dec 15, 2020	0.005389	0.005599	0.005155	0.005244	355.41	0
Dec 14, 2020	0.005743	0.005743	0.004958	0.005389	4,817.79	0
Dec 13, 2020	0.004513	0.005814	0.004318	0.005742	1,890.32	0
Dec 12, 2020	0.005418	0.005539	0.003310	0.004513	16,201.42	0
Dec 11, 2020	0.005480	0.005759	0.005111	0.005417	1,680.81	0
Dec 10, 2020	0.006123	0.006807	0.005240	0.005479	6,999.12	0
Dec 09, 2020	0.005313	0.006519	0.004729	0.006123	648.60	0
Dec 08, 2020	0.007869	0.007886	0.005298	0.005315	4,276.71	0
Dec 07, 2020	0.008509	0.009600	0.005703	0.007871	6,035.48	0
Dec 06, 2020	0.008045	0.010903	0.003988	0.008508	5,238.17	0
Dec 05, 2020	0.001496	0.008041	0	0.008041	6,404.81	0
Dec 04, 2020	0.001556	0.001561	0.001496	0.001501	271.01	0
Dec 03, 2020	0.001344	0.001561	0	0.001555	33.23	0
Dec 02, 2020	0.001316	0.001352	0.001284	0.001344	146.16	0
Dec 01, 2020	0.001178	0.001360	0.001159	0.001316	260.35	0
Nov 30, 2020	0.001272	0.001303	0.001102	0.001178	473.54	0
Nov 29, 2020	0.001417	0.001451	0.000907	0.001272	286.81	0
Nov 28, 2020	0.001369	0.001428	0.001184	0.001417	0	0
Nov 27, 2020	0	0.002012	0	0.001369	120.57	0
Nov 26, 2020	0	0	0	0	0	0
Nov 25, 2020	0.002102	0.002133	0	0	0	0
Nov 24, 2020	0.001837	0.002128	0.001813	0.002102	115.22	0
Nov 23, 2020	0.002021	0.002058	0.001828	0.001835	307.12	0
Nov 22, 2020	0.002237	0.002243	0.002021	0.002021	0	0
Nov 21, 2020	0	0.002242	0	0.002237	59.09	0
Nov 20, 2020	0.002138	0.002253	0	0	0	0
Nov 19, 2020	0.002315	0.002344	0.002086	0.002138	91.04	0
Nov 18, 2020	0	0.002369	0	0.002314	0	0
Nov 17, 2020	0	0	0	0	0	0
Nov 16, 2020	0	0	0	0	0	0
Nov 15, 2020	0	0	0	0	0	0
Nov 14, 2020	0.001958	0.001958	0	0	0	0
Nov 13, 2020	0.002116	0.002140	0	0.001958	0	0
Nov 12, 2020	0.002041	0.002120	0.002020	0.002116	2.44	0
Nov 11, 2020	0	0.002069	0	0.002041	80.67	0
Nov 10, 2020	0.001840	0.001849	0	0	0	0
Nov 09, 2020	0.001858	0.001894	0.001784	0.001840	7.36	0
Nov 08, 2020	0.001780	0.001876	0.001769	0.001857	0	0
Nov 07, 2020	0.001868	0.001877	0.001713	0.001780	326.88	0
Nov 06, 2020	0.002337	0.002386	0	0.001868	131.93	0
Nov 05, 2020	0.001979	0.002356	0.001974	0.002334	243.34	0
Nov 04, 2020	0.002093	0.002096	0.001943	0.001979	319.73	0
Nov 03, 2020	0.002168	0.002226	0.001913	0.002092	361.43	0
Nov 02, 2020	0.002198	0.002209	0.002119	0.002168	283.45	0
Nov 01, 2020	0.002067	0.002215	0.002044	0.002194	397.76	0
Oct 31, 2020	0.002438	0.002467	0.001626	0.002067	297.33	0
Oct 30, 2020	0.002553	0.002589	0.002292	0.002442	0	0
Oct 29, 2020	0.002654	0.002715	0	0.002555	5.89	0
Oct 28, 2020	0.002867	0.002906	0	0.002655	1.85	0
Oct 27, 2020	0.002746	0.002958	0.002743	0.002867	137.87	0
Oct 26, 2020	0.002737	0.002906	0.002693	0.002746	167.91	0
Oct 25, 2020	0.003015	0.003259	0.002583	0.002737	0	0
Oct 24, 2020	0.003104	0.003106	0.002970	0.003015	331.08	0
Oct 23, 2020	0.002853	0.003114	0.002806	0.003104	365.54	0
Oct 22, 2020	0.002693	0.003005	0.002671	0.002853	0	0
Oct 21, 2020	0.002860	0.002947	0.002440	0.002693	236.94	0
Oct 20, 2020	0.002818	0.002880	0.002804	0.002860	145.93	0
Oct 19, 2020	0.002986	0.003032	0.002791	0.002818	0	0
Oct 18, 2020	0.002953	0.002986	0.002950	0.002986	290.47	0
Oct 17, 2020	0.002944	0.002960	0.002934	0.002953	314.26	0
Oct 16, 2020	0.002989	0.003000	0.002918	0.002944	0	0
Oct 15, 2020	0.002972	0.003008	0.002939	0.002989	331.10	0
Oct 14, 2020	0.002971	0.003000	0.002940	0.002972	245.46	0
Oct 13, 2020	0.003004	0.003004	0.002944	0.002971	307.21	0
Oct 12, 2020	0.002960	0.003042	0.002923	0.003004	0	0
Oct 11, 2020	0.002937	0.002971	0.002935	0.002960	145.21	0
Oct 10, 2020	0.002877	0.003089	0.002875	0.002937	118.38	0
Oct 09, 2020	0.002838	0.002887	0.002820	0.002877	36.51	0
Oct 08, 2020	0.003094	0.003094	0.002746	0.002838	721.52	0
Oct 07, 2020	0.003075	0.003097	0.003063	0.003094	197.37	0
Oct 06, 2020	0.003022	0.003215	0.003009	0.003075	144.22	0
Oct 05, 2020	0.002987	0.003022	0.002978	0.003022	257.95	0
Oct 04, 2020	0.002848	0.003096	0.002739	0.002987	0	0
Oct 03, 2020	0.003067	0.003067	0.002741	0.002848	265.84	0
Oct 02, 2020	0.003504	0.003730	0.002949	0.003067	253.82	0
Oct 01, 2020	0.003559	0.003608	0.003395	0.003398	254.88	0
Sep 30, 2020	0.003579	0.003580	0.003427	0.003559	326.78	0
Sep 29, 2020	0.003427	0.003579	0.003315	0.003579	291.73	0
Sep 28, 2020	0.003340	0.003721	0.003340	0.003427	140.30	0
Sep 27, 2020	0.003440	0.003457	0.002974	0.003448	356.66	0
Sep 26, 2020	0.002887	0.003542	0.002880	0.003440	281.67	0
Sep 25, 2020	0.002798	0.003118	0.002757	0.002887	274.80	0
Sep 24, 2020	0.002869	0.002983	0.002774	0.002798	209.82	0
Sep 23, 2020	0.002949	0.003051	0.002753	0.002869	222.34	0
Sep 22, 2020	0.002925	0.003061	0.002802	0.002950	278.56	0
Sep 21, 2020	0.003060	0.003176	0.002834	0.002926	256.10	0
Sep 20, 2020	0.003216	0.003264	0.003024	0.003060	297.19	0
Sep 19, 2020	0.003390	0.003630	0.003089	0.003216	248.79	0
Sep 18, 2020	0.003064	0.003496	0.002931	0.003389	110.60	0
Sep 17, 2020	0.003728	0.003754	0.002395	0.003064	332.67	0
Sep 16, 2020	0.003561	0.003977	0.003211	0.003728	240.96	0
Sep 15, 2020	0.003417	0.004001	0.003258	0.003562	312.20	0
Sep 14, 2020	0.003409	0.003535	0.002928	0.003416	285.32	0
Sep 13, 2020	0.003240	0.003510	0.003230	0.003408	213.97	0
Sep 12, 2020	0.002912	0.003250	0.002884	0.003240	171.12	0
Sep 11, 2020	0.003208	0.003414	0.002902	0.002912	225.91	0
Sep 10, 2020	0.002968	0.003311	0.002968	0.003208	270.41	0
Sep 09, 2020	0.003038	0.004212	0.002628	0.002967	491.66	0
Sep 08, 2020	0.002799	0.003709	0.002499	0.003038	366.33	0
Sep 07, 2020	0.002977	0.002990	0.002437	0.002798	190.43	0
Sep 06, 2020	0.002948	0.003078	0.002857	0.002976	306.22	0
Sep 05, 2020	0.002936	0.003377	0.002777	0.002948	346.72	0
Sep 04, 2020	0.002654	0.003449	0.002256	0.002936	486.75	0
Sep 03, 2020	0.002962	0.003059	0.002630	0.002653	234.67	0
Sep 02, 2020	0.003103	0.003108	0.002825	0.002963	163.31	0
Sep 01, 2020	0.003150	0.003268	0.003026	0.003103	277.59	0
Aug 31, 2020	0.003747	0.003751	0.003130	0.003151	267.27	0
Aug 30, 2020	0.004023	0.004427	0.003018	0.003747	509.63	0
Aug 29, 2020	0.006112	0.006139	0.002537	0.004024	4,087.37	0
Aug 28, 2020	0.006108	0.006270	0.006032	0.006110	294.37	0
Aug 27, 2020	0.006199	0.006361	0.005915	0.006108	278.02	0
Aug 26, 2020	0.006128	0.006225	0.005985	0.006201	266.49	0
Aug 25, 2020	0.006355	0.006356	0.005985	0.006135	333.29	0
Aug 24, 2020	0.006295	0.006486	0.005294	0.006356	340.90	0
Aug 23, 2020	0.006304	0.006472	0.005795	0.006295	258.71	0
Aug 22, 2020	0.006356	0.006515	0.005797	0.006305	376.95	0
Aug 21, 2020	0.006767	0.006884	0.005956	0.006354	253.38	0
Aug 20, 2020	0.006927	0.007289	0.006522	0.006768	266.76	0
Aug 19, 2020	0.007063	0.007200	0.006786	0.006928	327.12	0
Aug 18, 2020	0.007347	0.007590	0.006731	0.007063	267.25	0
Aug 17, 2020	0.007381	0.008019	0.007202	0.007349	367.38	0
Aug 16, 2020	0.008076	0.008112	0.006859	0.007381	272.22	0
