date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.338981	0.339016	0.276474	0.276493	0	0
Dec 15, 2020	0.337967	0.339054	0.337948	0.338991	0	0
Dec 14, 2020	0.351503	0.351666	0.334163	0.337960	0	0
Dec 13, 2020	0.418764	0.418787	0.346592	0.351513	0	0
Dec 12, 2020	0.418762	0.418961	0.418717	0.418779	0	0
Dec 11, 2020	0.419846	0.450984	0.401268	0.418758	0	0
Dec 10, 2020	0.347533	0.419828	0.312447	0.419819	1,084,340	0
Dec 09, 2020	0.403671	0.403671	0.341124	0.347547	1,157,073	0
Dec 08, 2020	0.434318	0.440675	0.392304	0.403684	872,982	0
Dec 07, 2020	0.448699	0.453591	0.428402	0.434296	1,508,005	0
Dec 06, 2020	0.457079	0.460026	0.445348	0.448691	1,088,498	0
Dec 05, 2020	0.468781	0.478891	0.440537	0.457080	1,099,161	0
Dec 04, 2020	0.478431	0.488064	0.454438	0.468785	1,353,551	0
Dec 03, 2020	0.423424	0.525597	0.401259	0.478430	1,445,497	0
Dec 02, 2020	0.406567	0.438704	0.392795	0.423413	1,262,745	0
Dec 01, 2020	0.442047	0.468111	0.406541	0.406551	820,583	0
Nov 30, 2020	0.486042	0.486613	0.438204	0.442049	1,274,820	0
Nov 29, 2020	0.490660	0.490665	0.472151	0.486045	637,859	0
Nov 28, 2020	0.484501	0.520757	0.471659	0.490653	733,320	0
Nov 27, 2020	0.378659	0.550987	0.340698	0.484496	885,831	0
Nov 26, 2020	0.532028	0.554177	0.378627	0.378627	819,512	0
Nov 25, 2020	0.579729	0.579729	0.532033	0.532037	677,336	0
Nov 24, 2020	0.602755	0.615078	0.530301	0.579722	1,712,190	0
Nov 23, 2020	0.659044	0.662472	0.590141	0.602746	1,501,299	0
Nov 22, 2020	0.742313	0.742581	0.609688	0.659044	1,155,563	0
Nov 21, 2020	0.764386	0.774397	0.742027	0.742313	1,173,286	0
Nov 20, 2020	0.773684	0.790317	0.742795	0.764386	1,328,725	0
Nov 19, 2020	0.781372	0.794077	0.741251	0.773684	1,648,569	0
Nov 18, 2020	0.671193	0.850419	0.657872	0.781372	1,539,785	0
Nov 17, 2020	0.685073	0.721909	0.665441	0.671193	1,148,946	0
Nov 16, 2020	0.725559	0.735549	0.700314	0.708782	1,238,457	0
Nov 15, 2020	0.744174	0.756925	0.700575	0.725559	1,162,141	0
Nov 14, 2020	0.806388	0.811495	0.740235	0.744174	1,567,236	0
Nov 13, 2020	0.811303	0.840297	0.789092	0.806388	799,187	0
Nov 12, 2020	0.831849	0.840809	0.786845	0.811303	895,464	0
Nov 11, 2020	0.841557	0.849439	0.814085	0.831849	651,681	0
Nov 10, 2020	0.829741	0.890556	0.810520	0.841557	576,193	0
Nov 09, 2020	0.799666	0.840682	0.795135	0.829741	1,190,322	0
Nov 08, 2020	0.811747	0.822728	0.783703	0.799666	869,478	0
Nov 07, 2020	0.850532	0.851431	0.811261	0.811747	617,601	0
Nov 06, 2020	0.820334	0.899967	0.781838	0.850532	795,824	0
Nov 05, 2020	0.915807	0.922745	0.760390	0.820334	895,518	0
Nov 04, 2020	0.932325	0.953029	0.903677	0.915807	1,407,961	0
Nov 03, 2020	0.960472	0.961381	0.920621	0.932325	1,814,739	0
Nov 02, 2020	0.956112	0.980256	0.942617	0.960472	1,463,530	0
Nov 01, 2020	0.955672	0.974328	0.941437	0.956112	1,300,134	0
Oct 31, 2020	0.969866	0.983849	0.940274	0.955672	796,572	0
Oct 30, 2020	0.986054	0.992975	0.958319	0.969866	930,713	0
Oct 29, 2020	0.974002	0.997189	0.962403	0.986054	1,171,250	0
Oct 28, 2020	0.990221	1.00	0.952067	0.974002	1,294,389	0
Oct 27, 2020	0.955685	1.01	0.930786	0.990221	1,564,624	0
Oct 26, 2020	0.956459	0.993366	0.936025	0.955685	1,764,859	0
Oct 25, 2020	0.955227	0.975672	0.901891	0.956459	1,497,887	0
Oct 24, 2020	0.998405	1.02	0.930836	0.955227	1,505,560	0
Oct 23, 2020	1.03	1.03	0.930544	0.998405	1,677,827	0
Oct 22, 2020	1.03	1.10	1.02	1.03	1,907,017	0
Oct 21, 2020	1.04	1.05	1.00	1.03	1,895,708	0
Oct 20, 2020	1.04	1.10	1.02	1.03	1,807,303	0
Oct 19, 2020	1.08	1.10	1.01	1.04	1,506,995	0
Oct 18, 2020	1.13	1.14	1.06	1.08	1,788,013	0
Oct 17, 2020	1.18	1.18	1.08	1.13	2,200,651	0
Oct 16, 2020	1.05	1.18	1.05	1.18	2,310,943	0
Oct 15, 2020	0.991177	1.09	0.991177	1.05	2,078,992	0
Oct 14, 2020	0.929922	1.04	0.922197	0.998985	2,277,506	0
Oct 13, 2020	0.935437	0.940957	0.916112	0.929682	1,393,447	0
Oct 12, 2020	0.928101	0.950660	0.919888	0.935877	1,352,864	0
Oct 11, 2020	0.861892	0.948848	0.857618	0.927721	1,298,585	0
Oct 10, 2020	0.841271	0.880824	0.836980	0.861892	1,091,199	0
Oct 09, 2020	0.831971	0.868175	0.817786	0.841271	1,176,012	0
Oct 08, 2020	0.839463	0.845213	0.811588	0.831971	1,090,690	0
Oct 07, 2020	0.856273	0.865341	0.833037	0.839463	872,412	0
Oct 06, 2020	0.811262	0.870923	0.796696	0.856273	1,306,790	0
Oct 05, 2020	0.851737	0.852441	0.801224	0.811703	1,138,270	0
Oct 04, 2020	0.851948	0.866046	0.841506	0.847911	926,435	0
Oct 03, 2020	0.869191	0.877999	0.843372	0.851893	972,089	0
Oct 02, 2020	0.868712	0.886622	0.853652	0.869841	1,159,905	0
Oct 01, 2020	0.880900	0.906283	0.841317	0.868726	1,211,670	0
Sep 30, 2020	0.911878	0.957058	0.846404	0.908698	1,113,302	0
Sep 29, 2020	0.941274	0.967108	0.892873	0.911508	1,863,176	0
Sep 28, 2020	0.971422	0.991462	0.941402	0.942576	1,564,721	0
Sep 27, 2020	0.874980	0.991093	0.862983	0.958463	1,691,622	0
Sep 26, 2020	0.843266	0.888723	0.837244	0.874739	1,128,688	0
Sep 25, 2020	0.832124	0.867543	0.796751	0.843266	1,567,574	0
Sep 24, 2020	0.846241	0.878934	0.801796	0.831633	1,391,764	0
Sep 23, 2020	0.865734	0.889438	0.834267	0.845710	1,200,972	0
Sep 22, 2020	0.944474	0.958220	0.821180	0.866661	1,541,708	0
Sep 21, 2020	0.935735	0.986263	0.922500	0.942553	1,415,317	0
Sep 20, 2020	0.967705	0.992634	0.912231	0.935735	1,515,246	0
Sep 19, 2020	0.993659	1.03	0.912515	0.967652	1,598,224	0
Sep 18, 2020	1.00	1.05	0.969728	0.993659	1,504,564	0
Sep 17, 2020	1.01	1.03	0.942494	1.00	1,450,581	0
Sep 16, 2020	1.02	1.03	0.972070	1.01	1,141,721	0
Sep 15, 2020	0.985604	1.03	0.963212	1.02	1,325,283	0
Sep 14, 2020	0.929996	1.04	0.929310	0.985604	1,512,661	0
Sep 13, 2020	0.927615	0.980342	0.926259	0.929738	1,104,647	0
Sep 12, 2020	0.969342	1.05	0.923110	0.928836	1,291,907	0
Sep 11, 2020	1.04	1.09	0.834478	0.969188	2,047,805	0
Sep 10, 2020	1.34	1.38	1.01	1.04	3,063,617	0
Sep 09, 2020	0.895741	1.35	0.881550	1.34	4,828,955	0
Sep 08, 2020	0.772355	0.902758	0.735604	0.895216	2,426,751	0
Sep 07, 2020	0.633568	0.787703	0.631896	0.772811	1,990,385	0
Sep 06, 2020	0.523304	0.642080	0.521305	0.633568	1,721,242	0
Sep 05, 2020	0.495825	0.540840	0.494434	0.523518	1,596,655	0
Sep 04, 2020	0.425693	0.503848	0.418530	0.495737	1,441,105	0
Sep 03, 2020	0.424159	0.437668	0.420754	0.426356	996,402	0
Sep 02, 2020	0.410431	0.436787	0.408972	0.428753	949,948	0
Sep 01, 2020	0.394754	0.423605	0.394010	0.410700	990,523	0
Aug 31, 2020	0.383608	0.396509	0.373348	0.394824	763,775	0
Aug 30, 2020	0.381643	0.401475	0.375787	0.383812	998,068	0
Aug 29, 2020	0.377908	0.393434	0.370874	0.381111	602,616	0
Aug 28, 2020	0.400181	0.402223	0.370674	0.378043	810,030	0
Aug 27, 2020	0.403799	0.409595	0.380556	0.400100	779,057	0
Aug 26, 2020	0.406023	0.411418	0.392632	0.403704	970,929	0
Aug 25, 2020	0.386689	0.411137	0.386360	0.405719	857,904	0
Aug 24, 2020	0.407401	0.410381	0.381323	0.386264	1,009,870	0
Aug 23, 2020	0.409477	0.413816	0.403249	0.407139	570,702	0
Aug 22, 2020	0.413296	0.415614	0.388036	0.409437	1,116,231	0
Aug 21, 2020	0.409037	0.415699	0.395141	0.413920	1,277,992	0
Aug 20, 2020	0.367124	0.421737	0.364920	0.409087	1,395,378	0
Aug 19, 2020	0.380001	0.385171	0.354604	0.367124	1,160,081	0
Aug 18, 2020	0.374409	0.395760	0.369461	0.380092	1,336,317	0
Aug 17, 2020	0.339204	0.397450	0.322083	0.374741	1,213,794	0
Aug 16, 2020	0.338642	0.342047	0.325871	0.339204	886,735	0
Aug 15, 2020	0.337786	0.344012	0.335371	0.338253	859,419	0
Aug 14, 2020	0.341854	0.348325	0.332803	0.337733	840,265	0
Aug 13, 2020	0.338915	0.346643	0.330804	0.341367	871,709	0
Aug 12, 2020	0.328649	0.346118	0.326254	0.339078	897,040	0
Aug 11, 2020	0.336617	0.339317	0.313386	0.328735	856,410	0
