date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.077120	0.077637	0.075755	0.076990	181,478	0
Dec 15, 2020	0.076025	0.077782	0.075747	0.077120	245,770	0
Dec 14, 2020	0.077851	0.078224	0.075950	0.076025	22,987.06	0
Dec 13, 2020	0.077945	0.078037	0.076205	0.077851	35,795.98	0
Dec 12, 2020	0.076938	0.078311	0.076113	0.077853	130,448	0
Dec 11, 2020	0.076791	0.078250	0.076105	0.076296	509,232	0
Dec 10, 2020	0.076885	0.078777	0.076120	0.076791	344,997	0
Dec 09, 2020	0.076621	0.078115	0.076449	0.076975	210,577	0
Dec 08, 2020	0.077258	0.078270	0.076371	0.076621	145,434	0
Dec 07, 2020	0.079069	0.079473	0.076087	0.077628	255,204	0
Dec 06, 2020	0.078330	0.079345	0.078054	0.079069	171,764	0
Dec 05, 2020	0.079069	0.079345	0.076854	0.078146	182,815	0
Dec 04, 2020	0.077450	0.079826	0.076512	0.079069	232,900	0
Dec 03, 2020	0.075883	0.079717	0.075746	0.077450	257,111	0
Dec 02, 2020	0.075199	0.076071	0.075198	0.075883	227,974	0
Dec 01, 2020	0.075044	0.075745	0.074965	0.075199	201,136	0
Nov 30, 2020	0.075292	0.075690	0.074656	0.075044	234,358	0
Nov 29, 2020	0.075292	0.075835	0.074930	0.075292	255,701	0
Nov 28, 2020	0.075292	0.075835	0.075111	0.075292	236,591	0
Nov 27, 2020	0.075821	0.076102	0.074925	0.075383	156,411	0
Nov 26, 2020	0.076720	0.076784	0.074903	0.075819	234,658	0
Nov 25, 2020	0.075086	0.076839	0.074387	0.076691	782,773	0
Nov 24, 2020	0.100532	0.101147	0.074268	0.075084	1,225,968	0
Nov 23, 2020	0.129326	0.158832	0.061065	0.100532	1,632,270	0
Nov 22, 2020	0.133168	0.135410	0.128236	0.129326	1,758,235	0
Nov 21, 2020	0.134782	0.141329	0.127519	0.133168	3,177,125	0
Nov 20, 2020	0.162708	0.192756	0.130062	0.134782	2,341,287	0
Nov 19, 2020	0.460737	0.471955	0.157598	0.162708	2,096,351	0
Nov 18, 2020	0.422280	0.496199	0.407060	0.460734	4,473,204	0
Nov 17, 2020	0.412407	0.423868	0.407407	0.422261	3,073,428	0
Nov 16, 2020	0.418681	0.425604	0.406275	0.412678	3,399,045	0
Nov 15, 2020	0.424580	0.429631	0.416191	0.418681	2,967,138	0
Nov 14, 2020	0.426835	0.430173	0.418085	0.424580	2,897,191	0
Nov 13, 2020	0.423554	0.429564	0.416477	0.426835	2,845,044	0
Nov 12, 2020	0.427615	0.442825	0.416170	0.423476	2,584,272	0
Nov 11, 2020	0.408095	0.446141	0	0.427604	1,997,027	0
Nov 10, 2020	0.427703	0.429247	0.403729	0.408095	2,699,574	0
Nov 09, 2020	0.385010	0.451034	0.371566	0.427722	1,145,420	0
Nov 08, 2020	0.368572	0.426818	0.368572	0.385010	296,548	0
Nov 07, 2020	0.358321	0.391836	0.357341	0.368572	409,262	0
Nov 06, 2020	0.356886	0.364812	0.355335	0.358321	254,635	0
Nov 05, 2020	0.354370	0.364435	0.353425	0.356886	793,795	0
Nov 04, 2020	0.354008	0.355680	0.349109	0.354361	689,748	0
Nov 03, 2020	0.353150	0.354781	0.352093	0.353993	720,606	0
Nov 02, 2020	0.351998	0.354067	0.351998	0.353178	697,831	0
Nov 01, 2020	0.352012	0.352716	0.351924	0.351998	432,723	0
Oct 31, 2020	0.352012	0.353243	0.352012	0.352012	854,577	0
Oct 30, 2020	0.354088	0.355558	0.351508	0.352012	495,722	0
Oct 29, 2020	0.358445	0.359028	0.352782	0.354063	699,816	0
Oct 28, 2020	0.356864	0.360838	0.351907	0.358420	383,408	0
Oct 27, 2020	0.357483	0.358458	0.355678	0.356849	976,975	0
Oct 26, 2020	0.356419	0.359786	0.353778	0.357483	431,741	0
Oct 25, 2020	0.358369	0.362534	0.355710	0.356419	414,916	0
Oct 24, 2020	0.355799	0.359344	0.355356	0.358369	663,708	0
Oct 23, 2020	0.355113	0.363441	0.353978	0.355799	272,063	0
Oct 22, 2020	0.356040	0.366072	0.352586	0.355101	1,422,374	0
Oct 21, 2020	0.351207	0.360904	0.351207	0.355775	307,343	0
Oct 20, 2020	0.354411	0.359448	0.351107	0.351294	148,684	0
Oct 19, 2020	0.358262	0.372018	0.351088	0.354413	254,263	0
Oct 18, 2020	0.357202	0.399313	0.351686	0.358262	501,651	0
Oct 17, 2020	0.354838	0.363155	0.354576	0.357202	609,855	0
Oct 16, 2020	0.353479	0.364159	0.349461	0.355013	973,264	0
Oct 15, 2020	0.366516	0.367418	0.348413	0.353479	1,302,291	0
Oct 14, 2020	0.360015	0.382687	0.349103	0.366516	2,703,839	0
Oct 13, 2020	0.391850	0.391877	0.355314	0.360006	1,315,305	0
Oct 12, 2020	0.413763	0.424009	0.367378	0.391848	1,339,816	0
Oct 11, 2020	0.425657	0.425657	0.356229	0.393477	1,507,690	0
Oct 10, 2020	0.421809	0.426793	0.416301	0.425657	1,452,108	0
Oct 09, 2020	0.424889	0.431986	0.414762	0.426618	1,469,243	0
Oct 08, 2020	0.372444	0.433537	0.372304	0.424891	1,301,355	0
Oct 07, 2020	0.347930	0.388550	0.346870	0.382635	673,179	0
Oct 06, 2020	0.351893	0.359856	0.345706	0.347847	1,022,991	0
Oct 05, 2020	0.358380	0.369048	0.345675	0.351888	806,688	0
Oct 04, 2020	0.142839	0.396365	0.131693	0.358380	18,162,960	0
Oct 03, 2020	0.155099	0.157071	0.142496	0.143267	392,906	0
Oct 02, 2020	0.180830	0.183993	0.152720	0.155099	596,736	0
Oct 01, 2020	0.207679	0.217388	0.178482	0.181688	4,248,222	0
Sep 30, 2020	0.227401	0.236791	0.199325	0.207682	6,692,813	0
