date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.184618	0.189421	0.168403	0.185287	956,685	4,691,660
Dec 15, 2020	0.195737	0.200673	0.176735	0.184508	779,532	4,671,937
Dec 14, 2020	0.204372	0.209089	0.192601	0.195744	900,788	4,956,451
Dec 13, 2020	0.203054	0.207584	0.198402	0.204387	93,500.69	5,175,288
Dec 12, 2020	0.201713	0.208164	0.198086	0.203008	125,512	5,140,370
Dec 11, 2020	0.223118	0.223129	0.195867	0.201722	259,428	5,107,802
Dec 10, 2020	0.218431	0.239581	0.216137	0.223185	256,773	5,651,262
Dec 09, 2020	0.215307	0.219342	0.201676	0.218460	173,159	5,531,625
Dec 08, 2020	0.224565	0.230413	0.210105	0.215284	331,142	5,360,134
Dec 07, 2020	0.216047	0.232264	0.214044	0.218504	349,296	5,440,312
Dec 06, 2020	0.208710	0.223549	0.199842	0.216015	419,469	5,378,340
Dec 05, 2020	0.207692	0.212285	0.200734	0.208695	201,040	5,196,066
Dec 04, 2020	0.220302	0.229387	0.198576	0.205519	510,996	5,116,990
Dec 03, 2020	0.231519	0.239057	0.212932	0.220312	490,159	5,485,314
Dec 02, 2020	0.240048	0.242438	0.215991	0.231524	467,509	5,764,472
Dec 01, 2020	0.252716	0.257471	0.229623	0.240086	401,124	5,977,648
Nov 30, 2020	0.247471	0.276425	0.240038	0.250106	686,788	6,227,136
Nov 29, 2020	0.222018	0.260841	0.216329	0.254856	517,332	6,345,383
Nov 28, 2020	0.221111	0.234206	0.208590	0.224821	379,099	5,597,594
Nov 27, 2020	0.230508	0.242191	0.214860	0.223145	486,431	5,555,858
Nov 26, 2020	0.240200	0.242858	0.213041	0.230492	681,012	5,738,784
Nov 25, 2020	0.271206	0.274302	0.240036	0.240200	213,705	5,980,490
Nov 24, 2020	0.300668	0.308735	0.270209	0.271203	597,142	6,752,408
Nov 23, 2020	0.281010	0.304505	0.276585	0.300535	766,918	7,482,693
Nov 22, 2020	0.257503	0.291434	0.252329	0.281025	694,329	6,996,949
Nov 21, 2020	0.258430	0.284116	0.241608	0.257500	654,883	6,411,220
Nov 20, 2020	0.243307	0.277173	0.226476	0.258442	472,376	6,434,679
Nov 19, 2020	0.232818	0.247719	0.216091	0.243305	403,113	6,057,793
Nov 18, 2020	0.225578	0.247753	0.208693	0.232795	528,358	5,796,114
Nov 17, 2020	0.216467	0.230984	0.213683	0.225645	271,299	5,618,096
Nov 16, 2020	0.209339	0.219670	0.202356	0.205045	164,905	5,105,194
Nov 15, 2020	0.218958	0.228373	0.206532	0.209331	144,363	5,211,906
Nov 14, 2020	0.228487	0.229228	0.212342	0.218950	154,402	5,451,405
Nov 13, 2020	0.227655	0.229637	0.213521	0.228454	123,556	5,688,027
Nov 12, 2020	0.228040	0.247744	0.219548	0.227673	236,933	5,668,595
Nov 11, 2020	0.213301	0.245866	0.203566	0.228041	467,946	5,677,754
Nov 10, 2020	0.215893	0.251495	0.205719	0.213330	661,636	5,311,482
Nov 09, 2020	0.230917	0.248599	0.206509	0.215899	630,913	5,375,432
Nov 08, 2020	0.235729	0.251243	0.218961	0.230913	400,142	5,749,251
Nov 07, 2020	0.241881	0.259149	0.217731	0.235674	466,040	5,867,810
Nov 06, 2020	0.238975	0.251855	0.233759	0.241850	475,309	6,021,559
Nov 05, 2020	0.204049	0.245984	0.197238	0.238978	1,096,161	5,950,051
Nov 04, 2020	0.200615	0.210020	0.190338	0.203980	417,122	5,078,675
Nov 03, 2020	0.210948	0.239085	0.194919	0.200614	641,333	4,994,889
Nov 02, 2020	0.227201	0.271036	0.203623	0.210938	489,186	5,251,925
Nov 01, 2020	0.210501	0.235395	0.204652	0.227196	421,934	5,656,706
Oct 31, 2020	0.267020	0.279513	0.202943	0.210494	909,154	5,240,868
Oct 30, 2020	0.296688	0.299310	0.260591	0.267018	511,258	6,648,203
Oct 29, 2020	0.312303	0.318535	0.278517	0.296691	635,102	7,386,995
Oct 28, 2020	0.336237	0.342952	0.300592	0.312379	864,274	7,777,592
Oct 27, 2020	0.363214	0.371851	0.328023	0.336243	835,194	8,237,255
Oct 26, 2020	0.364783	0.427394	0.360685	0.363202	971,549	8,897,708
Oct 25, 2020	0.295714	0.386342	0.291846	0.364784	749,193	8,936,450
Oct 24, 2020	0.286025	0.304606	0.277923	0.295718	319,690	7,244,481
Oct 23, 2020	0.299068	0.317834	0.280523	0.286032	416,675	7,007,199
Oct 22, 2020	0.296932	0.317756	0.291410	0.299108	699,104	7,327,527
Oct 21, 2020	0.292217	0.306858	0.281185	0.296938	623,773	7,274,361
Oct 20, 2020	0.322981	0.326490	0.289663	0.292231	516,335	7,159,060
Oct 19, 2020	0.322748	0.345515	0.312183	0.315715	957,029	7,734,369
Oct 18, 2020	0.279231	0.339643	0.278975	0.321561	637,494	7,877,597
Oct 17, 2020	0.297503	0.336766	0.271629	0.282651	649,999	6,924,362
Oct 16, 2020	0.312826	0.321025	0.281455	0.305624	664,601	7,487,170
Oct 15, 2020	0.365051	0.379205	0.284039	0.316574	1,167,235	7,755,406
Oct 14, 2020	0.285436	0.375849	0.267197	0.375321	1,388,931	9,194,594
