date	open	high	low	close	volume	market_cap
Dec 16, 2020	3.54	4.31	3.42	4.31	330,559	0
Dec 15, 2020	3.52	3.65	3.37	3.54	149,354	0
Dec 14, 2020	3.57	3.57	3.34	3.52	110,313	0
Dec 13, 2020	3.34	3.73	3.30	3.57	201,501	0
Dec 12, 2020	3.06	3.41	3.03	3.33	162,337	0
Dec 11, 2020	3.17	3.22	2.92	3.06	204,647	0
Dec 10, 2020	3.40	3.43	3.04	3.17	176,087	0
Dec 09, 2020	3.10	3.45	2.79	3.40	464,035	0
Dec 08, 2020	4.12	4.12	2.97	3.09	540,175	0
Dec 07, 2020	4.38	4.38	3.96	4.12	157,161	0
Dec 06, 2020	4.24	4.43	4.06	4.38	111,562	0
Dec 05, 2020	3.84	4.26	3.74	4.24	219,005	0
Dec 04, 2020	4.66	4.69	3.70	3.84	647,194	0
Dec 03, 2020	4.48	4.77	4.35	4.66	294,241	0
Dec 02, 2020	4.13	4.56	3.97	4.48	717,567	0
Dec 01, 2020	5.23	6.08	3.75	4.13	2,873,041	0
Nov 30, 2020	4.48	5.55	4.22	5.22	1,654,501	0
Nov 29, 2020	4.34	4.70	4.03	4.48	516,335	0
Nov 28, 2020	3.94	4.66	3.75	4.34	1,318,059	0
Nov 27, 2020	4.00	4.20	3.57	3.94	1,435,909	0
Nov 26, 2020	6.34	6.75	3.30	4.00	3,539,406	0
Nov 25, 2020	7.59	8.89	5.55	6.34	2,837,933	0
Nov 24, 2020	6.11	10.79	5.88	7.59	7,504,432	0
Nov 23, 2020	4.78	6.14	4.62	6.11	1,709,260	0
Nov 22, 2020	5.56	5.75	4.29	4.78	652,719	0
Nov 21, 2020	4.16	5.64	4.09	5.56	1,283,224	0
Nov 20, 2020	3.98	4.26	3.98	4.16	65,821.16	0
Nov 19, 2020	4.32	4.32	3.86	3.98	33,677.28	0
Nov 18, 2020	4.24	4.34	3.80	4.32	123,605	0
Nov 17, 2020	4.06	4.27	4.01	4.24	169,041	0
Nov 16, 2020	3.77	4.03	3.76	3.93	83,615.81	0
Nov 15, 2020	3.79	4.04	3.76	3.77	65,470.35	0
Nov 14, 2020	3.88	3.90	3.78	3.79	12,677.25	0
Nov 13, 2020	3.77	3.93	3.72	3.88	31,385.62	0
Nov 12, 2020	3.78	3.82	3.72	3.77	25,795.81	0
Nov 11, 2020	3.77	3.89	3.76	3.78	16,342.24	0
Nov 10, 2020	3.74	3.89	3.68	3.77	57,061.57	0
Nov 09, 2020	3.88	3.98	3.69	3.74	14,434.31	0
Nov 08, 2020	3.76	4.01	3.67	3.88	32,183.98	0
Nov 07, 2020	4.13	4.34	3.62	3.76	121,608	0
Nov 06, 2020	3.78	4.16	3.77	4.13	68,392.60	0
Nov 05, 2020	3.55	3.82	3.49	3.78	58,856.53	0
Nov 04, 2020	3.62	3.62	3.40	3.55	36,280.12	0
Nov 03, 2020	3.64	3.64	3.22	3.62	128,692	0
Nov 02, 2020	4.05	4.10	3.61	3.64	249,236	0
Nov 01, 2020	4.06	4.14	3.95	4.05	67,584.63	0
Oct 31, 2020	4.04	4.41	3.96	4.06	175,375	0
Oct 30, 2020	4.67	4.70	3.90	4.04	226,589	0
Oct 29, 2020	4.89	5.14	4.56	4.67	82,077.60	0
Oct 28, 2020	4.96	5.15	4.75	4.89	49,735.06	0
Oct 27, 2020	4.84	5.03	4.80	4.96	52,504.42	0
Oct 26, 2020	4.98	5.30	4.64	4.84	157,034	0
Oct 25, 2020	5.02	5.18	4.82	4.98	48,158.27	0
Oct 24, 2020	4.84	5.20	4.75	5.02	98,739.81	0
Oct 23, 2020	5.07	5.09	4.52	4.84	134,593	0
Oct 22, 2020	4.83	5.33	4.83	5.07	235,478	0
Oct 21, 2020	4.35	5.16	4.29	4.83	384,323	0
Oct 20, 2020	4.61	6.12	4.33	4.35	1,192,322	0
Oct 19, 2020	4.59	4.71	4.49	4.61	34,613.76	0
Oct 18, 2020	4.51	4.65	4.51	4.59	12,388.97	0
Oct 17, 2020	4.48	4.64	4.47	4.51	20,328.42	0
Oct 16, 2020	4.87	4.88	4.45	4.48	388,348	0
Oct 15, 2020	4.96	4.99	4.80	4.87	19,855.40	0
Oct 14, 2020	5.00	5.16	4.81	4.96	19,161.08	0
Oct 13, 2020	5.14	5.20	4.91	5.00	65,136.24	0
Oct 12, 2020	4.87	5.42	4.60	5.14	480,235	0
Oct 11, 2020	4.88	5.00	4.71	4.87	24,745.69	0
Oct 10, 2020	4.86	5.30	4.79	4.88	81,686.75	0
Oct 09, 2020	4.55	4.88	4.50	4.86	26,291.58	0
Oct 08, 2020	4.45	4.64	4.26	4.55	115,173	0
Oct 07, 2020	4.45	4.53	4.28	4.45	21,624.60	0
Oct 06, 2020	4.87	4.91	4.42	4.45	38,853.51	0
Oct 05, 2020	4.83	5.02	4.69	4.87	48,868.10	0
Oct 04, 2020	5.22	5.27	4.66	4.83	160,206	0
Oct 03, 2020	4.64	5.70	4.63	5.22	527,162	0
Oct 02, 2020	4.48	4.75	3.80	4.64	114,692	0
Oct 01, 2020	4.72	5.03	4.29	4.48	58,200.97	0
Sep 30, 2020	4.86	4.93	4.57	4.72	88,573.29	0
Sep 29, 2020	4.80	4.86	4.47	4.86	33,618.06	0
Sep 28, 2020	4.97	5.19	4.80	4.80	103,916	0
Sep 27, 2020	5.24	5.36	4.70	4.97	102,868	0
Sep 26, 2020	5.13	5.96	5.13	5.24	283,175	0
Sep 25, 2020	4.84	5.31	4.50	5.13	67,657.32	0
Sep 24, 2020	4.21	4.77	4.06	4.77	105,302	0
