date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.009106	0.016610	0.009063	0.015749	71,547.26	0
Dec 15, 2020	0.012122	0.014417	0.008313	0.009106	40,280.18	0
Dec 14, 2020	0.009891	0.015114	0.008285	0.012127	59,398.19	0
Dec 13, 2020	0.012133	0.015111	0.008365	0.009895	43,959.88	0
Dec 12, 2020	0.012485	0.014074	0.008190	0.012128	57,351.62	0
Dec 11, 2020	0.007850	0.014134	0.007551	0.012495	55,743.61	0
Dec 10, 2020	0.008038	0.013771	0.007754	0.007853	39,756.75	0
Dec 09, 2020	0.009202	0.013034	0.006961	0.008043	40,315.00	0
Dec 08, 2020	0.013606	0.014047	0.007129	0.009206	53,170.42	0
Dec 07, 2020	0.009411	0.013888	0.007902	0.013608	64,446.19	0
Dec 06, 2020	0.012642	0.014791	0.007940	0.009410	47,527.54	0
Dec 05, 2020	0.008471	0.015127	0.007910	0.012637	57,679.57	0
Dec 04, 2020	0.009175	0.013634	0.007824	0.008496	44,588.82	0
Dec 03, 2020	0.010019	0.010697	0.007864	0.009173	49,316.25	0
Dec 02, 2020	0.006441	0.010795	0.006112	0.010021	47,691.85	0
Dec 01, 2020	0.005679	0.008332	0.004781	0.006444	48,259.70	0
Nov 30, 2020	0.011432	0.014363	0.005255	0.005681	61,199.46	0
Nov 29, 2020	0.005723	0.013183	0.005047	0.011432	56,458.12	0
Nov 28, 2020	0.008075	0.010976	0.005082	0.005722	54,610.54	0
Nov 27, 2020	0.007157	0.011215	0.005885	0.008075	43,854.55	0
Nov 26, 2020	0.007881	0.009388	0.005015	0.007148	53,075.78	0
Nov 25, 2020	0.006949	0.009195	0.005165	0.007884	73,917.98	0
Nov 24, 2020	0.008519	0.012120	0.005930	0.006949	60,405.57	0
Nov 23, 2020	0.012143	0.013609	0.007468	0.008519	45,995.74	0
Nov 22, 2020	0.006210	0.012300	0.005286	0.012158	65,832.85	0
Nov 21, 2020	0.006923	0.010229	0.005301	0.006214	68,542.36	0
Nov 20, 2020	0.006646	0.010665	0.005191	0.006923	68,664.29	0
Nov 19, 2020	0.008836	0.012375	0.006600	0.006646	41,637.71	0
Nov 18, 2020	0.009151	0.012858	0.007215	0.008835	44,697.78	0
Nov 17, 2020	0.011081	0.013223	0.007330	0.009151	47,047.73	0
Nov 16, 2020	0.008478	0.012799	0.007151	0.010856	49,347.98	0
Nov 15, 2020	0.007500	0.012147	0.005556	0.008478	39,992.04	0
Nov 14, 2020	0.006843	0.009069	0.004752	0.007500	55,241.13	0
