date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.194697	0.231374	0.189733	0.203532	23,241.90	8,672,310
Dec 15, 2020	0.203397	0.216204	0.194116	0.194728	3,712.81	8,297,182
Dec 14, 2020	0.189919	0.214847	0.186434	0.203403	13,658.10	8,666,829
Dec 13, 2020	0.201647	0.209363	0.186519	0.189907	20,177.13	8,091,766
Dec 12, 2020	0.195690	0.217059	0.195585	0.201663	15,325.40	8,592,669
Dec 11, 2020	0.163562	0.220401	0.153251	0.195674	33,040.16	8,337,512
Dec 10, 2020	0.164822	0.176703	0.158147	0.163552	6,836.96	6,968,818
Dec 09, 2020	0.169238	0.171829	0.156275	0.164818	5,894.64	7,022,765
Dec 08, 2020	0.178907	0.183479	0.167629	0.169307	7,151.26	7,214,018
Dec 07, 2020	0.182498	0.187691	0.178150	0.178937	2,611.56	7,624,364
Dec 06, 2020	0.184741	0.197596	0.178059	0.182489	9,498.70	7,775,699
Dec 05, 2020	0.159714	0.191478	0.158621	0.184670	9,592.41	7,868,641
Dec 04, 2020	0.170752	0.176825	0.152409	0.160058	7,282.37	6,819,930
Dec 03, 2020	0.165145	0.178841	0.152941	0.170707	11,619.30	7,273,686
Dec 02, 2020	0.159967	0.175742	0.154312	0.165179	4,627.97	7,038,120
Dec 01, 2020	0.185521	0.185803	0.159741	0.159966	8,722.11	6,816,012
Nov 30, 2020	0.175698	0.187021	0.174200	0.185536	6,527.52	7,905,520
Nov 29, 2020	0.173523	0.179984	0.170712	0.175706	1,787.88	7,486,658
Nov 28, 2020	0.163113	0.178578	0.160175	0.173527	4,391.38	7,393,818
Nov 27, 2020	0.163626	0.177591	0.159022	0.163114	6,063.28	6,950,154
Nov 26, 2020	0.198792	0.208235	0.159662	0.163459	15,502.99	6,964,837
Nov 25, 2020	0.168428	0.212240	0.167354	0.198809	40,457.08	8,471,069
Nov 24, 2020	0.147896	0.183792	0.142136	0.168442	26,875.49	7,177,163
Nov 23, 2020	0.136461	0.151080	0.129749	0.147814	8,767.88	6,298,219
Nov 22, 2020	0.143260	0.152518	0.127394	0.136591	16,803.07	5,820,013
