date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.999185	1.01	0.980204	0.995895	81,353,262	28,482,657
Dec 15, 2020	0.999105	1.01	0.994132	1.00	51,624,746	28,603,672
Dec 14, 2020	0.998549	1.00	0.995725	0.999200	42,239,894	28,577,201
Dec 13, 2020	1.00	1.01	0.994565	0.999355	45,764,547	28,581,617
Dec 12, 2020	1.00	1.00	0.995588	1.00	49,137,612	28,630,180
Dec 11, 2020	1.00	1.01	0.996101	0.999937	74,932,740	28,598,261
Dec 10, 2020	1.00	1.01	0.992321	1.00	54,123,203	28,656,809
Dec 09, 2020	1.00	1.01	0.994273	1.00	75,797,333	28,605,988
Dec 08, 2020	1.00	1.02	0.996391	1.00	56,800,977	28,615,144
Dec 07, 2020	0.998029	1.01	0.996897	1.00	49,319,126	28,620,967
Dec 06, 2020	0.999921	1.01	0.994444	0.997049	47,315,608	28,515,667
Dec 05, 2020	1.00	1.01	0.994740	0.999094	55,052,456	28,574,168
Dec 04, 2020	0.999771	1.01	0.990917	1.00	72,934,575	28,712,611
Dec 03, 2020	0.998395	1.01	0.989971	0.999648	70,168,949	28,590,016
Dec 02, 2020	1.00	1.01	0.994175	0.999948	100,797,342	28,598,577
Dec 01, 2020	0.997504	1.03	0.991681	1.00	134,745,071	28,642,520
Nov 30, 2020	0.998234	1.01	0.985170	0.998618	108,561,262	28,560,534
Nov 29, 2020	0.998276	1.01	0.994010	0.998528	71,219,850	28,557,976
Nov 28, 2020	0.997647	1.00	0.991902	0.998858	71,077,532	28,567,400
Nov 27, 2020	0.998364	1.01	0.988908	0.999001	108,004,285	28,571,503
Nov 26, 2020	0.999309	1.04	0.986862	0.997835	181,114,255	28,538,157
Nov 25, 2020	0.996651	1.01	0.991386	0.999165	106,448,161	28,576,190
Nov 24, 2020	0.998931	1.01	0.988957	0.996565	126,444,135	28,501,832
Nov 23, 2020	0.996698	1.00	0.991953	0.999462	98,808,553	28,584,675
Nov 22, 2020	0.995448	1.01	0.990593	0.996774	91,834,876	28,507,807
Nov 21, 2020	0.999062	1.01	0.990818	0.995427	80,191,796	28,469,292
Nov 20, 2020	0.999856	1.00	0.993179	0.999101	75,886,908	28,574,362
Nov 19, 2020	1.00	1.01	0.994216	0.999718	77,220,223	28,592,003
Nov 18, 2020	0.997979	1.03	0.989386	1.00	104,783,285	28,631,256
Nov 17, 2020	0.999678	1.00	0.992559	0.997936	58,637,689	28,541,051
Nov 16, 2020	0.996792	1.00	0.989736	0.997303	36,882,859	28,522,945
Nov 15, 2020	0.998701	1.01	0.993084	0.996795	34,265,547	28,508,409
Nov 14, 2020	0.997879	1.00	0.994604	0.998975	36,534,029	28,570,767
Nov 13, 2020	0.999125	1.01	0.995174	0.997650	51,498,806	28,532,852
Nov 12, 2020	0.999702	1.01	0.993816	0.999337	58,440,604	28,581,099
Nov 11, 2020	0.999807	1.00	0.994772	0.999335	40,673,619	28,581,049
Nov 10, 2020	0.999715	1.00	0.994613	0.999875	37,649,145	28,596,506
Nov 09, 2020	0.999123	1.01	0.992114	0.999909	65,336,675	28,597,465
Nov 08, 2020	1.00	1.01	0.994843	0.999082	54,041,096	28,573,817
Nov 07, 2020	1.00	1.01	0.992588	1.00	75,839,796	28,608,613
Nov 06, 2020	1.00	1.01	0.993878	1.00	59,847,352	28,678,877
