date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.288133	0.318447	0.275803	0.316479	97,191.61	8,894,537
Dec 15, 2020	0.297134	0.300854	0.272871	0.288186	70,937.01	8,099,376
Dec 14, 2020	0.295535	0.298035	0.282516	0.297143	48,882.62	8,351,127
Dec 13, 2020	0.290303	0.299227	0.282463	0.295511	67,984.92	8,305,236
Dec 12, 2020	0.277195	0.292090	0.269140	0.290331	50,428.25	8,159,668
Dec 11, 2020	0.273055	0.282009	0.261889	0.277172	71,073.05	7,789,836
Dec 10, 2020	0.286463	0.286463	0.267134	0.273036	41,941.33	7,673,598
Dec 09, 2020	0.278663	0.287569	0.266892	0.286457	77,544.58	8,050,775
Dec 08, 2020	0.295733	0.296944	0.272405	0.278645	80,283.88	7,831,246
Dec 07, 2020	0.298680	0.299428	0.281422	0.295760	68,907.47	8,312,238
Dec 06, 2020	0.295734	0.299372	0.282169	0.298582	70,743.40	8,391,545
Dec 05, 2020	0.288721	0.295727	0.277176	0.295727	73,692.76	8,311,312
Dec 04, 2020	0.300230	0.300960	0.277838	0.288754	117,857	8,115,336
Dec 03, 2020	0.288550	0.301892	0.281208	0.300267	97,646.57	8,438,924
Dec 02, 2020	0.290295	0.297719	0.273687	0.288576	70,793.33	8,110,347
Dec 01, 2020	0.303022	0.306418	0.272857	0.290317	144,133	8,159,259
Nov 30, 2020	0.270117	0.304010	0.270117	0.303046	211,790	8,517,013
Nov 29, 2020	0.273522	0.282277	0.260926	0.270128	108,452	7,591,873
Nov 28, 2020	0.254248	0.275623	0.251397	0.273529	85,350.58	7,687,457
Nov 27, 2020	0.264714	0.269253	0.245616	0.254251	65,544.48	7,145,661
Nov 26, 2020	0.289159	0.291118	0.242994	0.264369	192,749	7,430,011
Nov 25, 2020	0.335206	0.336125	0.276080	0.289183	106,942	8,127,414
Nov 24, 2020	0.305271	0.338060	0.268028	0.335239	158,420	9,421,791
Nov 23, 2020	0.322389	0.328380	0.273376	0.305010	118,351	8,572,217
Nov 22, 2020	0.310422	0.325968	0.269709	0.322412	119,251	9,061,296
Nov 21, 2020	0.326589	0.330712	0.279367	0.310416	104,988	8,724,150
Nov 20, 2020	0.269925	0.328928	0.269691	0.326602	109,836	9,179,045
Nov 19, 2020	0.310856	0.317784	0.263366	0.269932	73,337.59	7,586,367
Nov 18, 2020	0.303852	0.322812	0.296043	0.310827	173,438	8,735,693
Nov 17, 2020	0.289879	0.312088	0.282590	0.303840	217,139	8,539,327
Nov 16, 2020	0.312565	0.327458	0.275892	0.285155	200,227	8,014,185
Nov 15, 2020	0.314770	0.324843	0.309455	0.312566	88,463.61	8,784,577
Nov 14, 2020	0.319661	0.328352	0.309382	0.314754	84,194.21	8,846,073
Nov 13, 2020	0.318851	0.331618	0.313282	0.319662	89,768.66	8,983,994
Nov 12, 2020	0.307586	0.328706	0.304323	0.318849	191,297	8,961,147
Nov 11, 2020	0.299569	0.320867	0.299538	0.307624	126,603	8,645,672
Nov 10, 2020	0.300374	0.311128	0.296298	0.299527	73,981.48	8,418,120
Nov 09, 2020	0.307889	0.380739	0.291217	0.300447	132,894	8,443,965
Nov 08, 2020	0.335877	0.380772	0.295012	0.307874	102,057	8,652,708
Nov 07, 2020	0.370595	0.383310	0.290346	0.335872	115,216	9,439,593
Nov 06, 2020	0.346164	0.388675	0.304150	0.370595	119,723	10,415,447
Nov 05, 2020	0.345835	0.372480	0.301544	0.346169	218,672	9,728,964
Nov 04, 2020	0.341334	0.347144	0.322798	0.345826	166,522	9,719,341
Nov 03, 2020	0.331550	0.341888	0.316735	0.340477	142,749	9,568,993
Nov 02, 2020	0.336100	0.337854	0.306336	0.331770	184,160	9,324,295
Nov 01, 2020	0.327579	0.338887	0.324265	0.335501	70,085.52	9,429,155
Oct 31, 2020	0.224351	0.340772	0.224351	0.327527	83,815.01	9,205,059
Oct 30, 2020	0.321023	0.333468	0.224156	0.224351	11.12	6,305,328
Oct 29, 2020	0.324740	0.332936	0.308527	0.321297	91,855.73	9,029,968
Oct 28, 2020	0.334120	0.338572	0.309375	0.324750	141,800	9,127,007
Oct 27, 2020	0.319932	0.336693	0.310680	0.333730	198,173	9,379,388
Oct 26, 2020	0.318876	0.323212	0.304782	0.319872	171,735	8,989,905
Oct 25, 2020	0.320757	0.326165	0.307631	0.318724	105,963	8,957,652
Oct 24, 2020	0.316403	0.321587	0.306840	0.320863	75,379.14	9,017,765
Oct 23, 2020	0.317238	0.318398	0.303121	0.316316	72,211.76	8,889,962
Oct 22, 2020	0.319661	0.322054	0.303023	0.317238	95,943.21	8,915,889
Oct 21, 2020	0.288850	0.328125	0.288612	0.320046	229,726	8,994,789
Oct 20, 2020	0.293054	0.298842	0.175745	0.288850	148,505	8,118,041
Oct 19, 2020	0.278304	0.294290	0.276493	0.293055	242,557	8,236,213
Oct 18, 2020	0.275331	0.286500	0.275076	0.278304	105,600	7,821,638
Oct 17, 2020	0.274453	0.284207	0.273562	0.275331	52,721.90	7,738,088
Oct 16, 2020	0.286926	0.288042	0.272556	0.274453	133,423	7,713,422
Oct 15, 2020	0.278999	0.288490	0.273997	0.286920	142,952	8,063,811
Oct 14, 2020	0.279355	0.288031	0.272030	0.279000	103,245	7,841,198
Oct 13, 2020	0.284148	0.284148	0.270348	0.279355	106,847	7,851,192
Oct 12, 2020	0.272000	0.287620	0.268802	0.284148	193,838	7,985,882
Oct 11, 2020	0.272017	0.279343	0.269724	0.272001	17,037.33	7,644,500
Oct 10, 2020	0.269643	0.280998	0.264204	0.272017	103,735	7,644,951
Oct 09, 2020	0.260743	0.273014	0.259511	0.269643	125,048	7,578,229
Oct 08, 2020	0.262456	0.269215	0.252534	0.260741	144,846	7,328,046
Oct 07, 2020	0.260082	0.265482	0.253234	0.262457	93,368.69	7,376,270
Oct 06, 2020	0.267722	0.269552	0.255310	0.260081	162,018	7,309,496
Oct 05, 2020	0.266379	0.269204	0.258119	0.267716	171,827	7,524,077
Oct 04, 2020	0.255716	0.266772	0.255504	0.266335	111,994	7,485,254
Oct 03, 2020	0.263954	0.264455	0.254790	0.255716	53,648.22	7,186,823
Oct 02, 2020	0.257416	0.266019	0.252501	0.263976	121,966	7,418,957
Oct 01, 2020	0.261405	0.272861	0.254501	0.257415	164,995	7,234,583
Sep 30, 2020	0.270641	0.270706	0.258943	0.261415	113,460	7,346,999
Sep 29, 2020	0.266272	0.271012	0.258227	0.270641	113,110	7,606,287
Sep 28, 2020	0.261192	0.273174	0.259501	0.266334	181,780	7,485,236
Sep 27, 2020	0.266221	0.271851	0.255440	0.261197	109,869	7,340,865
Sep 26, 2020	0.261571	0.271201	0.261329	0.265684	65,143.04	7,466,968
Sep 25, 2020	0.270961	0.271366	0.258950	0.261571	93,905.77	7,351,386
Sep 24, 2020	0.250679	0.271234	0.250679	0.270961	81,058.67	7,615,267
Sep 23, 2020	0.252643	0.260177	0.245653	0.250679	65,199.47	7,045,264
Sep 22, 2020	0.250426	0.260792	0.227558	0.260128	35,114.97	7,310,807
Sep 21, 2020	0.262985	0.270983	0.248961	0.258002	105,590	7,251,075
Sep 20, 2020	0.273751	0.273752	0.258997	0.262049	53,522.92	7,364,822
Sep 19, 2020	0.269998	0.274399	0.261621	0.273737	50,353.39	7,693,285
Sep 18, 2020	0.270164	0.272318	0.259850	0.269962	46,775.87	7,587,212
Sep 17, 2020	0.270651	0.272583	0.258097	0.270164	53,716.42	7,592,877
Sep 16, 2020	0.258798	0.273744	0.256563	0.263930	61,438.62	7,417,676
Sep 15, 2020	0.256057	0.269863	0.255372	0.258809	59,125.00	7,273,751
Sep 14, 2020	0.258864	0.265293	0.237881	0.256057	84,083.09	7,196,410
Sep 13, 2020	0.254394	0.264640	0.249313	0.258832	69,586.31	7,274,403
Sep 12, 2020	0.259817	0.262552	0.250724	0.254394	50,017.19	7,149,676
Sep 11, 2020	0.255541	0.260752	0.248856	0.260567	46,501.04	7,323,166
Sep 10, 2020	0.249070	0.262225	0.249070	0.254903	60,576.34	7,163,964
Sep 09, 2020	0.243165	0.259223	0.240237	0.249070	42,672.97	7,000,026
Sep 08, 2020	0.248941	0.255352	0.238091	0.243157	68,671.02	6,833,865
Sep 07, 2020	0.246451	0.255453	0.237995	0.248852	50,709.85	6,993,903
Sep 06, 2020	0.245419	0.253947	0.240797	0.246428	43,222.65	6,925,783
Sep 05, 2020	0.257525	0.259457	0.238158	0.245419	48,727.70	6,897,440
Sep 04, 2020	0.246496	0.260838	0.242952	0.255305	51,890.60	7,175,283
Sep 03, 2020	0.279870	0.280768	0.242986	0.245083	67,933.32	6,887,989
Sep 02, 2020	0.286558	0.293726	0.270367	0.279988	66,309.14	7,868,986
Sep 01, 2020	0.286616	0.295947	0.278085	0.290364	81,803.56	8,160,596
Aug 31, 2020	0.284100	0.307524	0.278321	0.286710	76,111.55	8,057,889
Aug 30, 2020	0.280618	0.285954	0.275652	0.284025	71,482.31	7,982,434
Aug 29, 2020	0.281596	0.282877	0.275057	0.276068	42,486.00	7,758,813
Aug 28, 2020	0.271567	0.281826	0.271408	0.281542	47,496.93	7,912,652
Aug 27, 2020	0.280290	0.282561	0.268045	0.271559	57,751.00	7,632,071
Aug 26, 2020	0.277088	0.281103	0.270942	0.280039	52,455.68	7,870,398
Aug 25, 2020	0.282535	0.287376	0.269019	0.277430	78,636.88	7,797,079
Aug 24, 2020	0.254664	0.293925	0.253762	0.282622	71,468.60	7,943,018
Aug 23, 2020	0.257619	0.260857	0.252371	0.254741	47,395.06	7,159,409
Aug 22, 2020	0.252610	0.260327	0.250239	0.255199	46,255.15	7,172,294
Aug 21, 2020	0.259725	0.264824	0.252250	0.257554	68,410.06	7,238,482
Aug 20, 2020	0.259894	0.265254	0.255785	0.259754	42,391.59	7,300,306
Aug 19, 2020	0.261380	0.267513	0.255308	0.259894	50,967.72	7,304,256
Aug 18, 2020	0.244175	0.269063	0.237986	0.266545	79,540.15	7,491,179
Aug 17, 2020	0.303953	0.311779	0.241280	0.245408	107,136	6,897,117
Aug 16, 2020	0.298071	0.307971	0.294051	0.303953	28,754.39	8,542,514
Aug 15, 2020	0.296938	0.308681	0.293564	0.298121	54,480.91	8,378,588
Aug 14, 2020	0.304492	0.305735	0.292200	0.296834	58,850.40	8,342,432
Aug 13, 2020	0.289370	0.304590	0.283068	0.295935	48,476.53	8,317,165
Aug 12, 2020	0.286185	0.298465	0.280569	0.289359	71,421.19	8,132,338
Aug 11, 2020	0.298507	0.308307	0.280838	0.288715	72,228.55	8,114,252
Aug 10, 2020	0.302250	0.311582	0.294267	0.298409	95,908.61	8,386,689
Aug 09, 2020	0.301334	0.304843	0.295821	0.302327	49,887.39	8,496,802
Aug 08, 2020	0.297208	0.305090	0.295893	0.301234	42,047.57	8,466,096
Aug 07, 2020	0.301637	0.307792	0.291795	0.297114	59,488.12	8,350,305
Aug 06, 2020	0.300897	0.307693	0.297086	0.301677	56,330.28	8,478,535
Aug 05, 2020	0.286946	0.304723	0.285239	0.300897	69,600.58	8,456,621
Aug 04, 2020	0.288077	0.294881	0.284592	0.286914	61,870.39	8,063,643
Aug 03, 2020	0.289069	0.301121	0.286774	0.288352	53,978.80	8,104,057
Aug 02, 2020	0.307458	0.322611	0.285733	0.288936	63,965.49	8,120,447
Aug 01, 2020	0.298053	0.317055	0.293694	0.316640	76,646.86	8,899,086
Jul 31, 2020	0.311275	0.318517	0.290371	0.298053	64,146.96	8,376,699
Jul 30, 2020	0.306870	0.319273	0.300319	0.311275	47,431.40	8,748,304
Jul 29, 2020	0.306775	0.317732	0.296498	0.306870	40,339.49	8,624,496
Jul 28, 2020	0.308906	0.315236	0.290467	0.306444	61,198.66	8,612,507
Jul 27, 2020	0.307631	0.352093	0.298876	0.300056	125,767	8,432,972
Jul 26, 2020	0.296271	0.309977	0.295289	0.307623	98,760.82	8,645,661
Jul 25, 2020	0.296186	0.301470	0.291728	0.296229	55,555.93	8,325,440
Jul 24, 2020	0.297697	0.298815	0.290082	0.296137	48,746.66	8,322,853
Jul 23, 2020	0.291626	0.299168	0.290248	0.297697	72,903.41	8,366,685
Jul 22, 2020	0.290977	0.296352	0.285095	0.291626	65,787.82	8,196,061
Jul 21, 2020	0.284148	0.292685	0.279892	0.290977	98,663.44	8,177,814
Jul 20, 2020	0.281093	0.287525	0.279648	0.284148	163,574	7,985,895
Jul 19, 2020	0.281690	0.287015	0.278166	0.281093	137,407	7,900,044
Jul 18, 2020	0.284049	0.286932	0.278771	0.284260	93,118.52	7,989,038
Jul 17, 2020	0.279382	0.286456	0.278111	0.280924	78,477.05	7,895,279
Jul 16, 2020	0.288311	0.289716	0.277851	0.283514	102,297	7,968,089
