date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.222440	0.232125	0.216944	0.225676	288,721	0
Dec 15, 2020	0.227491	0.229963	0.215791	0.222454	195,814	0
Dec 14, 2020	0.217549	0.230623	0.213208	0.227489	143,731	0
Dec 13, 2020	0.214692	0.227641	0.211561	0.217537	202,516	0
Dec 12, 2020	0.210670	0.219393	0.206369	0.214721	148,296	0
Dec 11, 2020	0.208828	0.214724	0.203634	0.210656	206,117	0
Dec 10, 2020	0.205974	0.213856	0.203772	0.208826	123,592	0
Dec 09, 2020	0.207028	0.216501	0.201213	0.205970	230,407	0
Dec 08, 2020	0.166047	0.225925	0.154074	0.207023	236,048	0
Dec 07, 2020	0.200771	0.203493	0.162660	0.166064	203,266	0
Dec 06, 2020	0.200111	0.203315	0.195659	0.200727	138,127	0
Dec 05, 2020	0.213275	0.221308	0.196035	0.200073	109,135	0
Dec 04, 2020	0.234057	0.235346	0.212479	0.213451	178,402	0
Dec 03, 2020	0.240331	0.245712	0.218092	0.234055	145,567	0
Dec 02, 2020	0.329106	0.332515	0.231342	0.240348	106,636	0
Dec 01, 2020	0.351556	0.363752	0.320457	0.329167	209,561	0
Nov 30, 2020	0.365361	0.370688	0.348367	0.351524	302,408	0
Nov 29, 2020	0.342597	0.366446	0.335410	0.365378	162,889	0
Nov 28, 2020	0.338680	0.351022	0.330187	0.342630	129,808	0
Nov 27, 2020	0.326725	0.341973	0.321876	0.338653	97,441.09	0
Nov 26, 2020	0.325286	0.335709	0.310854	0.326503	276,856	0
Nov 25, 2020	0.334984	0.335726	0.318462	0.325334	158,461	0
Nov 24, 2020	0.338710	0.354324	0.328909	0.334968	228,563	0
Nov 23, 2020	0.338264	0.349057	0.331668	0.338766	178,995	0
Nov 22, 2020	0.328902	0.394565	0.328704	0.338367	176,843	0
Nov 21, 2020	0.316584	0.329722	0.311731	0.328897	123,544	0
Nov 20, 2020	0.308300	0.320103	0.307206	0.316594	125,978	0
Nov 19, 2020	0.316840	0.322596	0.299328	0.308306	108,640	0
Nov 18, 2020	0.326305	0.332615	0.311536	0.316815	254,167	0
Nov 17, 2020	0.314534	0.327311	0.309214	0.326295	300,663	0
Nov 16, 2020	0.296437	0.309956	0.292045	0.307716	285,045	0
Nov 15, 2020	0.310015	0.310721	0.294884	0.296466	132,519	0
Nov 14, 2020	0.299612	0.313490	0.296071	0.310044	127,601	0
Nov 13, 2020	0.291578	0.314002	0.290825	0.299585	133,498	0
Nov 12, 2020	0.286948	0.294581	0.272393	0.291599	266,939	0
Nov 11, 2020	0.307977	0.313870	0.282942	0.286957	191,707	0
Nov 10, 2020	0.316609	0.323560	0.298197	0.307992	111,542	0
Nov 09, 2020	0.317219	0.322217	0.301714	0.316621	193,810	0
Nov 08, 2020	0.313140	0.324830	0.304594	0.317215	144,069	0
Nov 07, 2020	0.330968	0.339397	0.303318	0.313139	173,105	0
Nov 06, 2020	0.372441	0.380453	0.325348	0.330968	178,123	0
Nov 05, 2020	0.330061	0.377087	0.321609	0.372310	298,859	0
Nov 04, 2020	0.316091	0.336116	0.308577	0.330054	240,670	0
Nov 03, 2020	0.330589	0.333170	0.309555	0.315900	207,862	0
Nov 02, 2020	0.352163	0.355730	0.326578	0.330631	266,367	0
Nov 01, 2020	0.345334	0.354613	0.340339	0.352013	106,739	0
Oct 31, 2020	0.300662	0.347134	0.297404	0.345324	125,410	0
Oct 30, 2020	0.300677	0.303257	0.293646	0.300770	0	0
Oct 29, 2020	0.304258	0.306920	0.291479	0.300740	137,951	0
Oct 28, 2020	0.303896	0.309013	0.296420	0.304277	206,698	0
Oct 27, 2020	0.312766	0.322651	0.299817	0.303817	278,784	0
Oct 26, 2020	0.315207	0.326941	0.307872	0.312745	248,427	0
Oct 25, 2020	0.346094	0.349827	0.312858	0.315211	156,003	0
Oct 24, 2020	0.344878	0.347603	0.339293	0.346096	112,568	0
Oct 23, 2020	0.349775	0.354131	0.338650	0.344863	108,099	0
Oct 22, 2020	0.356306	0.364612	0.347614	0.349775	141,541	0
Oct 21, 2020	0.342124	0.357991	0.339455	0.353852	328,142	0
Oct 20, 2020	0.348852	0.355184	0.338427	0.342124	209,558	0
Oct 19, 2020	0.356497	0.357399	0.348125	0.350714	348,055	0
Oct 18, 2020	0.366309	0.373741	0.352426	0.356497	157,975	0
Oct 17, 2020	0.367935	0.371063	0.363359	0.366309	81,526.97	0
Oct 16, 2020	0.391688	0.394305	0.362293	0.367935	194,367	0
Oct 15, 2020	0.392326	0.399564	0.363290	0.391687	210,330	0
Oct 14, 2020	0.420490	0.424760	0.379871	0.392326	152,592	0
Oct 13, 2020	0.433852	0.448243	0.391236	0.420490	156,979	0
Oct 12, 2020	0.411101	0.433855	0.395809	0.433852	289,188	0
Oct 11, 2020	0.406653	0.428691	0.404923	0.411102	61,637.49	0
Oct 10, 2020	0.416782	0.416782	0.399657	0.406653	153,301	0
Oct 09, 2020	0.391520	0.466613	0.388189	0.416782	184,860	0
Oct 08, 2020	0.412519	0.412893	0.382758	0.391519	211,129	0
Oct 07, 2020	0.406543	0.415342	0.402908	0.412519	137,304	0
Oct 06, 2020	0.415667	0.416049	0.399397	0.406543	233,613	0
Oct 05, 2020	0.427029	0.433479	0.410030	0.415663	247,517	0
Oct 04, 2020	0.423206	0.434546	0.419532	0.427006	165,693	0
Oct 03, 2020	0.441983	0.449850	0.417027	0.423205	83,228.51	0
Oct 02, 2020	0.458169	0.458534	0.436269	0.442005	178,413	0
Oct 01, 2020	0.430122	0.458474	0.401267	0.458171	241,440	0
Sep 30, 2020	0.432430	0.435028	0.421674	0.429874	166,564	0
Sep 29, 2020	0.439504	0.448961	0.421088	0.432429	165,873	0
Sep 28, 2020	0.482798	0.486350	0.430462	0.439505	266,627	0
Sep 27, 2020	0.476461	0.482499	0.469125	0.481852	162,849	0
Sep 26, 2020	0.483026	0.485616	0.465277	0.476441	98,531.91	0
Sep 25, 2020	0.505188	0.506036	0.466206	0.483026	144,899	0
Sep 24, 2020	0.512152	0.518292	0.460012	0.505189	221,078	0
Sep 23, 2020	0.537537	0.541040	0.509422	0.512152	195,105	0
Sep 22, 2020	0.521286	0.545984	0.518018	0.537493	108,816	0
Sep 21, 2020	0.506433	0.526284	0.488780	0.524490	293,445	0
Sep 20, 2020	0.494345	0.516454	0.484417	0.506260	158,003	0
Sep 19, 2020	0.497601	0.508149	0.486218	0.494357	148,937	0
Sep 18, 2020	0.529223	0.532651	0.492802	0.501626	141,968	0
Sep 17, 2020	0.546635	0.563161	0.485380	0.529223	158,611	0
