date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.245830	0.346008	0.241966	0.344568	25,230.51	423,023
Dec 15, 2020	0.260807	0.354928	0.236959	0.245824	8,851.47	301,796
Dec 14, 2020	0.165168	0.611843	0.163548	0.260809	29,554.46	320,193
Dec 13, 2020	0.561467	0.561710	0.146767	0.165211	58,728.91	202,828
Dec 12, 2020	0.640120	0.643861	0.205492	0.561287	55,413.26	689,088
Dec 11, 2020	0.725700	0.730327	0.177534	0.640230	102,982	786,006
Dec 10, 2020	0.701444	0.738113	0.573879	0.726258	664,575	891,622
Dec 09, 2020	0.763524	0.767746	0.554912	0.701662	729,260	861,426
Dec 08, 2020	0.744661	0.777734	0.564886	0.763443	888,217	937,274
Dec 07, 2020	0.581031	0.754206	0.527227	0.744699	1,178,611	914,261
Dec 06, 2020	0.579202	0.781503	0.506054	0.580995	126,531	713,284
Dec 05, 2020	0.766495	0.780118	0.482076	0.578960	98,114.37	710,785
Dec 04, 2020	0.469379	0.810195	0.439644	0.766534	514,233	941,068
Dec 03, 2020	0.265020	0.503290	0.255863	0.469399	821,370	576,278
Dec 02, 2020	0.136200	0.324492	0.134783	0.265028	807,182	325,373
Dec 01, 2020	0.062589	0.138692	0.055636	0.136222	388,314	167,239
Nov 30, 2020	0.045333	0.062842	0.042146	0.062584	225,043	76,833.62
Nov 29, 2020	0.056747	0.059971	0.022866	0.045334	15,830.32	55,656.66
Nov 28, 2020	0.055384	0.058342	0.023407	0.056751	198,727	69,673.17
Nov 27, 2020	0.059714	0.062761	0.046542	0.055380	176,579	67,989.12
Nov 26, 2020	0.051717	0.061378	0.046837	0.059703	110,496	73,297.10
Nov 25, 2020	0.040529	0.055702	0.032448	0.051737	42,230.97	63,517.27
Nov 24, 2020	0.038783	0.059012	0.029952	0.040491	15,772.10	49,710.66
Nov 23, 2020	0.050908	0.053029	0.036002	0.038753	18,602.90	47,576.83
Nov 22, 2020	0.044992	0.051587	0.042792	0.050911	12,391.05	62,502.92
Nov 21, 2020	0.041890	0.056849	0.041496	0.044991	18,564.78	55,234.85
Nov 20, 2020	0.049964	0.054351	0.039446	0.041891	21,142.44	51,429.83
Nov 19, 2020	0.052724	0.053716	0.048348	0.049965	25,803.96	61,341.95
Nov 18, 2020	0.048686	0.054362	0.045397	0.052720	12,295.88	64,724.22
Nov 17, 2020	0.046729	0.053369	0.040566	0.048685	24,849.99	59,770.00
Nov 16, 2020	0.044123	0.053768	0.040081	0.047683	17,158.42	58,540.10
Nov 15, 2020	0.040651	0.054153	0.040610	0.044123	23,512.12	54,169.41
Nov 14, 2020	0.053016	0.053016	0.033603	0.040665	28,700.60	49,924.37
Nov 13, 2020	0.043208	0.053272	0.042021	0.053001	11,645.61	65,068.42
Nov 12, 2020	0.043301	0.053157	0.038535	0.043219	15,812.37	53,059.53
Nov 11, 2020	0.036134	0.051580	0.031288	0.043283	18,435.13	53,138.32
Nov 10, 2020	0.041690	0.050576	0.032648	0.036130	9,096.46	44,356.60
Nov 09, 2020	0.051294	0.051371	0.036109	0.041692	16,555.19	51,184.49
Nov 08, 2020	0.024243	0.051371	0.021345	0.051292	12,355.78	62,970.44
Nov 07, 2020	0.039398	0.050611	0.024242	0.024242	17,883.95	29,762.29
Nov 06, 2020	0.039503	0.040879	0.038187	0.039398	14,100.00	48,368.57
Nov 05, 2020	0.041739	0.042513	0.034106	0.039504	19,195.71	48,498.48
Nov 04, 2020	0.042249	0.046742	0.040328	0.041726	11,259.39	51,226.57
Nov 03, 2020	0.042275	0.043808	0.025809	0.042169	12,074.97	51,770.15
Nov 02, 2020	0.025600	0.044765	0.016276	0.042290	13,393.51	51,919.37
Nov 01, 2020	0.021438	0.042140	0.016447	0.025562	15,912.44	31,382.63
Oct 31, 2020	0.010099	0.021805	0.010046	0.021435	18,285.77	26,315.38
Oct 30, 2020	0.044144	0.044169	0.010066	0.010099	1,760.24	12,398.63
Oct 29, 2020	0.043689	0.049855	0.041441	0.044175	16,699.36	54,232.94
Oct 28, 2020	0.044512	0.050449	0.041083	0.043690	15,069.16	53,637.41
Oct 27, 2020	0.047968	0.050115	0.044280	0.044469	15,751.15	54,594.75
Oct 26, 2020	0.048346	0.048919	0.045279	0.047962	10,554.91	58,882.43
Oct 25, 2020	0.043145	0.048728	0.040439	0.048329	9,986.18	59,333.49
Oct 24, 2020	0.045628	0.048666	0.043047	0.043157	15,867.04	52,983.81
Oct 23, 2020	0.048318	0.048398	0.036597	0.045618	11,820.14	56,004.98
Oct 22, 2020	0.046773	0.050500	0.045312	0.048318	10,024.52	59,320.12
Oct 21, 2020	0.043267	0.051343	0.043221	0.046773	12,612.26	57,422.80
Oct 20, 2020	0.047296	0.048243	0.042014	0.043267	12,173.04	53,118.16
Oct 19, 2020	0.040191	0.047361	0.037751	0.047296	8,085.44	58,065.33
Oct 18, 2020	0.041776	0.049839	0.039604	0.040191	16,578.81	49,342.27
Oct 17, 2020	0.049364	0.049554	0.039446	0.041776	10,007.06	51,287.80
Oct 16, 2020	0.037492	0.049475	0.036179	0.049364	5,977.67	60,604.41
Oct 15, 2020	0.046067	0.050126	0.034163	0.037492	11,038.30	46,028.18
Oct 14, 2020	0.049041	0.050158	0.046018	0.046067	7,574.22	56,556.58
Oct 13, 2020	0.049688	0.049809	0.048334	0.049041	6,307.36	60,207.33
Oct 12, 2020	0.042563	0.050293	0.042505	0.049688	6,105.99	61,001.64
Oct 11, 2020	0.042239	0.049944	0.041700	0.042563	9,318.81	52,254.75
Oct 10, 2020	0.049569	0.051153	0.041598	0.042239	13,298.84	51,856.93
Oct 09, 2020	0.039160	0.049842	0.037365	0.041740	12,758.36	51,243.35
Oct 08, 2020	0.042034	0.050698	0.037123	0.039159	5,968.26	48,075.53
Oct 07, 2020	0.039792	0.049759	0.039389	0.042033	11,225.73	51,604.20
Oct 06, 2020	0.042335	0.050615	0.038572	0.039792	13,690.57	48,852.12
Oct 05, 2020	0.050378	0.050709	0.041146	0.042334	17,963.29	51,973.77
Oct 04, 2020	0.048396	0.050562	0.042764	0.050375	8,497.47	61,844.50
Oct 03, 2020	0.042137	0.050313	0.041728	0.048396	6,347.74	59,415.48
Oct 02, 2020	0.037441	0.052170	0.036553	0.042137	14,647.52	51,731.33
Oct 01, 2020	0.038264	0.042263	0.036744	0.036858	17,625.60	45,250.32
Sep 30, 2020	0.049491	0.067408	0.033534	0.038265	16,388.42	46,978.08
Sep 29, 2020	0.035386	0.067142	0.034132	0.049491	10,643.27	60,760.14
Sep 28, 2020	0.037218	0.038711	0.035367	0.035386	14,009.31	43,443.14
Sep 27, 2020	0.044560	0.047879	0.035942	0.037788	11,792.30	46,392.37
Sep 26, 2020	0.061308	0.065300	0.043331	0.045286	15,232.70	55,597.21
Sep 25, 2020	0.044657	0.067245	0.043826	0.061308	7,965.01	75,267.40
Sep 24, 2020	0.045734	0.066986	0.044451	0.044657	13,856.81	54,824.55
Sep 23, 2020	0.046614	0.065916	0.035168	0.045734	11,584.36	56,147.18
Sep 22, 2020	0.050237	0.053527	0.047266	0.051224	11,024.78	62,887.61
Sep 21, 2020	0.054249	0.059314	0.049061	0.050249	12,358.20	61,690.96
Sep 20, 2020	0.052681	0.058541	0.051274	0.054248	9,935.11	66,600.43
Sep 19, 2020	0.051109	0.053963	0.050514	0.052678	12,111.10	64,673.00
Sep 18, 2020	0.034487	0.055626	0.033442	0.050953	12,478.48	62,554.09
Sep 17, 2020	0.034227	0.035236	0.033522	0.034487	15,643.92	42,340.01
Sep 16, 2020	0.034991	0.035474	0.033608	0.034414	13,114.02	42,249.81
Sep 15, 2020	0.034760	0.037184	0.034161	0.034992	11,756.90	42,959.51
Sep 14, 2020	0.033893	0.035523	0.033399	0.034755	13,637.99	42,668.56
Sep 13, 2020	0.034689	0.034835	0.033395	0.033889	16,646.02	41,604.89
Sep 12, 2020	0.035690	0.036110	0.034041	0.034689	17,161.81	42,587.18
Sep 11, 2020	0.034915	0.051763	0.033888	0.035690	17,604.56	43,816.41
Sep 10, 2020	0.033430	0.081547	0.032826	0.034915	15,065.41	42,864.95
Sep 09, 2020	0.037086	0.037174	0.033238	0.033426	11,184.81	41,036.68
Sep 08, 2020	0.038219	0.039215	0.036296	0.037085	6,717.82	45,528.69
Sep 07, 2020	0.038008	0.038824	0.036202	0.038206	13,851.33	46,905.01
Sep 06, 2020	0.038173	0.038716	0.036676	0.038005	15,145.32	46,657.91
Sep 05, 2020	0.038082	0.039055	0.036335	0.038173	12,943.32	46,864.14
Sep 04, 2020	0.037158	0.039127	0.035830	0.038435	16,555.57	47,186.50
