date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001942	0.002146	0.001930	0.002133	0	71,209.39
Dec 15, 2020	0.001925	0.001953	0.001908	0.001942	0	64,846.47
Dec 14, 2020	0.001914	0.001930	0.001901	0.001925	0	64,267.59
Dec 13, 2020	0.001880	0.001938	0.001873	0.001914	0	63,912.05
Dec 12, 2020	0.001806	0.001892	0.001805	0.001881	0	62,792.50
Dec 11, 2020	0.001279	0.001818	0.001233	0.001806	0.001805	60,294.56
Dec 10, 2020	0.001299	0.001299	0.001257	0.001278	0	42,688.50
Dec 09, 2020	0.001282	0.001304	0.001256	0.001299	0	43,365.78
Dec 08, 2020	0.001343	0.001350	0.001279	0.001282	0	42,820.02
Dec 07, 2020	0.001354	0.001359	0.001325	0.001344	0	44,861.33
Dec 06, 2020	0.001532	0.001551	0.001352	0.001354	1.67	45,201.09
Dec 05, 2020	0.001496	0.001533	0.001487	0.001532	0	51,164.29
Dec 04, 2020	0.001556	0.001561	0.001496	0.001496	0	49,957.23
Dec 03, 2020	0.001920	0.001927	0.001514	0.001556	0.577060	51,949.77
Dec 02, 2020	0.001880	0.001931	0.001835	0.001920	0	64,119.29
Dec 01, 2020	0.001963	0.001985	0.001832	0.001880	0	62,788.86
Nov 30, 2020	0.001818	0.001975	0.001818	0.001963	0	65,536.78
Nov 29, 2020	0.001772	0.001828	0.001756	0.001818	0	60,697.99
Nov 28, 2020	0.001711	0.001785	0.001691	0.001772	0	59,160.97
Nov 27, 2020	0.001715	0.001745	0.001653	0.001711	0	57,126.55
Nov 26, 2020	0.001499	0.001739	0.001323	0.001715	0.261715	57,248.30
Nov 25, 2020	0.001529	0.001551	0.001486	0.001501	0	50,107.77
Nov 24, 2020	0.001469	0.001548	0.001450	0.001527	0	50,992.55
Nov 23, 2020	0.001470	0.001497	0.001440	0.001468	0	49,022.77
Nov 22, 2020	0.001491	0.001495	0.001414	0.001470	0	49,074.26
Nov 21, 2020	0.001490	0.001515	0.001476	0.001491	0	49,796.89
Nov 20, 2020	0.001425	0.001502	0.001421	0.001490	0	49,743.98
