date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.594011	0.594286	0.590458	0.591619	5.60	0
Dec 15, 2020	0.591917	0.594014	0.590461	0.594008	5.62	0
Dec 14, 2020	0.592587	0.593984	0.591335	0.591917	5.60	0
Dec 13, 2020	0.592602	0.592602	0.592587	0.592587	5.61	0
Dec 12, 2020	0.592602	0.592602	0.592602	0.592602	5.61	0
Dec 11, 2020	0.595014	0.595838	0.591536	0.592602	5.61	0
Dec 10, 2020	0.595030	0.596507	0.592833	0.595014	5.63	0
Dec 09, 2020	0.595835	0.598384	0.594521	0.595019	5.63	0
Dec 08, 2020	0.596501	0.597203	0.595192	0.595835	5.64	0
Dec 07, 2020	0.596935	0.598128	0.594788	0.596489	5.65	0
Dec 06, 2020	0.596935	0.596935	0.596935	0.596935	5.65	0
Dec 05, 2020	0.596935	0.596935	0.596935	0.596935	5.65	0
Dec 04, 2020	0.592317	0.598217	0.591911	0.596935	5.65	0
Dec 03, 2020	0.587979	0.593453	0.587645	0.592322	5.61	0
Dec 02, 2020	0.584778	0.588184	0.584774	0.587978	5.57	0
Dec 01, 2020	0.582878	0.585027	0.582878	0.584778	5.54	0
Nov 30, 2020	0.585502	0.586253	0.582872	0.582878	5.52	0
Nov 29, 2020	0.585504	0.585504	0.585502	0.585502	5.54	0
Nov 28, 2020	0.585504	0.585504	0.585504	0.585504	5.54	0
Nov 27, 2020	0.584696	0.586598	0.584696	0.585504	5.54	0
Nov 26, 2020	0.584664	0.586249	0.583882	0.584684	5.53	0
Nov 25, 2020	0.582499	0.585437	0.582499	0.584441	5.53	0
Nov 24, 2020	0.580749	0.583677	0.580749	0.582488	5.51	0
Nov 23, 2020	0.580263	0.582724	0.579563	0.580749	5.50	0
Nov 22, 2020	0.580201	0.580263	0.580201	0.580263	5.49	0
Nov 21, 2020	0.580201	0.580201	0.580201	0.580201	5.49	0
Nov 20, 2020	0.580651	0.581512	0.578997	0.580201	5.49	0
Nov 19, 2020	0.584504	0.584510	0.578396	0.580651	5.50	0
Nov 18, 2020	0.585043	0.587083	0.584231	0.584499	5.53	0
Nov 17, 2020	0.584379	0.585830	0.584277	0.585017	5.54	0
Nov 16, 2020	0.583933	0.585387	0.583131	0.584251	5.53	0
Nov 15, 2020	0.583606	0.583933	0.583606	0.583933	5.53	0
Nov 14, 2020	0.583606	0.583606	0.583606	0.583606	5.52	0
Nov 13, 2020	0.580223	0.584348	0.579412	0.583606	5.52	0
Nov 12, 2020	0.581600	0.582488	0.579796	0.580117	5.49	0
Nov 11, 2020	0.579156	0.583225	0.579156	0.581584	5.50	0
Nov 10, 2020	0.577833	0.580784	0.577833	0.579156	5.48	0
Nov 09, 2020	0.576757	0.582489	0.576712	0.577859	5.47	0
Nov 08, 2020	0.576701	0.576757	0.576701	0.576757	5.46	0
Nov 07, 2020	0.576701	0.576701	0.576701	0.576701	5.46	0
Nov 06, 2020	0.575823	0.578185	0.574180	0.576701	5.46	0
Nov 05, 2020	0.572177	0.576638	0.570710	0.575823	5.45	0
Nov 04, 2020	0.571893	0.574737	0.563978	0.572167	5.42	0
Nov 03, 2020	0.570935	0.572453	0.569226	0.571869	5.41	0
Nov 02, 2020	0.569214	0.571183	0.569214	0.570980	5.40	0
Nov 01, 2020	0.569237	0.569237	0.569214	0.569214	5.39	0
Oct 31, 2020	0.569237	0.569237	0.569237	0.569237	5.39	0
Oct 30, 2020	0.572307	0.574233	0.568260	0.569237	5.39	0
Oct 29, 2020	0.569939	0.572349	0.569838	0.572268	5.42	0
Oct 28, 2020	0.572931	0.574050	0.568344	0.569913	5.39	0
Oct 27, 2020	0.571232	0.575054	0.571231	0.572907	5.42	0
Oct 26, 2020	0.573354	0.573814	0.570706	0.571231	5.41	0
Oct 25, 2020	0.573355	0.573355	0.573354	0.573354	5.43	0
Oct 24, 2020	0.573355	0.573355	0.573355	0.573355	5.43	0
Oct 23, 2020	0.569958	0.574271	0.569295	0.573355	5.43	0
Oct 22, 2020	0.571041	0.571339	0.569020	0.569958	5.39	0
Oct 21, 2020	0.567793	0.572035	0.567793	0.571041	5.41	0
Oct 20, 2020	0.567584	0.568752	0.566978	0.567793	5.37	0
Oct 19, 2020	0.566461	0.568694	0.565842	0.567588	5.37	0
Oct 18, 2020	0.567321	0.567371	0.566445	0.566461	5.36	0
Oct 17, 2020	0.567321	0.567321	0.567321	0.567321	42.23	0
Oct 16, 2020	0.565846	0.567813	0.564653	0.567321	42.23	0
Oct 15, 2020	0.564809	0.567385	0.563934	0.565846	42.12	0
Oct 14, 2020	0.564032	0.567017	0.563900	0.564809	42.04	0
Oct 13, 2020	0.564263	0.565889	0.562820	0.564032	41.98	0
Oct 12, 2020	0.566607	0.566627	0.562629	0.564261	42.00	0
Oct 11, 2020	0.566609	0.566646	0.566607	0.566607	42.17	0
Oct 10, 2020	0.566609	0.566609	0.566609	0.566609	42.18	0
Oct 09, 2020	0.562813	0.567282	0.562813	0.566609	42.18	0
Oct 08, 2020	0.559832	0.563062	0.559237	0.562815	41.89	0
Oct 07, 2020	0.556276	0.560289	0.555905	0.559827	41.67	0
Oct 06, 2020	0.559987	0.559987	0.555832	0.556280	41.41	0
Oct 05, 2020	0.555575	0.560049	0.555575	0.559980	41.68	0
Oct 04, 2020	0.555579	0.555637	0.555575	0.555575	41.35	0
Oct 03, 2020	0.555579	0.555579	0.555579	0.555579	41.35	0
Oct 02, 2020	0.557194	0.557319	0.554859	0.555579	41.35	0
Oct 01, 2020	0.556328	0.558000	0.556047	0.557189	41.47	0
Sep 30, 2020	0.554389	0.556644	0.553335	0.556338	41.41	0
Sep 29, 2020	0.555103	0.555389	0.553595	0.554386	41.27	0
Sep 28, 2020	0.551752	0.555208	0.551602	0.555075	41.32	0
Sep 27, 2020	0.551750	0.551752	0.551748	0.551752	41.07	0
Sep 26, 2020	0.551750	0.551750	0.551750	0.551750	41.07	0
Sep 25, 2020	0.554012	0.554465	0.550279	0.551750	41.07	0
Sep 24, 2020	0.553920	0.554249	0.551138	0.554026	41.24	0
Sep 23, 2020	0.556892	0.558091	0.555818	0.555961	41.38	0
Sep 22, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 21, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 20, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 19, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 18, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 17, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 16, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 15, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 14, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 13, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 12, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 11, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 10, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 09, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 08, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 07, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 06, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 05, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 04, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 03, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 02, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Sep 01, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 31, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 30, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 29, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 28, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 27, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 26, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 25, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 24, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 23, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 22, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 21, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 20, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 19, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 18, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 17, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 16, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 15, 2020	0.025319	0.025319	0.025319	0.025319	13.84	0
Aug 14, 2020	0.025314	0.025328	0.025265	0.025319	13.84	0
Aug 13, 2020	0.025346	0.025387	0.025298	0.025314	13.84	0
Aug 12, 2020	0.025296	0.025368	0.025268	0.025346	13.86	0
Aug 11, 2020	0.025291	0.025376	0.025268	0.025295	13.83	0
Aug 10, 2020	0.025228	0.025327	0.025228	0.025291	13.83	0
Aug 09, 2020	0.025227	0.025228	0.025227	0.025228	13.79	0
Aug 08, 2020	0.025228	0.025228	0.025227	0.025227	13.79	0
Aug 07, 2020	0.025334	0.025344	0.025193	0.025228	13.79	0
Aug 06, 2020	0.025293	0.025359	0.025275	0.025333	13.85	0
Aug 05, 2020	0.025140	0.025345	0.025140	0.025293	13.83	0
Aug 04, 2020	0.025152	0.025170	0.025069	0.025140	13.75	0
Aug 03, 2020	0.025117	0.025167	0.025077	0.025152	13.75	0
Aug 02, 2020	0.025117	0.025126	0.025117	0.025117	13.73	0
Aug 01, 2020	0.025117	0.025117	0.025117	0.025117	13.73	0
Jul 31, 2020	0.025218	0.025280	0.025085	0.025117	13.73	0
Jul 30, 2020	0.025191	0.025249	0.025056	0.025218	13.79	0
Jul 29, 2020	0.025013	0.025210	0.025011	0.025191	13.77	0
Jul 28, 2020	0.025083	0.025201	0.024967	0.025013	13.68	0
Jul 27, 2020	0.024969	0.025114	0.024969	0.025084	13.72	0
Jul 26, 2020	0.024967	0.024969	0.024962	0.024969	13.65	0
Jul 25, 2020	0.024967	0.024967	0.024967	0.024967	13.65	0
Jul 24, 2020	0.024968	0.025019	0.024915	0.024967	13.65	0
Jul 23, 2020	0.061805	0.061805	0.024930	0.024968	13.65	0
Jul 22, 2020	0.061990	0.062038	0.061686	0.061805	1.35	0
Jul 21, 2020	0.061614	0.062051	0.061611	0.061990	1.36	0
Jul 20, 2020	0.061486	0.061634	0.061349	0.061614	1.35	0
Jul 19, 2020	0.061481	0.061486	0.061465	0.061486	1.35	0
Jul 18, 2020	0.061481	0.061481	0.061481	0.061481	1.35	0
Jul 17, 2020	0.061399	0.061494	0.061317	0.061481	1.35	0
Jul 16, 2020	0.061591	0.061617	0.061319	0.061399	1.34	0
Jul 15, 2020	0.580922	0.583725	0.061514	0.061591	1.35	0
Jul 14, 2020	0.581458	0.581473	0.579312	0.580923	11.37	0
Jul 13, 2020	0.583081	0.583815	0.581340	0.581458	11.38	0
Jul 12, 2020	0.158252	0.583081	0.061635	0.583081	11.41	0
Jul 11, 2020	0.616328	0.616328	0.158246	0.158252	72.39	0
Jul 10, 2020	0.651754	0.651782	0.157629	0.616328	129.51	0
Jul 09, 2020	0.654080	0.654774	0.650781	0.651760	604.82	0
Jul 08, 2020	0.651792	0.654143	0.650564	0.654080	606.97	0
Jul 07, 2020	0.654401	0.655674	0.651417	0.651792	604.85	0
Jul 06, 2020	0.650271	0.654632	0.650244	0.654401	607.27	0
Jul 05, 2020	0.650309	0.650358	0.650271	0.650271	603.44	0
Jul 04, 2020	0.650309	0.650309	0.650309	0.650309	603.47	0
Jul 03, 2020	0.650450	0.650949	0.648967	0.650309	603.47	0
Jul 02, 2020	0.650027	0.651575	0.649313	0.650428	603.58	0
