date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000027	0.000031	0.000026	0.000031	0	1,321.57
Dec 15, 2020	0.000042	0.000043	0.000027	0.000027	0	1,151.69
Dec 14, 2020	0.000044	0.000045	0.000027	0.000042	0	1,825.76
Dec 13, 2020	0.000040	0.000045	0.000025	0.000044	0	1,878.87
Dec 12, 2020	0.000038	0.000041	0.000024	0.000040	0	1,711.54
Dec 11, 2020	0.000026	0.000040	0.000024	0.000038	0	1,628.51
Dec 10, 2020	0.000043	0.000044	0.000026	0.000026	0	1,114.06
Dec 09, 2020	0.000061	0.000065	0.000026	0.000043	0	1,854.07
Dec 08, 2020	0.000067	0.000067	0.000060	0.000061	0	2,622.66
Dec 07, 2020	0.000044	0.000068	0.000042	0.000067	0	2,895.35
Dec 06, 2020	0.000043	0.000045	0.000042	0.000044	0	1,888.56
Dec 05, 2020	0.000065	0.000070	0.000043	0.000043	0	1,847.16
Dec 04, 2020	0.000074	0.000075	0.000064	0.000065	0	2,800.59
Dec 03, 2020	0.000074	0.000076	0.000072	0.000074	0	3,167.21
Dec 02, 2020	0.000074	0.000075	0.000071	0.000074	0	3,181.62
Dec 01, 2020	0.000081	0.000081	0.000071	0.000074	0	3,170.24
Nov 30, 2020	0.000078	0.000082	0.000059	0.000081	0	3,472.05
Nov 29, 2020	0.000080	0.000081	0.000076	0.000078	0	3,338.26
Nov 28, 2020	0.000206	0.000219	0.000078	0.000080	0	3,441.13
Nov 27, 2020	0.000167	0.000206	0.000163	0.000206	0	8,860.41
Nov 26, 2020	0.000195	0.000204	0.000148	0.000167	0	7,185.42
Nov 25, 2020	0.000195	0.000229	0.000183	0.000195	0	8,401.01
Nov 24, 2020	0.000130	0.000196	0.000130	0.000194	0	8,371.02
Nov 23, 2020	0.000103	0.000131	0.000101	0.000130	0	5,587.93
Nov 22, 2020	0.000108	0.000114	0.000097	0.000103	0	4,446.73
Nov 21, 2020	0.000088	0.000109	0.000088	0.000108	0	4,655.94
Nov 20, 2020	0.000084	0.000088	0.000084	0.000088	0	3,792.91
Nov 19, 2020	0.000083	0.000085	0.000081	0.000084	0	3,603.92
Nov 18, 2020	0.000086	0.000086	0.000082	0.000083	0	3,591.09
Nov 17, 2020	0.000084	0.000088	0.000083	0.000086	0	3,696.74
Nov 16, 2020	0.000080	0.000082	0.000079	0.000082	0	3,517.21
Nov 15, 2020	0.000081	0.000082	0.000079	0.000080	0	3,448.64
Nov 14, 2020	0.000082	0.000084	0.000081	0.000081	0	3,485.59
Nov 13, 2020	0.000080	0.000082	0.000080	0.000082	0	3,535.55
Nov 12, 2020	0.000080	0.000081	0.000079	0.000080	0	3,464.57
Nov 11, 2020	0.000080	0.000082	0.000079	0.000080	0	3,465.61
Nov 10, 2020	0.000079	0.000082	0.000079	0.000080	0	3,428.81
Nov 09, 2020	0.000081	0.000082	0.000078	0.000079	0	3,422.69
Nov 08, 2020	0.000012	0.000083	0.000012	0.000081	0	3,501.93
Nov 07, 2020	0.000013	0.000013	0.000012	0.000012	0	521.39
Nov 06, 2020	0.000080	0.000085	0.000012	0.000013	0	550.39
Nov 05, 2020	0.000074	0.000082	0.000074	0.000080	0	3,444.96
Nov 04, 2020	0.000075	0.000075	0.000072	0.000074	0	3,205.29
Nov 03, 2020	0.000023	0.000076	0.000022	0.000075	0.746498	3,210.25
Nov 02, 2020	0.000024	0.000024	0.000023	0.000023	3.94	977.28
Nov 01, 2020	0.000012	0.000024	0.000012	0.000024	0.236086	1,013.69
Oct 31, 2020	0.000012	0.000012	0.000012	0.000012	0	502.67
Oct 30, 2020	0.000062	0.000063	0.000011	0.000012	1.70e-7	496.77
Oct 29, 2020	0.000063	0.000063	0.000061	0.000062	0	2,664.65
Oct 28, 2020	0.000011	0.000065	0.000011	0.000063	5.96	2,703.70
Oct 27, 2020	0.000065	0.000066	0.000011	0.000011	0.000926	461.46
Oct 26, 2020	0.000067	0.000067	0.000064	0.000065	0	2,786.79
Oct 25, 2020	0.000011	0.000068	0.000011	0.000067	6.02	2,863.99
Oct 24, 2020	0.000011	0.000011	0.000011	0.000011	0.000556	479.34
Oct 23, 2020	0.000010	0.000011	0.000010	0.000011	0.013518	469.42
Oct 22, 2020	0.000083	0.000086	0.000010	0.000010	1.86	451.65
Oct 21, 2020	0.000566	0.000587	0.000010	0.000083	8.08	3,564.05
Oct 20, 2020	0.000597	0.000606	0.000565	0.000566	0	24,385.31
Oct 19, 2020	0.000557	0.000611	0.000557	0.000597	0	25,693.90
Oct 18, 2020	0.000573	0.000575	0.000556	0.000557	0	23,976.76
Oct 17, 2020	0.000551	0.000585	0.000545	0.000573	0	24,689.74
Oct 16, 2020	0.000091	0.000551	0.000090	0.000551	0.000006	23,721.10
Oct 15, 2020	0.000044	0.000092	0.000044	0.000091	0	3,935.92
Oct 14, 2020	0.000200	0.000292	0.000044	0.000044	1,099.70	1,899.10
Oct 13, 2020	0.000449	0.000449	0.000200	0.000200	1,752.21	8,630.94
Oct 12, 2020	0.000400	0.000483	0.000300	0.000449	74.34	19,332.82
Oct 11, 2020	0.000362	0.000401	0.000320	0.000400	60.43	17,223.00
Oct 10, 2020	0.000319	0.000363	0.000319	0.000362	1.40	15,570.19
Oct 09, 2020	0.000201	0.000319	0.000201	0.000319	375.26	13,735.34
Oct 08, 2020	0.000288	0.000288	0.000198	0.000201	5.75	8,669.20
Oct 07, 2020	0.000200	0.000290	0.000200	0.000288	187.87	12,396.23
