date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000055	0.000055	0.000046	0.000055	1,177.06	0
Dec 15, 2020	0.000055	0.000055	0.000055	0.000055	221.84	0
Dec 14, 2020	0.000055	0.000055	0.000055	0.000055	1.46	0
Dec 13, 2020	0.000055	0.000055	0.000055	0.000055	1.46	0
Dec 12, 2020	0.000055	0.000055	0.000055	0.000055	1.46	0
Dec 11, 2020	0.000055	0.000055	0.000055	0.000055	1.46	0
Dec 10, 2020	0.000101	0.000101	0.000055	0.000055	1.46	0
Dec 09, 2020	0.000101	0.000102	0.000101	0.000101	20.43	0
Dec 08, 2020	0.000101	0.000102	0.000101	0.000101	20.46	0
Dec 07, 2020	0.000101	0.000102	0.000101	0.000101	20.48	0
Dec 06, 2020	0.000092	0.000101	0.000092	0.000101	20.49	0
Dec 05, 2020	0.000092	0.000092	0.000092	0.000092	486.16	0
Dec 04, 2020	0.000055	0.000092	0.000055	0.000092	486.16	0
Dec 03, 2020	0.000055	0.000055	0.000055	0.000055	5.22	0
Dec 02, 2020	0.000054	0.000055	0.000054	0.000055	131.80	0
Dec 01, 2020	0.000090	0.000090	0.000054	0.000054	131.08	0
Nov 30, 2020	0.000100	0.000100	0.000090	0.000090	143.85	0
Nov 29, 2020	0.000118	0.000118	0.000100	0.000100	1,069.42	0
Nov 28, 2020	0.000063	0.000127	0.000045	0.000118	1,047.54	0
Nov 27, 2020	0.000145	0.000145	0.000063	0.000063	1,047.63	0
Nov 26, 2020	0.000145	0.000145	0.000054	0.000145	666.85	0
Nov 25, 2020	0.000144	0.000145	0.000144	0.000145	3.83	0
Nov 24, 2020	0.000144	0.000144	0.000144	0.000144	3.82	0
Nov 23, 2020	0.000144	0.000144	0.000143	0.000144	3.81	0
Nov 22, 2020	0.000143	0.000144	0.000143	0.000144	3.80	0
Nov 21, 2020	0.000090	0.000143	0.000090	0.000143	3.80	0
Nov 20, 2020	0.000090	0.000090	0.000089	0.000090	518.32	0
Nov 19, 2020	0.000090	0.000090	0.000089	0.000090	518.72	0
Nov 18, 2020	0.000099	0.000100	0.000090	0.000090	522.16	0
Nov 17, 2020	0.000099	0.000100	0.000099	0.000099	361.87	0
Nov 16, 2020	0.000099	0.000100	0.000099	0.000099	361.40	0
Nov 15, 2020	0.000099	0.000099	0.000099	0.000099	361.20	0
Nov 14, 2020	0.000099	0.000099	0.000099	0.000099	361.00	0
Nov 13, 2020	0.000126	0.000135	0.000099	0.000099	361.00	0
Nov 12, 2020	0.000126	0.000126	0.000125	0.000126	331.55	0
Nov 11, 2020	0.000125	0.000126	0.000125	0.000126	332.39	0
Nov 10, 2020	0.000125	0.000126	0.000125	0.000125	331.00	0
