date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.078247	0.079598	0.076277	0.078490	1,512,355	18,352,376
Dec 15, 2020	0.073747	0.080260	0.073246	0.078252	1,982,463	18,296,706
Dec 14, 2020	0.074575	0.074582	0.073506	0.073699	761,831	17,232,172
Dec 13, 2020	0.072979	0.075165	0.072840	0.074556	943,393	17,432,365
Dec 12, 2020	0.072822	0.074895	0.072022	0.072949	1,095,573	17,056,731
Dec 11, 2020	0.075355	0.075436	0.071677	0.072829	767,887	17,028,647
Dec 10, 2020	0.075494	0.076257	0.072969	0.075350	891,243	17,618,237
Dec 09, 2020	0.073911	0.075592	0.069993	0.075507	1,187,735	17,654,956
Dec 08, 2020	0.078432	0.078849	0.073061	0.073913	1,150,828	17,282,127
Dec 07, 2020	0.079137	0.079469	0.077546	0.078431	709,634	18,338,452
Dec 06, 2020	0.079182	0.079515	0.077730	0.079075	658,856	18,489,131
Dec 05, 2020	0.077513	0.079422	0.076923	0.079179	767,861	18,513,317
Dec 04, 2020	0.080997	0.081139	0.076985	0.077555	941,311	18,133,666
Dec 03, 2020	0.080146	0.081072	0.079486	0.080997	1,057,296	18,938,558
Dec 02, 2020	0.078572	0.080556	0.077803	0.080145	1,138,976	18,739,238
Dec 01, 2020	0.081347	0.082721	0.077554	0.078557	1,365,734	18,368,033
Nov 30, 2020	0.078571	0.081891	0.077952	0.081350	1,680,520	19,020,951
Nov 29, 2020	0.078422	0.079358	0.075071	0.078569	1,033,512	18,370,744
Nov 28, 2020	0.079357	0.079846	0.076983	0.078422	956,491	18,336,420
Nov 27, 2020	0.078195	0.079465	0.075219	0.079264	1,192,053	18,533,335
Nov 26, 2020	0.088265	0.089797	0.073536	0.078196	2,354,066	18,283,535
Nov 25, 2020	0.086421	0.093267	0.085622	0.088305	3,849,574	20,647,256
Nov 24, 2020	0.083418	0.088610	0.082557	0.086374	2,881,370	20,195,735
Nov 23, 2020	0.079710	0.083528	0.078100	0.083375	1,796,255	19,494,507
Nov 22, 2020	0.082928	0.083243	0.077095	0.079712	1,417,496	18,638,012
Nov 21, 2020	0.076882	0.084600	0.076487	0.082927	1,921,169	19,389,871
Nov 20, 2020	0.076370	0.078302	0.076322	0.076883	964,607	17,976,501
Nov 19, 2020	0.077553	0.077738	0.076041	0.076369	868,855	17,856,294
Nov 18, 2020	0.079293	0.079895	0.075567	0.077553	1,264,929	18,133,303
Nov 17, 2020	0.079223	0.079695	0.078081	0.079293	1,053,125	18,539,990
Nov 16, 2020	0.077516	0.079701	0.076938	0.078644	1,079,524	18,388,290
Nov 15, 2020	0.078309	0.078955	0.075743	0.077516	889,782	18,124,632
Nov 14, 2020	0.079379	0.079506	0.077316	0.078308	825,848	18,309,818
Nov 13, 2020	0.077251	0.080724	0.077240	0.079379	929,181	18,560,186
Nov 12, 2020	0.077069	0.079640	0.076347	0.077255	826,171	18,063,507
Nov 11, 2020	0.080686	0.082184	0.076993	0.077074	1,078,624	18,021,251
Nov 10, 2020	0.078001	0.081540	0.077937	0.080683	1,137,881	18,865,036
Nov 09, 2020	0.079433	0.080278	0.075741	0.077991	993,235	18,235,573
Nov 08, 2020	0.076449	0.080795	0.075189	0.079433	1,058,647	18,572,708
Nov 07, 2020	0.075193	0.089162	0.073510	0.076449	2,769,041	17,875,028
Nov 06, 2020	0.070675	0.076223	0.069099	0.075193	1,454,980	17,581,522
Nov 05, 2020	0.066356	0.070844	0.066170	0.070675	1,121,990	16,525,071
Nov 04, 2020	0.067928	0.068090	0.064169	0.066355	1,554,045	15,514,985
Nov 03, 2020	0.072482	0.073242	0.067255	0.067929	2,908,598	15,882,978
Nov 02, 2020	0.077711	0.078518	0.072477	0.072482	3,735,795	16,947,429
Nov 01, 2020	0.079170	0.081117	0.076984	0.077711	11,831,455	18,170,193
Oct 31, 2020	0.080582	0.082500	0.079054	0.079170	6,601,378	18,511,318
Oct 30, 2020	0.086424	0.087112	0.079685	0.080582	14,056,730	18,841,410
Oct 29, 2020	0.089824	0.089824	0.086074	0.086424	16,511,996	20,207,450
Oct 28, 2020	0.088113	0.093353	0.086601	0.089824	9,523,209	21,002,355
Oct 27, 2020	0.090411	0.093692	0.087649	0.088113	9,909,009	20,602,390
Oct 26, 2020	0.087774	0.091569	0.084428	0.090411	5,118,283	21,139,605
Oct 25, 2020	0.093324	0.093334	0.087767	0.087774	4,023,589	20,523,164
Oct 24, 2020	0.092121	0.093974	0.092077	0.093324	1,988,441	21,820,698
Oct 23, 2020	0.093735	0.094001	0.091539	0.092121	2,041,059	21,539,586
Oct 22, 2020	0.092412	0.095195	0.092236	0.093671	2,508,110	21,901,931
Oct 21, 2020	0.092556	0.097503	0.092413	0.092628	6,886,665	21,657,918
Oct 20, 2020	0.096600	0.098156	0.092301	0.092473	18,750,093	21,621,741
Oct 19, 2020	0.095827	0.099514	0.094345	0.096598	9,516,965	22,586,220
Oct 18, 2020	0.098322	0.098657	0.094138	0.095843	6,141,978	22,409,659
Oct 17, 2020	0.095101	0.099026	0.093034	0.098294	9,162,080	22,982,778
Oct 16, 2020	0.093259	0.096109	0.091645	0.095232	5,540,479	22,266,893
Oct 15, 2020	0.094551	0.098288	0.091695	0.093212	5,354,332	21,794,602
Oct 14, 2020	0.097313	0.098155	0.094304	0.094738	5,257,761	22,151,336
Oct 13, 2020	0.098732	0.100640	0.096964	0.097198	4,136,792	22,726,591
Oct 12, 2020	0.099003	0.100457	0.097012	0.098739	1,812,717	23,235,103
Oct 11, 2020	0.097986	0.100787	0.097900	0.098982	1,783,813	23,292,165
Oct 10, 2020	0.101790	0.105619	0.097901	0.097993	4,640,909	23,157,446
Oct 09, 2020	0.093000	0.104486	0.092313	0.101801	6,521,786	24,142,234
Oct 08, 2020	0.090905	0.093886	0.089600	0.092743	2,283,086	21,993,975
Oct 07, 2020	0.090227	0.091967	0.089024	0.090856	1,227,757	21,546,532
