date	open	high	low	close	volume	market_cap
Dec 16, 2020	69.38	69.42	69.32	69.35	0	0
Dec 15, 2020	69.37	69.40	69.36	69.38	0	0
Dec 14, 2020	69.36	69.40	69.35	69.37	0	0
Dec 13, 2020	69.37	69.40	69.34	69.36	0	0
Dec 12, 2020	69.37	69.41	68.98	69.37	0	0
Dec 11, 2020	69.37	69.46	69.22	69.37	0	0
Dec 10, 2020	69.42	69.43	69.36	69.37	0	0
Dec 09, 2020	69.38	69.99	69.36	69.42	0	0
Dec 08, 2020	69.37	69.43	69.35	69.38	0	0
Dec 07, 2020	69.39	69.40	69.37	69.37	0	0
Dec 06, 2020	69.37	69.40	69.36	69.39	0	0
Dec 05, 2020	71.69	71.71	69.37	69.37	157.98	0
Dec 04, 2020	75.51	75.54	71.69	71.69	255.12	0
Dec 03, 2020	75.51	75.55	75.48	75.51	0	0
Dec 02, 2020	74.55	75.57	73.25	75.51	514.35	0
Dec 01, 2020	75.32	76.93	74.55	74.55	3,696.56	0
Nov 30, 2020	69.07	75.34	68.14	75.32	17,854.67	0
Nov 29, 2020	85.99	108.17	67.63	69.07	97,176.09	0
Nov 28, 2020	86.05	86.06	85.98	85.99	0	0
Nov 27, 2020	86.11	86.18	86.04	86.05	85.84	0
Nov 26, 2020	86.10	86.20	86.06	86.13	0	0
Nov 25, 2020	90.26	90.28	86.07	86.10	3,455.43	0
Nov 24, 2020	90.15	92.53	90.13	90.27	25,276.67	0
