date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.013229	0.014006	0.010199	0.010302	1,185.78	850,132
Dec 15, 2020	0.010318	0.014492	0.010224	0.013216	1,250.61	1,090,629
Dec 14, 2020	0.008615	0.010291	0.008398	0.010291	0	849,202
Dec 13, 2020	0.008216	0.008640	0.008091	0.008615	0	710,900
Dec 12, 2020	0.007850	0.008292	0.007793	0.008216	0	677,973
Dec 11, 2020	0.008175	0.008175	0.007590	0.007850	0	647,808
Dec 10, 2020	0.008137	0.008731	0.007758	0.008177	0	674,761
Dec 09, 2020	0.007853	0.008252	0.007596	0.008137	0	671,444
Dec 08, 2020	0.008442	0.008515	0.007852	0.007852	0	648,002
Dec 07, 2020	0.008521	0.008538	0.008281	0.008442	0	696,685
Dec 06, 2020	0.008449	0.008657	0.008391	0.008521	0	703,183
Dec 05, 2020	0.008048	0.008483	0.007952	0.008448	0	697,137
Dec 04, 2020	0.008632	0.008862	0.008013	0.008048	0	664,171
Dec 03, 2020	0.008265	0.008724	0.008128	0.008632	0	712,333
Dec 02, 2020	0.008002	0.008279	0.007851	0.008265	0	682,086
Dec 01, 2020	0.008444	0.008511	0.007848	0.008002	0	660,339
Nov 30, 2020	0.007991	0.008488	0.007961	0.008448	61.36	697,131
Nov 29, 2020	0.008050	0.008163	0.007829	0.007990	0	659,324
Nov 28, 2020	0.007916	0.008224	0.007735	0.008049	44.51	664,256
Nov 27, 2020	0.007822	0.008130	0.007532	0.007916	0	653,231
Nov 26, 2020	0.008859	0.008969	0.007482	0.007825	0	645,726
Nov 25, 2020	0.009051	0.009304	0.008537	0.008859	0.163923	731,084
Nov 24, 2020	0.009260	0.009499	0.008840	0.009051	80.36	746,942
Nov 23, 2020	0.009161	0.009648	0.008978	0.009258	0	763,973
Nov 22, 2020	0.009671	0.009733	0.008570	0.009161	0	756,023
Nov 21, 2020	0.008173	0.009894	0.008173	0.009671	208.20	798,088
Nov 20, 2020	0.008137	0.008424	0.007958	0.008173	0	674,461
Nov 19, 2020	0.007768	0.008447	0.007473	0.008137	0	671,481
Nov 18, 2020	0.007683	0.008309	0.006917	0.007767	0	640,926
Nov 17, 2020	0.006707	0.007909	0.006626	0.007683	0	634,015
Nov 16, 2020	0.006026	0.006225	0.005816	0.006001	0	495,199
Nov 15, 2020	0.005478	0.006338	0.005452	0.006026	0	497,289
Nov 14, 2020	0.005693	0.005812	0.005329	0.005478	54.38	452,061
Nov 13, 2020	0.005376	0.005718	0.005332	0.005693	0	469,833
Nov 12, 2020	0.005716	0.005746	0.005188	0.005376	0	443,607
Nov 11, 2020	0.005929	0.006129	0.005696	0.005716	0	471,712
Nov 10, 2020	0.005350	0.005929	0.005350	0.005929	0	489,309
Nov 09, 2020	0.005296	0.005515	0.005089	0.005350	0	441,497
Nov 08, 2020	0.005114	0.005466	0.005053	0.005344	0	440,981
Nov 07, 2020	0.005584	0.006120	0.004917	0.005126	68.75	423,003
Nov 06, 2020	0.004542	0.005652	0.004515	0.005575	0	460,022
Nov 05, 2020	0.004364	0.004692	0.004348	0.004542	0	374,806
Nov 04, 2020	0.004545	0.004552	0.004174	0.004364	0	360,106
Nov 03, 2020	0.004792	0.004950	0.004545	0.004545	0	375,046
Nov 02, 2020	0.004910	0.005278	0.004625	0.004791	0	395,396
Nov 01, 2020	0.004896	0.005113	0.004577	0.004909	0	405,132
Oct 31, 2020	0.004818	0.005057	0.004634	0.004896	463.39	404,040
