date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000194	0.000215	0.000193	0.000213	0	150,969
Dec 15, 2020	0.000192	0.000195	0.000191	0.000194	0	137,605
Dec 14, 2020	0.000191	0.000193	0.000190	0.000193	43.03	136,425
Dec 13, 2020	0.000376	0.000388	0.000190	0.000191	210.63	135,656
Dec 12, 2020	0.000181	0.000378	0.000180	0.000376	594.01	266,367
Dec 11, 2020	0.000183	0.000183	0.000176	0.000181	0	128,038
Dec 10, 2020	0.000186	0.000186	0.000180	0.000183	0	129,461
Dec 09, 2020	0.000183	0.000186	0.000179	0.000186	0	131,534
Dec 08, 2020	0.000192	0.000193	0.000183	0.000183	0	129,799
Dec 07, 2020	0.000193	0.000194	0.000189	0.000192	0	135,986
Dec 06, 2020	0.000192	0.000194	0.000189	0.000193	27.03	137,016
Dec 05, 2020	0.000187	0.000192	0.000186	0.000192	0	135,706
Dec 04, 2020	0.000194	0.000195	0.000187	0.000187	0	132,504
Dec 03, 2020	0.000192	0.000196	0.000189	0.000194	0	137,789
Dec 02, 2020	0.000188	0.000193	0.000183	0.000192	0	136,053
Dec 01, 2020	0.000196	0.000198	0.000183	0.000188	0	133,230
Nov 30, 2020	0.000182	0.000197	0.000182	0.000196	0	139,061
Nov 29, 2020	0.000177	0.000183	0.000176	0.000182	0	128,794
Nov 28, 2020	0.000171	0.000179	0.000169	0.000177	0	125,533
Nov 27, 2020	0.000172	0.000174	0.000165	0.000171	0	121,216
Nov 26, 2020	0.000187	0.000189	0.000164	0.000171	0	121,474
Nov 25, 2020	0.000191	0.000194	0.000186	0.000187	0	132,729
Nov 24, 2020	0.000184	0.000193	0.000181	0.000191	0	135,391
Nov 23, 2020	0.000184	0.000187	0.000180	0.000184	0	130,026
Nov 22, 2020	0.000186	0.000187	0.000177	0.000184	0	130,322
Nov 21, 2020	0.000186	0.000189	0.000184	0.000186	0	132,060
Nov 20, 2020	0.000178	0.000188	0.000178	0.000186	0	131,959
Nov 19, 2020	0.000178	0.000181	0.000174	0.000178	0	126,097
Nov 18, 2020	0.000176	0.000184	0.000174	0.000178	0	126,131
Nov 17, 2020	0.000167	0.000178	0.000166	0.000176	0	125,014
Nov 16, 2020	0.000160	0.000168	0.000159	0.000167	0	118,426
Nov 15, 2020	0.000161	0.000161	0.000158	0.000160	0	113,047
Nov 14, 2020	0.000163	0.000163	0.000157	0.000161	0	113,838
Nov 13, 2020	0.000163	0.000165	0.000160	0.000163	0	115,613
Nov 12, 2020	0.000157	0.000163	0.000155	0.000163	0	115,318
Nov 11, 2020	0.000153	0.000159	0.000153	0.000157	0	111,259
