date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.004273	0.005825	0.004145	0.005322	856.40	46,955.05
Dec 15, 2020	0.004696	0.005571	0.004237	0.004273	35.45	37,694.77
Dec 14, 2020	0.004713	0.005578	0.004677	0.004698	253.79	41,441.89
Dec 13, 2020	0.004358	0.004839	0.003128	0.004714	155.49	41,588.57
Dec 12, 2020	0.003849	0.004628	0.003711	0.004356	36.04	38,395.05
Dec 11, 2020	0.003687	0.004522	0.003592	0.003852	50.10	33,905.31
Dec 10, 2020	0.003635	0.004560	0.003265	0.003689	525.53	32,420.92
Dec 09, 2020	0.004254	0.004263	0.003387	0.003638	95.34	31,926.45
Dec 08, 2020	0.004030	0.004791	0.003915	0.004255	74.17	37,296.19
Dec 07, 2020	0.004835	0.004853	0.003597	0.004030	76.55	35,274.48
Dec 06, 2020	0.004786	0.004848	0.003781	0.004834	170.22	42,250.83
Dec 05, 2020	0.004114	0.004785	0.003247	0.004784	701.37	41,751.54
Dec 04, 2020	0.003718	0.004860	0.003666	0.004127	254.27	35,966.46
Dec 03, 2020	0.003484	0.005074	0.003448	0.003717	339.68	32,345.91
Dec 02, 2020	0.003795	0.004655	0.003460	0.003485	187.26	30,284.89
Dec 01, 2020	0.002733	0.004562	0.002692	0.003796	390.45	32,938.27
Nov 30, 2020	0.003382	0.004315	0.002264	0.002733	112.47	23,684.11
Nov 29, 2020	0.003189	0.004686	0.002985	0.003382	156.90	29,265.64
Nov 28, 2020	0.003738	0.003898	0.002996	0.003189	35.61	27,558.94
Nov 27, 2020	0.003086	0.003894	0.001757	0.003738	61.07	32,254.98
Nov 26, 2020	0.003746	0.003773	0.003042	0.003082	0.742146	26,557.73
Nov 25, 2020	0.004217	0.004959	0.003716	0.003747	116.75	32,238.59
Nov 24, 2020	0.003489	0.004221	0.003278	0.004218	17.10	36,241.46
Nov 23, 2020	0.002939	0.004842	0.002880	0.003490	316.66	29,943.32
Nov 22, 2020	0.003356	0.003690	0.002940	0.002943	233.19	25,214.43
Nov 21, 2020	0.003745	0.004851	0.003189	0.003356	136.14	28,707.49
