date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.027380	0.035105	0.027210	0.030684	2,464.27	0
Dec 15, 2020	0.030988	0.033144	0.027378	0.027381	277.56	0
Dec 14, 2020	0.031965	0.039890	0.029394	0.031001	4,047.53	0
Dec 13, 2020	0.030235	0.037324	0.030232	0.031975	1,905.99	0
Dec 12, 2020	0.026915	0.032709	0.026090	0.030223	2,672.78	0
Dec 11, 2020	0.033423	0.033423	0.026058	0.026935	2,766.65	0
Dec 10, 2020	0.037849	0.044702	0.033438	0.033438	486.61	0
Dec 09, 2020	0.042714	0.048142	0.032328	0.037872	4,856.07	0
Dec 08, 2020	0.041458	0.050375	0.036789	0.042731	11,776.94	0
Dec 07, 2020	0.036163	0.047028	0.035513	0.041466	5,726.77	0
Dec 06, 2020	0.037903	0.038127	0.034369	0.036161	6,268.75	0
Dec 05, 2020	0.027008	0.037887	0.026855	0.037887	11,234.53	0
Dec 04, 2020	0.025414	0.029557	0.025272	0.027086	7,207.99	0
Dec 03, 2020	0.023620	0.026816	0.023062	0.025409	1,175.61	0
Dec 02, 2020	0.023456	0.026359	0.023233	0.023624	771.73	0
Dec 01, 2020	0.017849	0.026090	0.014733	0.023457	2,205.66	0
Nov 30, 2020	0.026245	0.031162	0.017109	0.017850	3,239.71	0
Nov 29, 2020	0.015412	0.029090	0.014924	0.026246	4,790.59	0
Nov 28, 2020	0.014205	0.017614	0.013756	0.015413	627.77	0
Nov 27, 2020	0.015331	0.017477	0.013888	0.014205	2,510.06	0
Nov 26, 2020	0.017808	0.017923	0.011077	0.015326	2,404.51	0
Nov 25, 2020	0.010791	0.018099	0.010452	0.017829	2,327.38	0
Nov 24, 2020	0.011939	0.012060	0.010763	0.010780	409.39	0
Nov 23, 2020	0.012492	0.013230	0.009225	0.011928	1,269.36	0
Nov 22, 2020	0.013396	0.013405	0.012009	0.012493	247.59	0
Nov 21, 2020	0.012104	0.013678	0.012008	0.013396	897.65	0
Nov 20, 2020	0.013396	0.014534	0.009499	0.012104	8,464.33	0
Nov 19, 2020	0.012801	0.014405	0.012496	0.013396	904.08	0
Nov 18, 2020	0.012528	0.015540	0.012231	0.012800	1,884.65	0
Nov 17, 2020	0.011849	0.013682	0.011771	0.012528	4,974.83	0
Nov 16, 2020	0.014360	0.014952	0.013261	0.014208	643.44	0
Nov 15, 2020	0.013337	0.015602	0.013123	0.014360	1,229.09	0
Nov 14, 2020	0.015391	0.015391	0.012870	0.013336	269.31	0
Nov 13, 2020	0.010254	0.015812	0.010254	0.015391	1,936.81	0
Nov 12, 2020	0.011626	0.013444	0.009676	0.010254	1,435.87	0
Nov 11, 2020	0.009023	0.015019	0.009023	0.011628	901.92	0
Nov 10, 2020	0.011959	0.013100	0.009022	0.009024	2,179.14	0
Nov 09, 2020	0.011914	0.014349	0.011813	0.011960	150.26	0
Nov 08, 2020	0.011570	0.014562	0.011269	0.011913	1,588.27	0
Nov 07, 2020	0.012608	0.013508	0.011108	0.011570	402.75	0
Nov 06, 2020	0.013709	0.019038	0.011926	0.012608	3,710.60	0
Nov 05, 2020	0.014275	0.015511	0.013231	0.013688	2,811.32	0
Nov 04, 2020	0.013939	0.014897	0.012932	0.014275	260.05	0
Nov 03, 2020	0.016933	0.016934	0.010322	0.013904	3,564.31	0
Nov 02, 2020	0.015785	0.016982	0.014372	0.016944	1,534.83	0
Nov 01, 2020	0.014332	0.017809	0.014037	0.015785	1,274.85	0
Oct 31, 2020	0.012869	0.015073	0.012251	0.014332	153.90	0
Oct 30, 2020	0.015862	0.016144	0.011192	0.012869	1,222.00	0
Oct 29, 2020	0.014253	0.015889	0.014141	0.015862	438.48	0
Oct 28, 2020	0.015703	0.016236	0.014097	0.014253	192.49	0
Oct 27, 2020	0.015729	0.016869	0.015684	0.015684	175.58	0
Oct 26, 2020	0.016628	0.024376	0.013200	0.015726	6,118.77	0
Oct 25, 2020	0.015980	0.018082	0.015694	0.016622	617.17	0
Oct 24, 2020	0.016477	0.017707	0.015169	0.015985	1,636.20	0
Oct 23, 2020	0.016266	0.017422	0.014891	0.016473	962.46	0
Oct 22, 2020	0.015142	0.018267	0.014871	0.016265	1,438.64	0
Oct 21, 2020	0.014821	0.015479	0.012683	0.015142	645.15	0
Oct 20, 2020	0.016128	0.016324	0.014789	0.014821	502.26	0
Oct 19, 2020	0.014613	0.016739	0.014320	0.016128	1,237.12	0
Oct 18, 2020	0.016123	0.016557	0.014528	0.014613	619.26	0
Oct 17, 2020	0.010266	0.016294	0.010127	0.016123	369.35	0
Oct 16, 2020	0.016735	0.017151	0.010219	0.010266	4,373.26	0
Oct 15, 2020	0.016363	0.023065	0.014413	0.016735	4,408.95	0
