date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.919764	0.944502	0.832687	0.926995	39,353.73	1,622,241
Dec 15, 2020	1.01	1.03	0.919764	0.919764	28,632.84	1,609,586
Dec 14, 2020	1.15	1.20	1.00	1.01	57,241.88	1,768,247
Dec 13, 2020	1.17	1.22	1.13	1.15	16,169.41	2,004,589
Dec 12, 2020	0.971659	1.20	0.911912	1.17	156,418	2,054,743
Dec 11, 2020	0.945000	0.982972	0.874800	0.971627	37,552.32	1,700,347
Dec 10, 2020	0.872622	1.06	0.827066	0.945026	130,663	1,653,795
Dec 09, 2020	0.783567	0.893559	0.611026	0.872603	121,389	1,527,056
Dec 08, 2020	0.899514	0.903590	0.783513	0.783513	9,924.85	1,371,148
Dec 07, 2020	0.898381	0.902343	0.849597	0.899541	14,651.72	1,574,196
Dec 06, 2020	0.936210	0.949157	0.831927	0.898285	25,880.79	1,571,998
Dec 05, 2020	0.956588	0.970682	0.915577	0.936170	20,744.70	1,638,297
Dec 04, 2020	1.04	1.08	0.925414	0.956629	45,553.89	1,674,100
Dec 03, 2020	0.895136	1.12	0.821692	1.04	144,966	1,813,796
Dec 02, 2020	0.784842	0.895768	0.678855	0.895155	68,405.67	1,566,521
Dec 01, 2020	1.02	1.02	0.725788	0.784870	63,710.44	1,373,523
Nov 30, 2020	1.11	1.16	0.915180	1.02	65,647.48	1,787,955
Nov 29, 2020	0.896734	1.11	0.876509	1.11	57,057.62	1,949,616
Nov 28, 2020	0.772452	0.908734	0.757109	0.896770	18,178.27	1,569,347
Nov 27, 2020	0.759971	0.784246	0.754715	0.772404	6,768.05	1,351,706
Nov 26, 2020	0.733401	0.776487	0.658527	0.759869	17,931.36	1,329,771
Nov 25, 2020	0.883097	0.883798	0.723160	0.733432	44,988.64	1,283,506
Nov 24, 2020	0.865266	0.942487	0.856989	0.883072	33,098.80	1,545,376
Nov 23, 2020	0.775511	0.903592	0.766025	0.865302	110,303	1,514,278
Nov 22, 2020	0.742537	0.801954	0.609346	0.775546	46,696.21	1,357,205
Nov 21, 2020	0.599140	0.804252	0.598835	0.742542	59,763.51	1,299,449
Nov 20, 2020	0.550763	0.609775	0.550170	0.599160	15,117.73	1,048,530
Nov 19, 2020	0.595031	0.606638	0.523253	0.550764	15,612.26	963,837
Nov 18, 2020	0.600202	0.619178	0.562877	0.594987	23,528.30	1,041,227
Nov 17, 2020	0.685259	0.685746	0.594396	0.600381	34,498.98	1,050,666
Nov 16, 2020	0.720641	0.739266	0.674632	0.679607	22,052.30	1,189,311
Nov 15, 2020	0.758293	0.758293	0.711520	0.720637	3,708.22	1,261,115
Nov 14, 2020	0.780465	0.780939	0.750678	0.758276	5,862.67	1,326,984
Nov 13, 2020	0.782887	0.839893	0.764040	0.780284	20,714.36	1,365,496
Nov 12, 2020	0.816700	0.816846	0.676236	0.783085	66,742.35	1,370,398
Nov 11, 2020	0.786901	0.824669	0.786901	0.816703	16,468.68	1,429,230
Nov 10, 2020	0.900514	1.01	0.783105	0.787122	45,920.81	1,377,464
Nov 09, 2020	0.830921	1.03	0.813710	0.900528	97,243.85	1,575,923
Nov 08, 2020	0.578582	0.834836	0.574223	0.830926	58,642.80	1,454,120
Nov 07, 2020	0.538212	0.634752	0.534044	0.578668	33,150.84	1,012,668
Nov 06, 2020	0.474816	0.539986	0.446361	0.538026	24,268.30	941,546
Nov 05, 2020	0.502506	0.519873	0.446513	0.474820	27,618.32	830,935
Nov 04, 2020	0.493745	0.588474	0.468884	0.502497	248,119	879,370
Nov 03, 2020	0.518867	0.527323	0.482586	0.493746	44,156.07	864,056
Nov 02, 2020	0.551177	0.594187	0.517808	0.518841	76,147.71	907,971
Nov 01, 2020	0.467059	0.555970	0.459730	0.551166	66,578.69	964,541
Oct 31, 2020	0.472738	0.475946	0.462323	0.467058	43,252.46	817,352
Oct 30, 2020	0.471173	0.505427	0.462154	0.472735	54,209.28	827,287
Oct 29, 2020	0.529873	0.530344	0.438748	0.471177	96,713.65	824,559
Oct 28, 2020	0.592248	0.597517	0.524710	0.529951	58,642.89	927,415
Oct 27, 2020	0.549349	0.593361	0.548761	0.592256	54,666.83	1,036,449
Oct 26, 2020	0.576732	0.578688	0.527488	0.549330	76,307.85	961,328
Oct 25, 2020	0.583187	0.592281	0.576727	0.576735	50,197.04	1,009,286
Oct 24, 2020	0.587998	0.608043	0.580406	0.583192	56,272.03	1,020,586
Oct 23, 2020	0.672892	0.673618	0.582785	0.588008	58,412.26	1,029,013
Oct 22, 2020	0.605818	0.681737	0.588471	0.673374	45,793.29	1,178,405
Oct 21, 2020	0.632498	0.652866	0.591960	0.605860	62,746.80	1,060,255
Oct 20, 2020	0.602351	0.634071	0.582667	0.632540	99,529.68	1,106,945
Oct 19, 2020	0.626358	0.681187	0.601460	0.602434	77,430.15	1,054,260
Oct 18, 2020	0.673264	0.673264	0.628680	0.629019	313,945	1,100,783
Oct 17, 2020	0.691755	0.698745	0.648518	0.669004	366,676	1,170,757
Oct 16, 2020	0.706247	0.706550	0.597469	0.695397	421,895	1,216,945
Oct 15, 2020	0.786435	0.791044	0.673581	0.700767	401,083	1,226,342
Oct 14, 2020	0.810875	0.899098	0.738893	0.790965	421,195	1,384,189
Oct 13, 2020	0.890566	0.891508	0.769565	0.810875	21,485.77	1,419,032
Oct 12, 2020	0.868749	0.998740	0.837924	0.890566	66,645.36	1,558,491
Oct 11, 2020	0.879426	0.916569	0.860433	0.868749	12,563.88	1,520,311
Oct 10, 2020	1.02	1.05	0.879426	0.879426	65,474.20	1,538,996
Oct 09, 2020	0.756577	1.07	0.717683	1.02	83,019.29	1,777,324
Oct 08, 2020	0.698685	0.766142	0.654290	0.766125	46,350.40	1,340,719
Oct 07, 2020	0.693668	0.751056	0.611890	0.698685	90,400.47	1,222,698
Oct 06, 2020	0.827495	0.873243	0.672603	0.693668	97,110.03	1,213,918
Oct 05, 2020	0.896065	0.929400	0.788025	0.827495	66,629.53	1,448,116
Oct 04, 2020	0.873680	0.976470	0.775191	0.896096	103,845	1,568,167
Oct 03, 2020	0.998978	1.07	0.837066	0.885762	97,241.86	1,550,083
Oct 02, 2020	1.28	1.28	0.840011	0.998978	152,638	1,748,211
Oct 01, 2020	1.33	1.45	1.11	1.28	361,868	2,234,670
Sep 30, 2020	1.57	2.07	1.08	1.33	926,918	2,329,588
Sep 29, 2020	1.37	1.93	1.30	1.57	270,616	2,751,401
Sep 28, 2020	1.29	1.44	1.25	1.37	92,041.55	2,402,186
Sep 27, 2020	1.15	1.40	1.15	1.29	71,000.59	2,251,551
Sep 26, 2020	1.13	1.27	1.08	1.15	55,832.81	2,020,078
Sep 25, 2020	1.10	1.14	1.06	1.13	53,448.16	1,981,394
Sep 24, 2020	1.06	1.14	1.01	1.10	67,893.24	1,932,094
Sep 23, 2020	1.16	1.24	0.969626	1.06	57,393.18	1,849,987
Sep 22, 2020	1.21	1.22	1.06	1.16	47,066.05	2,036,434
Sep 21, 2020	1.33	1.38	1.13	1.22	43,247.77	2,128,925
Sep 20, 2020	1.15	1.43	1.15	1.33	74,338.39	2,332,805
Sep 19, 2020	1.14	1.23	1.06	1.15	61,984.05	2,018,226
Sep 18, 2020	1.26	1.52	1.07	1.14	31,402.78	2,003,135
Sep 17, 2020	1.10	1.37	1.10	1.26	51,479.77	2,206,103
Sep 16, 2020	1.21	1.22	1.02	1.10	54,635.38	1,921,187
Sep 15, 2020	1.44	1.54	1.13	1.21	94,613.34	2,109,770
Sep 14, 2020	1.31	1.66	1.18	1.44	87,655.29	2,515,887
Sep 13, 2020	1.36	1.45	1.23	1.31	57,045.67	2,289,931
Sep 12, 2020	1.69	1.71	1.27	1.36	94,194.11	2,377,428
Sep 11, 2020	1.62	1.70	1.47	1.69	60,257.03	2,966,023
Sep 10, 2020	1.73	1.92	1.42	1.62	142,382	2,834,930
Sep 09, 2020	1.44	1.90	1.37	1.73	99,773.58	3,033,804
Sep 08, 2020	1.61	1.89	1.31	1.44	151,773	2,515,743
Sep 07, 2020	1.65	1.70	1.45	1.61	63,942.66	2,811,893
Sep 06, 2020	1.71	1.84	1.55	1.65	105,989	2,891,534
Sep 05, 2020	2.61	2.62	1.54	1.72	209,986	3,003,983
Sep 04, 2020	2.35	2.73	1.79	2.61	231,774	4,570,624
Sep 03, 2020	3.02	3.02	1.36	2.31	761,578	0
Sep 02, 2020	3.10	3.30	2.38	3.00	257,516	0
Sep 01, 2020	3.76	3.83	2.59	3.12	286,360	0
Aug 31, 2020	3.18	4.54	3.11	3.76	654,021	0
Aug 30, 2020	2.53	3.56	2.11	3.18	316,035	0
Aug 29, 2020	2.68	2.98	2.39	2.53	232,043	0
Aug 28, 2020	2.50	3.18	2.36	2.68	254,265	0
Aug 27, 2020	3.50	3.50	2.62	2.67	315,790	0
Aug 26, 2020	3.24	3.73	3.09	3.49	267,527	0
Aug 25, 2020	3.83	4.33	2.59	3.24	534,183	0
Aug 24, 2020	4.54	5.25	2.85	3.81	964,170	0
Aug 23, 2020	3.05	5.26	2.68	4.53	1,750,179	0
Aug 22, 2020	3.28	4.12	2.82	3.05	773,064	0
Aug 21, 2020	1.80	5.55	1.32	3.27	2,246,363	0
Aug 20, 2020	1.38	1.98	1.15	1.79	342,159	0
Aug 19, 2020	1.13	1.80	1.01	1.38	279,866	0
Aug 18, 2020	1.08	1.29	1.03	1.13	125,660	0
Aug 17, 2020	1.33	1.40	0.983547	1.08	193,253	0
Aug 16, 2020	0.958744	1.45	0.956614	1.33	284,144	0
Aug 15, 2020	1.22	1.29	0.957381	0.958014	97,675.50	0
Aug 14, 2020	1.29	1.37	0.962103	1.22	233,472	0
Aug 13, 2020	1.59	1.79	1.13	1.29	251,578	0
Aug 12, 2020	1.63	1.74	1.15	1.59	272,446	0
Aug 11, 2020	1.86	2.23	1.39	1.63	616,398	0
Aug 10, 2020	1.47	1.97	0.849656	1.86	707,827	0
Aug 09, 2020	1.34	2.08	1.34	1.47	711,372	0
Aug 08, 2020	1.09	1.63	1.00	1.33	850,147	0
Aug 07, 2020	0.499896	1.37	0.341911	1.10	1,324,024	0
Aug 06, 2020	0.596074	0.601999	0.412646	0.501190	138,587	0
