date	open	high	low	close	volume	market_cap
Dec 16, 2020	213.25	238.78	200.31	237.08	50,019.76	1,047,403
Dec 15, 2020	170.40	223.72	164.37	213.24	104,337	942,085
Dec 14, 2020	201.30	212.98	150.50	170.41	105,175	752,853
Dec 13, 2020	286.02	287.43	178.86	201.30	103,342	889,322
Dec 12, 2020	202.30	290.83	198.25	286.01	137,589	1,263,596
Dec 11, 2020	232.47	232.49	190.43	202.30	52,157.01	893,750
Dec 10, 2020	257.49	257.78	211.41	232.48	32,049.24	1,027,087
Dec 09, 2020	240.14	265.50	214.89	257.49	53,901.77	1,137,569
Dec 08, 2020	286.69	291.62	237.60	240.14	28,430.60	1,060,953
Dec 07, 2020	269.92	290.33	254.93	286.70	42,888.80	1,266,628
Dec 06, 2020	320.74	338.50	258.26	269.91	55,839.39	1,192,464
Dec 05, 2020	327.90	349.75	313.31	320.75	24,174.19	1,417,061
Dec 04, 2020	377.37	377.39	303.17	327.90	62,898.87	1,448,673
Dec 03, 2020	258.67	394.62	258.67	377.37	119,538	1,667,228
Dec 02, 2020	264.97	275.22	249.03	258.67	31,492.43	1,142,825
Dec 01, 2020	275.48	283.52	258.70	264.97	20,180.04	1,170,639
Nov 30, 2020	266.49	288.52	261.18	275.50	34,718.14	1,217,151
Nov 29, 2020	219.13	270.25	217.76	266.49	26,536.17	1,177,346
Nov 28, 2020	214.33	223.97	184.12	219.13	76,337.34	968,115
Nov 27, 2020	223.98	241.79	208.01	214.32	44,328.23	946,857
Nov 26, 2020	230.86	233.39	194.67	223.97	26,114.89	989,492
Nov 25, 2020	214.81	245.53	211.93	230.86	48,473.47	1,019,940
Nov 24, 2020	236.73	247.16	211.03	214.81	70,037.36	949,050
Nov 23, 2020	265.71	273.57	218.25	236.73	122,355	1,045,893
Nov 22, 2020	254.03	283.40	254.03	265.73	37,914.45	1,173,979
Nov 21, 2020	271.80	292.21	246.48	254.03	115,700	1,122,301
Nov 20, 2020	297.17	310.31	266.66	271.82	38,078.24	1,200,901
Nov 19, 2020	303.27	311.87	277.00	297.17	34,228.78	1,312,887
Nov 18, 2020	296.03	303.24	268.67	303.24	32,655.77	1,339,718
Nov 17, 2020	292.20	321.54	286.23	296.18	32,092.47	1,308,513
Nov 16, 2020	275.04	305.74	262.56	295.54	37,242.63	1,305,694
Nov 15, 2020	268.64	312.49	261.14	275.02	61,561.35	1,215,053
Nov 14, 2020	292.89	293.30	257.00	268.63	70,285.71	1,186,805
Nov 13, 2020	310.69	310.99	212.41	292.74	262,928	1,293,309
Nov 12, 2020	304.76	339.29	273.50	310.80	211,480	1,373,102
Nov 11, 2020	392.44	404.83	279.38	304.76	273,371	1,346,442
Nov 10, 2020	331.61	392.62	317.37	392.62	117,296	1,734,612
Nov 09, 2020	351.27	369.72	322.39	331.61	79,064.11	1,465,072
Nov 08, 2020	347.95	360.16	331.78	351.24	51,840.30	1,551,784
Nov 07, 2020	367.21	381.60	341.14	347.51	68,986.68	1,535,313
Nov 06, 2020	393.64	404.41	332.72	367.10	108,397	1,621,847
Nov 05, 2020	372.16	420.97	357.11	393.65	71,429.69	1,739,131
Nov 04, 2020	380.41	421.08	335.26	372.15	160,338	1,644,175
Nov 03, 2020	459.79	459.81	348.51	380.42	132,521	1,680,699
Nov 02, 2020	375.59	485.05	341.76	459.75	122,910	2,031,187
Nov 01, 2020	364.74	396.04	329.50	375.57	79,888.36	1,659,277
Oct 31, 2020	367.14	426.28	364.56	364.70	48,672.32	1,611,228
Oct 30, 2020	489.09	489.09	367.05	367.14	124,806	1,622,031
Oct 29, 2020	518.40	551.16	319.01	489.10	301,036	2,160,834
Oct 28, 2020	583.58	587.17	427.88	518.37	278,970	2,290,177
Oct 27, 2020	678.40	709.55	557.56	583.60	130,865	2,578,328
Oct 26, 2020	640.23	766.80	636.26	678.36	199,954	2,997,005
Oct 25, 2020	485.02	649.11	444.14	640.22	199,333	2,828,507
Oct 24, 2020	503.00	568.12	484.87	485.03	57,652.16	2,142,860
Oct 23, 2020	590.57	597.21	490.04	503.03	0	2,222,366
Oct 22, 2020	610.16	654.80	578.00	590.57	61,248.82	2,609,117
Oct 21, 2020	582.82	687.05	566.71	610.16	115,574	2,695,682
Oct 20, 2020	655.52	695.37	578.76	582.87	69,375.05	2,575,121
Oct 19, 2020	703.65	739.73	652.62	655.52	115,109	2,896,079
Oct 18, 2020	706.72	718.63	636.73	703.65	105,454	3,108,714
Oct 17, 2020	687.14	747.42	635.77	705.40	165,409	3,116,444
Oct 16, 2020	690.69	710.69	569.92	673.64	112,114	2,976,163
Oct 15, 2020	723.86	778.43	584.67	673.81	259,257	2,976,903
Oct 14, 2020	830.90	831.33	483.15	694.45	414,594	3,068,062
Oct 13, 2020	768.47	929.67	768.47	830.90	240,624	3,670,908
Oct 12, 2020	964.45	997.60	705.62	778.82	272,526	3,440,815
Oct 11, 2020	871.01	1,244.16	784.57	955.80	1,154,614	4,222,717
Oct 10, 2020	815.75	910.10	703.45	871.01	374,899	3,848,106
Oct 09, 2020	582.73	803.86	582.73	792.89	350,259	3,502,972
Oct 08, 2020	538.93	750.61	538.93	585.97	584,919	2,588,811
Oct 07, 2020	655.23	695.52	454.99	538.93	748,976	2,380,994
Oct 06, 2020	795.54	795.56	545.08	667.23	925,456	2,947,831
Oct 05, 2020	575.05	840.49	550.79	817.79	1,072,255	3,612,994
Oct 04, 2020	445.89	613.28	391.81	575.07	616,160	2,540,642
Oct 03, 2020	367.02	604.74	355.72	442.83	411,979	1,956,423
Oct 02, 2020	262.48	372.87	256.13	367.02	102,408	1,621,479
Oct 01, 2020	260.07	275.29	248.54	262.48	39,042.48	1,159,618
Sep 30, 2020	236.36	273.50	224.41	260.07	70,008.13	1,149,008
Sep 29, 2020	251.36	266.48	225.91	236.36	51,219.21	1,044,253
Sep 28, 2020	263.60	272.32	229.63	251.36	67,537.94	1,110,510
Sep 27, 2020	268.54	295.92	252.12	263.02	138,475	1,162,021
Sep 26, 2020	298.28	308.20	267.29	268.54	114,021	1,186,390
Sep 25, 2020	294.82	331.71	264.89	299.60	195,540	1,323,642
Sep 24, 2020	293.85	304.10	273.84	294.82	88,601.31	1,302,494
Sep 23, 2020	299.17	306.80	262.93	293.85	146,011	1,298,218
Sep 22, 2020	332.87	357.61	283.71	300.71	161,614	1,328,551
Sep 21, 2020	380.18	396.97	304.22	333.34	221,054	1,472,711
Sep 20, 2020	391.14	429.15	357.89	380.18	180,159	1,679,623
Sep 19, 2020	382.00	443.16	355.97	403.36	298,474	1,782,031
Sep 18, 2020	435.80	584.80	352.82	382.00	191,351	1,687,683
Sep 17, 2020	393.22	498.60	392.06	436.43	134,318	1,928,166
Sep 16, 2020	670.98	713.84	370.28	391.25	991,843	1,728,548
Sep 15, 2020	604.44	707.43	453.04	707.43	280,919	3,125,413
Sep 14, 2020	526.49	660.21	495.27	604.44	185,489	2,670,415
Sep 13, 2020	488.86	601.81	445.76	525.80	137,338	2,322,997
Sep 12, 2020	624.91	714.47	449.37	488.83	286,781	2,159,657
Sep 11, 2020	480.49	789.98	431.84	625.00	271,002	2,761,228
Sep 10, 2020	376.90	533.67	340.51	480.24	151,631	2,121,715
Sep 09, 2020	337.82	517.52	330.61	376.90	158,393	1,665,144
