date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001514	0.001615	0.001230	0.001239	6,182.69	0
Dec 15, 2020	0.001514	0.001538	0.001499	0.001514	120.23	0
Dec 14, 2020	0.001544	0.001545	0.001503	0.001514	291.36	0
Dec 13, 2020	0.001467	0.001549	0.001458	0.001543	307.86	0
Dec 12, 2020	0.001185	0.001504	0.001182	0.001467	6,115.30	0
Dec 11, 2020	0.001311	0.001311	0.001157	0.001185	2,215.59	0
Dec 10, 2020	0.001343	0.001345	0.001284	0.001311	0	0
Dec 09, 2020	0.001296	0.001349	0.001246	0.001343	0	0
Dec 08, 2020	0.001437	0.001451	0.001290	0.001296	945.79	0
Dec 07, 2020	0.001471	0.001471	0.001422	0.001437	98.15	0
Dec 06, 2020	0.001450	0.001480	0.001433	0.001471	179.58	0
Dec 05, 2020	0.001392	0.001452	0.001375	0.001450	20.78	0
Dec 04, 2020	0.001505	0.001507	0.001386	0.001392	0	0
Dec 03, 2020	0.001466	0.001522	0.001441	0.001505	107.51	0
Dec 02, 2020	0.001442	0.001477	0.001418	0.001466	0	0
Dec 01, 2020	0.001491	0.001539	0.001393	0.001442	521.07	0
Nov 30, 2020	0.001387	0.001492	0.001387	0.001492	92.06	0
Nov 29, 2020	0.001279	0.001390	0.001266	0.001387	355.42	0
Nov 28, 2020	0.001251	0.001305	0.001214	0.001279	304.32	0
Nov 27, 2020	0.001248	0.001276	0.001202	0.001251	134.36	0
Nov 26, 2020	0.001460	0.001570	0.001154	0.001248	4,277.79	0
Nov 25, 2020	0.001860	0.001864	0.001442	0.001460	6,024.74	0
Nov 24, 2020	0.001870	0.001904	0.001839	0.001860	339.26	0
Nov 23, 2020	0.001727	0.001882	0.001709	0.001870	659.22	0
Nov 22, 2020	0.001770	0.001798	0.001645	0.001727	1,494.49	0
Nov 21, 2020	0.001655	0.001770	0.001636	0.001770	279.15	0
Nov 20, 2020	0.001549	0.001669	0.001546	0.001655	245.09	0
Nov 19, 2020	0.001446	0.001573	0.001432	0.001549	2,559.69	0
Nov 18, 2020	0.001464	0.001489	0.001402	0.001446	127.80	0
Nov 17, 2020	0.001418	0.001468	0.001406	0.001465	365.88	0
Nov 16, 2020	0.001974	0.002025	0.001356	0.001394	8,291.93	0
Nov 15, 2020	0.002041	0.002045	0.001942	0.001974	88.91	0
Nov 14, 2020	0.002130	0.002133	0.002011	0.002041	389.32	0
Nov 13, 2020	0.002032	0.002134	0.002030	0.002129	758.62	0
Nov 12, 2020	0.002223	0.002223	0.001897	0.002033	4,666.89	0
Nov 11, 2020	0.002142	0.002269	0.002142	0.002223	60.13	0
Nov 10, 2020	0.002121	0.002167	0.002104	0.002143	2.15	0
Nov 09, 2020	0.002169	0.002180	0.002081	0.002121	0	0
Nov 08, 2020	0.002227	0.002297	0.002137	0.002169	1,591.38	0
Nov 07, 2020	0.002381	0.002436	0.002218	0.002224	579.98	0
Nov 06, 2020	0.002193	0.002393	0.002193	0.002380	199.05	0
Nov 05, 2020	0.002109	0.002208	0.002097	0.002193	105.33	0
Nov 04, 2020	0.002046	0.002151	0.001998	0.002109	107.37	0
Nov 03, 2020	0.002108	0.002110	0.002016	0.002047	2,050.96	0
Nov 02, 2020	0.002549	0.002596	0.002106	0.002108	3,706.24	0
Nov 01, 2020	0.002675	0.002691	0.002525	0.002549	1,661.95	0
Oct 31, 2020	0.002754	0.002847	0.002664	0.002674	1,497.05	0
Oct 30, 2020	0.002839	0.002845	0.002729	0.002754	909.74	0
Oct 29, 2020	0.003010	0.003014	0.002808	0.002839	3,322.53	0
Oct 28, 2020	0.003558	0.003856	0.003008	0.003010	9,559.53	0
Oct 27, 2020	0.005364	0.005477	0.003381	0.003558	18,036.09	0
Oct 26, 2020	0.005383	0.005542	0.004953	0.005364	9,553.87	0
Oct 25, 2020	0.004905	0.005385	0.004605	0.005383	9,859.73	0
Oct 24, 2020	0.005257	0.005269	0.004876	0.004905	803.00	0
Oct 23, 2020	0.005082	0.005887	0.005059	0.005257	0	0
Oct 22, 2020	0.004222	0.005145	0.004222	0.005082	11,777.73	0
Oct 21, 2020	0.004043	0.004286	0.004043	0.004222	1,187.58	0
Oct 20, 2020	0.004164	0.004169	0.004037	0.004043	0	0
Oct 19, 2020	0.004142	0.004206	0.004096	0.004164	0	0
Oct 18, 2020	0.004037	0.004143	0.004032	0.004142	0	0
Oct 17, 2020	0.004022	0.004045	0.003999	0.004038	0	0
Oct 16, 2020	0.004145	0.004162	0.003993	0.004022	0	0
Oct 15, 2020	0.004154	0.004172	0.004079	0.004145	0	0
Oct 14, 2020	0.004188	0.004240	0.004114	0.004154	0	0
Oct 13, 2020	0.004449	0.004497	0.004130	0.004188	0	0
Oct 12, 2020	0.005109	0.005122	0.004217	0.004449	12,735.78	0
Oct 11, 2020	0.004910	0.005303	0.004824	0.005109	7,051.14	0
Oct 10, 2020	0.005370	0.005505	0.004910	0.004910	4,522.20	0
Oct 09, 2020	0.004137	0.005491	0.004134	0.005372	9,322.83	0
Oct 08, 2020	0.005028	0.005171	0.003791	0.004137	11,863.13	0
Oct 07, 2020	0.005494	0.005503	0.005016	0.005028	3,673.09	0
Oct 06, 2020	0.006347	0.006460	0.005485	0.005494	6,995.02	0
Oct 05, 2020	0.006800	0.006881	0.006345	0.006347	4,157.54	0
Oct 04, 2020	0.006765	0.007347	0.006598	0.006800	9,563.05	0
Oct 03, 2020	0.007266	0.007280	0.006708	0.006765	3,135.66	0
Oct 02, 2020	0.007774	0.007849	0.006451	0.007266	10,787.25	0
Oct 01, 2020	0.006641	0.007839	0.006577	0.007774	13,230.46	0
Sep 30, 2020	0.006682	0.006686	0.006457	0.006641	1,956.98	0
Sep 29, 2020	0.006873	0.007037	0.006666	0.006682	4,742.94	0
Sep 28, 2020	0.007105	0.007135	0.006802	0.006873	4,951.43	0
Sep 27, 2020	0.007735	0.007740	0.007076	0.007105	6,398.70	0
Sep 26, 2020	0.008437	0.008691	0.007624	0.007735	10,514.77	0
Sep 25, 2020	0.007974	0.008712	0.007354	0.008437	26,124.09	0
Sep 24, 2020	0.006246	0.008028	0.006237	0.007974	15,611.99	0
Sep 23, 2020	0.006994	0.007002	0.005918	0.006246	12,102.92	0
Sep 22, 2020	0.007527	0.007728	0.006597	0.007033	14,300.60	0
Sep 21, 2020	0.008907	0.009156	0.006416	0.007537	27,040.68	0
Sep 20, 2020	0.010692	0.011386	0.008712	0.008907	22,657.53	0
Sep 19, 2020	0.007913	0.012830	0.007913	0.010680	74,680.82	0
Sep 18, 2020	0.008741	0.008981	0.006445	0.007913	19,431.19	0
Sep 17, 2020	0.009206	0.009443	0.008398	0.008753	8,076.26	0
Sep 16, 2020	0.010250	0.010250	0.007638	0.009210	28,681.19	0
Sep 15, 2020	0.010335	0.013239	0.010186	0.010254	36,604.60	0
Sep 14, 2020	0.011491	0.011832	0.009768	0.010335	42,616.30	0
