date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.014177	0.016224	0.014174	0.015555	344.35	264,709
Dec 15, 2020	0.015590	0.015799	0.014079	0.014178	430.73	241,277
Dec 14, 2020	0.014930	0.015637	0.014830	0.015597	23.62	265,422
Dec 13, 2020	0.014856	0.015316	0.014800	0.014934	18.66	254,151
Dec 12, 2020	0.013904	0.014946	0.013895	0.014850	5.70	252,717
Dec 11, 2020	0.014976	0.014980	0.013820	0.013915	7.41	236,804
Dec 10, 2020	0.014657	0.015162	0.014564	0.014983	5.26	254,982
Dec 09, 2020	0.014656	0.014715	0.014172	0.014666	38.05	249,587
Dec 08, 2020	0.015739	0.015739	0.014616	0.014662	27.66	249,517
Dec 07, 2020	0.016051	0.016112	0.014956	0.015742	62.76	267,887
Dec 06, 2020	0.015515	0.016094	0.015307	0.016050	14.60	273,135
Dec 05, 2020	0.014774	0.015699	0.014686	0.015508	124.16	263,909
Dec 04, 2020	0.015364	0.015941	0.014771	0.014820	113.84	252,195
Dec 03, 2020	0.016899	0.017099	0.015206	0.015360	97.91	261,388
Dec 02, 2020	0.015795	0.017163	0.015412	0.016902	29.52	287,634
Dec 01, 2020	0.016486	0.016671	0.015390	0.015796	0	268,807
Nov 30, 2020	0.017814	0.018098	0.015613	0.016487	806.72	280,571
Nov 29, 2020	0.017363	0.017917	0.017208	0.017815	0	303,165
Nov 28, 2020	0.016766	0.017497	0.016572	0.017364	0	295,488
Nov 27, 2020	0.018002	0.018317	0.016612	0.016766	94.37	285,327
Nov 26, 2020	0.018359	0.019810	0.017169	0.017979	17.04	305,959
Nov 25, 2020	0.020638	0.020693	0.018210	0.018383	145.67	312,838
Nov 24, 2020	0.018919	0.020896	0.018673	0.020617	2.06	350,848
Nov 23, 2020	0.021493	0.021619	0.018709	0.018903	183.06	321,680
Nov 22, 2020	0.021811	0.021866	0.019085	0.021494	12.84	365,787
Nov 21, 2020	0.020484	0.021942	0.019740	0.021808	250.00	371,120
Nov 20, 2020	0.019421	0.022675	0.018675	0.020487	439.73	348,649
Nov 19, 2020	0.017802	0.025706	0.016360	0.019399	5,724.22	330,132
Nov 18, 2020	0.020644	0.020969	0.017420	0.017812	145.82	303,124
Nov 17, 2020	0.018024	0.020697	0.017890	0.020671	65.94	351,771
Nov 16, 2020	0.015796	0.018161	0.015722	0.018058	6.47	307,310
Nov 15, 2020	0.016871	0.016885	0.015636	0.015802	16.56	268,922
Nov 14, 2020	0.016318	0.019110	0.015776	0.016879	245.28	287,246
Nov 13, 2020	0.017741	0.017945	0.015832	0.016312	10.06	277,585
Nov 12, 2020	0.018687	0.019179	0.016676	0.017747	22.84	302,009
Nov 11, 2020	0.014374	0.018734	0.014373	0.018676	79.46	317,819
Nov 10, 2020	0.014412	0.014523	0.014217	0.014372	0	244,586
Nov 09, 2020	0.014705	0.014838	0.013974	0.014413	32.28	245,277
Nov 08, 2020	0.014240	0.014855	0.014154	0.014712	33.51	250,362
Nov 07, 2020	0.016500	0.016681	0.014131	0.014255	3.30	242,590
Nov 06, 2020	0.018384	0.018766	0.014469	0.016486	1,198.40	280,553
Nov 05, 2020	0.014416	0.018911	0.014384	0.018384	93.33	312,862
Nov 04, 2020	0.014229	0.014503	0.013716	0.014416	10.74	245,328
Nov 03, 2020	0.014364	0.014427	0.013602	0.014229	13.42	242,143
Nov 02, 2020	0.014561	0.014637	0.014038	0.014363	0	244,421
Nov 01, 2020	0.015297	0.017111	0.014310	0.014561	32.79	247,793
Oct 31, 2020	0.015714	0.017535	0.015186	0.015297	7.12	260,323
Oct 30, 2020	0.015185	0.015836	0.014450	0.015714	74.16	267,412
Oct 29, 2020	0.013404	0.018087	0.013202	0.015185	423.68	258,414
Oct 28, 2020	0.015839	0.016052	0.013062	0.013404	726.50	228,112
Oct 27, 2020	0.015428	0.015961	0.015162	0.015821	20.55	269,233
Oct 26, 2020	0.015638	0.016194	0.015259	0.015425	422.10	262,503
Oct 25, 2020	0.016254	0.016425	0.014636	0.015630	212.64	265,990
Oct 24, 2020	0.014355	0.016278	0.014303	0.016260	91.07	276,700
Oct 23, 2020	0.014133	0.014617	0.013900	0.014351	446.39	244,214
Oct 22, 2020	0.014747	0.014852	0.013989	0.014133	20.43	240,508
Oct 21, 2020	0.013108	0.015162	0.013091	0.014747	7.02	250,965
Oct 20, 2020	0.013621	0.013650	0.013062	0.013108	259.57	223,068
Oct 19, 2020	0.012976	0.013651	0.012795	0.013621	149.89	231,794
Oct 18, 2020	0.013630	0.013752	0.012885	0.012976	233.74	220,825
Oct 17, 2020	0.013587	0.013664	0.013542	0.013630	39.26	231,947
Oct 16, 2020	0.014944	0.015002	0.013587	0.013587	288.90	231,212
Oct 15, 2020	0.015773	0.015773	0.014695	0.014944	5.84	254,307
Oct 14, 2020	0.015768	0.015925	0.015605	0.015773	0	268,416
Oct 13, 2020	0.014791	0.016515	0.014177	0.015768	52.82	268,331
Oct 12, 2020	0.014572	0.014974	0.014388	0.014791	0	251,707
Oct 11, 2020	0.013217	0.014629	0.013208	0.014572	42.06	247,979
Oct 10, 2020	0.013056	0.013502	0.013047	0.013217	127.44	224,919
Oct 09, 2020	0.012444	0.014100	0.011823	0.013056	111.75	222,184
Oct 08, 2020	0.012803	0.013135	0.012418	0.012444	10.92	211,765
Oct 07, 2020	0.012831	0.012883	0.012747	0.012803	44.81	217,875
Oct 06, 2020	0.012736	0.012831	0.012460	0.012831	15.91	218,359
Oct 05, 2020	0.013337	0.013410	0.012670	0.012736	345.38	216,735
Oct 04, 2020	0.011393	0.013358	0.011377	0.013336	25.60	226,940
