date	open	high	low	close	volume	market_cap
Dec 16, 2020	14.18	22.12	12.08	21.85	55,451,203	0
Dec 15, 2020	16.68	17.39	14.01	14.17	13,146,292	0
Dec 14, 2020	18.06	18.47	15.96	16.69	8,584,911	0
Dec 13, 2020	17.65	19.53	16.37	17.93	22,513,827	0
Dec 12, 2020	17.51	21.85	16.30	17.48	34,405,985	0
Dec 11, 2020	24.14	24.92	17.31	17.61	25,118,801	0
Dec 10, 2020	25.32	25.94	22.34	24.06	16,639,457	0
Dec 09, 2020	23.44	27.41	17.30	25.42	33,076,283	0
Dec 08, 2020	29.42	29.78	22.43	23.54	12,489,205	0
Dec 07, 2020	31.44	31.55	27.49	29.45	11,924,020	0
Dec 06, 2020	26.58	32.36	26.14	31.61	21,035,877	0
Dec 05, 2020	22.97	27.90	22.47	26.57	13,934,199	0
Dec 04, 2020	34.03	34.53	21.85	23.11	20,432,148	0
Dec 03, 2020	34.16	35.54	31.91	34.10	10,742,819	0
Dec 02, 2020	31.31	35.07	29.23	33.88	18,824,801	0
Dec 01, 2020	39.24	40.84	30.44	31.45	34,349,694	0
Nov 30, 2020	31.44	41.40	29.97	39.33	44,463,816	0
Nov 29, 2020	35.47	36.73	28.16	31.20	29,991,149	0
Nov 28, 2020	28.21	39.04	25.74	35.33	48,638,025	0
Nov 27, 2020	25.66	30.80	21.40	27.92	43,205,425	0
Nov 26, 2020	47.85	52.13	18.51	25.55	72,197,479	0
Nov 25, 2020	66.16	73.94	39.19	48.54	49,106,364	0
Nov 24, 2020	58.01	95.79	48.42	66.37	63,446,731	0
Nov 23, 2020	31.38	58.67	29.85	57.96	32,246,449	0
Nov 22, 2020	34.86	41.40	26.36	31.38	31,767,805	0
Nov 21, 2020	16.54	35.76	16.54	34.86	24,757,523	0
Nov 20, 2020	13.95	16.80	13.13	16.54	2,486,429	0
Nov 19, 2020	12.78	14.33	11.62	13.95	881,436	0
Nov 18, 2020	13.81	14.41	11.50	12.78	869,517	0
Nov 17, 2020	12.72	14.16	12.59	13.81	1,407,901	0
Nov 16, 2020	10.97	12.41	10.72	12.05	787,814	0
Nov 15, 2020	10.88	11.44	10.56	10.97	452,880	0
Nov 14, 2020	10.71	11.82	10.29	10.88	1,616,008	0
Nov 13, 2020	10.06	10.93	10.01	10.71	352,581	0
Nov 12, 2020	10.13	10.34	9.88	10.06	183,958	0
Nov 11, 2020	10.01	10.45	9.88	10.13	390,241	0
Nov 10, 2020	9.63	10.81	9.42	10.01	718,927	0
Nov 09, 2020	9.96	10.12	9.24	9.63	283,648	0
Nov 08, 2020	9.47	10.17	9.33	9.96	165,086	0
Nov 07, 2020	10.39	11.14	9.17	9.47	425,975	0
Nov 06, 2020	9.26	10.60	9.22	10.39	623,914	0
Nov 05, 2020	8.47	9.38	8.46	9.26	377,325	0
Nov 04, 2020	8.68	8.76	8.12	8.47	213,927	0
Nov 03, 2020	8.35	8.95	7.70	8.68	373,102	0
Nov 02, 2020	8.76	9.15	8.19	8.35	259,349	0
Nov 01, 2020	8.69	8.90	8.46	8.76	153,906	0
Oct 31, 2020	8.70	9.06	8.54	8.69	318,636	0
Oct 30, 2020	8.96	9.12	8.08	8.70	163,211	0
Oct 29, 2020	9.33	9.36	8.75	8.96	99,521.37	0
Oct 28, 2020	9.88	10.24	9.17	9.33	459,998	0
Oct 27, 2020	9.53	9.98	9.53	9.88	150,571	0
Oct 26, 2020	9.98	10.47	9.21	9.53	361,938	0
Oct 25, 2020	10.19	10.33	9.79	9.98	90,290.70	0
Oct 24, 2020	10.11	10.40	9.96	10.19	96,344.94	0
Oct 23, 2020	10.37	10.50	9.76	10.11	289,751	0
Oct 22, 2020	9.81	10.89	9.81	10.37	1,129,514	0
Oct 21, 2020	9.13	10.25	9.13	9.81	473,970	0
Oct 20, 2020	9.36	9.69	9.04	9.13	479,628	0
Oct 19, 2020	9.02	9.65	8.93	9.36	212,343	0
Oct 18, 2020	8.94	9.18	8.90	9.02	52,897.28	0
Oct 17, 2020	8.94	9.17	8.83	8.94	84,981.22	0
Oct 16, 2020	9.37	9.55	8.78	8.94	323,743	0
