date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000033	0.000035	0.000033	0.000035	475.11	0
Dec 15, 2020	0.000033	0.000034	0.000032	0.000033	959.23	0
Dec 14, 2020	0.000037	0.000037	0.000033	0.000033	882.49	0
Dec 13, 2020	0.000037	0.000038	0.000034	0.000037	1,272.02	0
Dec 12, 2020	0.000035	0.000037	0.000035	0.000037	70.61	0
Dec 11, 2020	0.000036	0.000036	0.000032	0.000035	1,207.97	0
Dec 10, 2020	0.000037	0.000039	0.000035	0.000036	1,115.78	0
Dec 09, 2020	0.000041	0.000041	0.000029	0.000037	3,344.48	0
Dec 08, 2020	0.000040	0.000043	0.000036	0.000041	2,009.82	0
Dec 07, 2020	0.000044	0.000044	0.000040	0.000040	3,971.75	0
Dec 06, 2020	0.000044	0.000045	0.000043	0.000044	1,242.81	0
Dec 05, 2020	0.000043	0.000044	0.000041	0.000044	1,136.55	0
Dec 04, 2020	0.000044	0.000044	0.000041	0.000043	512.92	0
Dec 03, 2020	0.000041	0.000050	0.000040	0.000044	3,223.03	0
Dec 02, 2020	0.000049	0.000049	0.000038	0.000041	5,443.43	0
Dec 01, 2020	0.000056	0.000058	0.000047	0.000049	1,699.27	0
Nov 30, 2020	0.000046	0.000064	0.000045	0.000056	5,164.22	0
Nov 29, 2020	0.000040	0.000046	0.000040	0.000046	3,019.24	0
Nov 28, 2020	0.000053	0.000054	0.000035	0.000040	9,169.30	0
Nov 27, 2020	0.000053	0.000055	0.000051	0.000053	531.74	0
Nov 26, 2020	0.000058	0.000059	0.000050	0.000053	2,149.52	0
Nov 25, 2020	0.000058	0.000060	0.000056	0.000058	1,333.89	0
Nov 24, 2020	0.000059	0.000060	0.000057	0.000058	674.32	0
Nov 23, 2020	0.000052	0.000059	0.000052	0.000059	2,227.46	0
Nov 22, 2020	0.000055	0.000061	0.000052	0.000052	5,670.08	0
Nov 21, 2020	0.000077	0.000078	0.000053	0.000055	10,468.33	0
Nov 20, 2020	0.000074	0.000079	0.000066	0.000077	4,682.92	0
Nov 19, 2020	0.000074	0.000082	0.000061	0.000074	19,401.65	0
Nov 18, 2020	0.000073	0.000074	0.000061	0.000074	7,826.03	0
Nov 17, 2020	0.000074	0.000078	0.000072	0.000073	3,601.70	0
Nov 16, 2020	0.000094	0.000095	0.000074	0.000077	11,582.33	0
Nov 15, 2020	0.000083	0.000106	0.000081	0.000094	14,598.18	0
Nov 14, 2020	0.000078	0.000087	0.000077	0.000083	6,486.83	0
Nov 13, 2020	0.000088	0.000107	0.000070	0.000078	25,973.18	0
Nov 12, 2020	0.000108	0.000129	0.000077	0.000088	23,024.95	0
Nov 11, 2020	0.000075	0.000147	0.000070	0.000108	52,410.35	0
Nov 10, 2020	0.000079	0.000084	0.000067	0.000075	21,269.17	0
Nov 09, 2020	0.000084	0.000102	0.000077	0.000079	14,733.86	0
Nov 08, 2020	0.000109	0.000122	0.000084	0.000084	41,466.12	0
Nov 07, 2020	0.000263	0.000278	0.000005	0.000109	95,871.80	0
Nov 06, 2020	0.000259	0.000273	0.000254	0.000263	6,882.13	0
Nov 05, 2020	0.000222	0.000261	0.000218	0.000259	13,811.53	0
Nov 04, 2020	0.000208	0.000230	0.000201	0.000222	7,436.60	0
Nov 03, 2020	0.000237	0.000237	0.000205	0.000208	7,665.14	0
Nov 02, 2020	0.000254	0.000263	0.000237	0.000237	15,661.39	0
Nov 01, 2020	0.000259	0.000268	0.000245	0.000254	27,231.80	0
Oct 31, 2020	0.000301	0.000302	0.000259	0.000259	17,532.60	0
Oct 30, 2020	0.000385	0.000402	0.000301	0.000301	36,531.63	0
Oct 29, 2020	0.000407	0.000556	0.000384	0.000385	124,326	0
Oct 28, 2020	0.000285	0.000560	0.000260	0.000407	443,657	0
Oct 27, 2020	0.000137	0.000358	0.000136	0.000285	257,035	0
Oct 26, 2020	0.000141	0.000144	0.000134	0.000137	0	0
Oct 25, 2020	0.000143	0.000145	0.000141	0.000141	0	0
Oct 24, 2020	0.000185	0.000194	0.000139	0.000143	0	0
Oct 23, 2020	0.000369	0.000691	0.000160	0.000185	0	0
Oct 22, 2020	0.000435	0.000875	0.000354	0.000361	986,944	0
Oct 21, 2020	0.000897	0.000930	0.000299	0.000430	272,881	0
Oct 20, 2020	0.000924	0.000925	0.000895	0.000897	0	0
Oct 19, 2020	0.000919	0.000933	0.000909	0.000924	0	0
Oct 18, 2020	0.000895	0.000919	0.000894	0.000919	0	0
Oct 17, 2020	0.000892	0.000897	0.000887	0.000896	0	0
Oct 16, 2020	0.000919	0.000923	0.000886	0.000892	0	0
Oct 15, 2020	0.000921	0.000925	0.000905	0.000919	0	0
Oct 14, 2020	0.000929	0.000940	0.000912	0.000921	0	0
Oct 13, 2020	0.001147	0.001171	0.000872	0.000929	0	0
Oct 12, 2020	0.001755	0.001872	0.001025	0.001147	646,013	0
Oct 11, 2020	0.002221	0.002221	0.001632	0.001773	757,927	0
Oct 10, 2020	0.002341	0.003656	0.001952	0.002264	1,665,206	0
Oct 09, 2020	0.002919	0.003321	0.002238	0.002447	1,498,963	0
Oct 08, 2020	0.002637	0.003953	0.001886	0.002937	2,306,667	0
Oct 07, 2020	0.005031	0.005070	0.002288	0.002637	3,351,086	0
Oct 06, 2020	0.006961	0.008774	0.004067	0.004976	10,070,303	0
Oct 05, 2020	0.002649	0.007850	0.001964	0.007051	5,831,058	0
Oct 04, 2020	0.000209	0.003014	0.000203	0.002649	5,820,536	0
Oct 03, 2020	0.000190	0.000209	0.000177	0.000209	25,592.50	0
Oct 02, 2020	0.000232	0.000242	0.000190	0.000190	22,767.41	0
Oct 01, 2020	0.000263	0.000263	0.000224	0.000232	13,168.76	0
Sep 30, 2020	0.000303	0.000303	0.000240	0.000263	26,730.12	0
Sep 29, 2020	0.000488	0.000489	0.000299	0.000303	57,488.34	0
Sep 28, 2020	0.000680	0.000681	0.000486	0.000488	72,981.02	0
Sep 27, 2020	0.000243	0.000754	0.000243	0.000686	61,187.93	0
Sep 26, 2020	0.000889	0.000956	0.000237	0.000243	1,202.56	0
