date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.674262	0.697502	0.558739	0.558739	1,040.08	0
Dec 15, 2020	0.682389	0.711756	0.660498	0.674262	1,333.99	0
Dec 14, 2020	0.674368	0.720654	0.648878	0.682153	1,861.75	0
Dec 13, 2020	0.775703	0.782482	0.640011	0.674978	6,737.14	0
Dec 12, 2020	0.845922	0.846411	0.760088	0.777953	6,213.69	0
Dec 11, 2020	0.824032	0.887331	0.817281	0.842497	84,654.25	0
Dec 10, 2020	0.753702	0.837710	0.745886	0.824048	2,628.90	0
Dec 09, 2020	0.770716	0.885409	0.728284	0.753704	6,984.66	0
Dec 08, 2020	0.665505	0.800997	0.593755	0.770719	21,627.62	0
Dec 07, 2020	0.622004	0.696753	0.622001	0.665253	2,456.62	0
Dec 06, 2020	0.624760	0.670250	0.615007	0.622004	2,520.72	0
Dec 05, 2020	0.663743	0.686246	0.618247	0.624763	1,299.10	0
Dec 04, 2020	0.566031	0.693932	0.554580	0.661736	7,019.12	0
Dec 03, 2020	0.582624	0.585596	0.542271	0.566031	5,263.83	0
Dec 02, 2020	0.627154	0.652682	0.568227	0.584290	156.23	0
Dec 01, 2020	0.534850	0.671034	0.496178	0.624685	23,681.98	0
Nov 30, 2020	0.647325	0.657065	0.507458	0.538110	6,626.36	0
Nov 29, 2020	0.673260	0.705203	0.589029	0.647327	27,539.09	0
Nov 28, 2020	0.751166	0.809206	0.599653	0.672570	9,659.78	0
Nov 27, 2020	0.781106	0.841469	0.705777	0.763137	2,705.11	0
Nov 26, 2020	0.548086	0.871690	0.513014	0.781585	76,149.56	0
Nov 25, 2020	0.552158	0.624708	0.393216	0.546705	43,387.76	0
Nov 24, 2020	0.607349	0.624998	0.473369	0.553158	20,415.17	0
Nov 23, 2020	0.964006	0.964006	0.583053	0.607506	14,109.27	0
Nov 22, 2020	0.856857	1.06	0.800149	0.964006	5,518.14	0
Nov 21, 2020	1.32	1.39	0.853319	0.856857	6,512.55	0
Nov 20, 2020	1.33	1.36	1.22	1.32	530.69	0
Nov 19, 2020	1.36	1.44	1.24	1.33	862.01	0
Nov 18, 2020	1.24	1.44	1.16	1.36	2,735.22	0
Nov 17, 2020	1.31	1.33	1.22	1.24	1,553.87	0
Nov 16, 2020	1.48	1.52	1.33	1.35	2,972.15	0
Nov 15, 2020	1.34	1.55	1.32	1.48	847.36	0
Nov 14, 2020	1.25	1.40	1.24	1.34	2,289.37	0
Nov 13, 2020	1.40	1.40	1.25	1.25	1,548.42	0
Nov 12, 2020	1.29	1.43	1.23	1.40	2,096.88	0
Nov 11, 2020	1.25	1.31	1.18	1.29	4,203.77	0
Nov 10, 2020	1.35	1.36	1.19	1.25	6,036.76	0
Nov 09, 2020	1.35	1.47	1.26	1.35	507.22	0
Nov 08, 2020	1.58	1.62	1.26	1.35	6,086.30	0
Nov 07, 2020	1.41	1.67	1.20	1.58	37,392.70	0
Nov 06, 2020	2.00	2.02	1.41	1.41	25,768.77	0
Nov 05, 2020	2.05	2.21	1.76	2.00	6,349.74	0
