date	open	high	low	close	volume	market_cap
Dec 16, 2020	4.59	5.17	3.67	4.40	16.81	0
Dec 15, 2020	3.26	4.98	2.75	4.59	1,154.92	0
Dec 14, 2020	3.41	3.99	2.96	3.26	355.83	0
Dec 13, 2020	4.09	4.09	3.02	3.41	244.84	0
Dec 12, 2020	2.71	4.14	2.71	4.09	159.48	0
Dec 11, 2020	3.80	3.90	2.71	2.71	21.71	0
Dec 10, 2020	3.35	3.93	2.66	3.80	16.93	0
Dec 09, 2020	2.66	3.36	2.66	3.35	231.07	0
Dec 08, 2020	3.20	3.71	2.66	2.66	38.09	0
Dec 07, 2020	3.20	3.20	3.20	3.20	1.21	0
Dec 06, 2020	4.31	4.38	3.20	3.20	0.978410	0
Dec 05, 2020	3.95	4.31	3.91	4.31	3.13	0
Dec 04, 2020	4.58	4.58	3.00	3.95	84.43	0
Dec 03, 2020	3.75	4.61	3.00	4.58	69.10	0
Dec 02, 2020	3.05	3.75	3.05	3.75	2.62	0
Dec 01, 2020	3.93	4.31	3.05	3.05	14.02	0
Nov 30, 2020	4.23	4.32	3.89	3.93	185.52	0
Nov 29, 2020	5.31	5.31	3.59	4.23	235.01	0
Nov 28, 2020	4.56	5.31	3.93	5.31	2.30	0
Nov 27, 2020	4.79	5.35	3.79	4.56	24.38	0
Nov 26, 2020	4.66	4.85	3.74	4.79	39.55	0
Nov 25, 2020	3.54	4.98	3.54	4.66	282.66	0
Nov 24, 2020	5.66	5.71	3.54	3.54	18.65	0
Nov 23, 2020	4.20	5.66	4.17	5.66	106.08	0
Nov 22, 2020	5.51	6.14	4.14	4.20	524.20	0
Nov 21, 2020	6.08	6.10	4.53	5.51	788.22	0
Nov 20, 2020	3.68	6.27	3.24	6.08	2,418.54	0
Nov 19, 2020	3.23	4.76	3.04	3.68	1,190.27	0
Nov 18, 2020	3.27	3.34	2.92	3.23	91.40	0
Nov 17, 2020	2.81	3.32	2.81	3.27	1,080.46	0
Nov 16, 2020	3.29	3.32	1.88	2.78	446.16	0
Nov 15, 2020	3.56	3.61	2.21	3.29	152.72	0
Nov 14, 2020	3.69	3.70	2.96	3.56	482.81	0
Nov 13, 2020	3.31	3.78	3.31	3.69	339.57	0
Nov 12, 2020	3.75	3.75	2.07	3.31	257.76	0
Nov 11, 2020	2.71	3.79	2.66	3.75	102.98	0
Nov 10, 2020	3.43	3.43	2.71	2.71	136.14	0
Nov 09, 2020	4.19	4.21	2.58	3.43	1,379.89	0
Nov 08, 2020	3.30	4.26	3.26	4.19	236.57	0
Nov 07, 2020	4.00	4.27	3.26	3.30	338.26	0
Nov 06, 2020	4.94	5.05	3.68	4.00	394.13	0
Nov 05, 2020	5.47	8.15	3.45	4.94	558.91	0
Nov 04, 2020	4.10	6.64	4.07	5.47	741.79	0
Nov 03, 2020	3.72	4.30	3.57	4.10	192.28	0
Nov 02, 2020	3.88	4.05	3.71	3.72	442.28	0
Nov 01, 2020	3.88	4.94	3.52	3.88	277.90	0
Oct 31, 2020	4.84	4.94	3.86	3.88	312.83	0
Oct 30, 2020	4.57	5.03	4.31	4.84	310.66	0
Oct 29, 2020	5.74	5.80	4.48	4.57	161.29	0
Oct 28, 2020	5.37	5.74	4.37	5.74	932.18	0
Oct 27, 2020	4.37	5.59	4.37	5.37	151.29	0
Oct 26, 2020	5.63	6.94	3.41	4.37	212.50	0
Oct 25, 2020	5.38	6.90	5.28	5.63	238.53	0
Oct 24, 2020	8.46	8.92	5.38	5.38	141.80	0
Oct 23, 2020	6.21	8.90	6.04	8.46	477.34	0
Oct 22, 2020	7.43	7.49	6.06	6.21	936.95	0
Oct 21, 2020	6.87	8.21	6.06	7.43	976.07	0
Oct 20, 2020	6.64	11.91	6.01	6.87	243.21	0
Oct 19, 2020	8.44	8.45	6.14	6.64	368.89	0
Oct 18, 2020	7.17	8.71	7.16	8.44	427.25	0
Oct 17, 2020	8.69	8.69	6.84	7.17	587.57	0
Oct 16, 2020	9.65	9.65	7.69	8.69	1,399.46	0
Oct 15, 2020	9.85	11.47	7.02	9.65	1,955.35	0
Oct 14, 2020	10.79	13.05	8.24	9.85	1,734.08	0
Oct 13, 2020	14.45	14.45	8.15	10.79	2,458.09	0
Oct 12, 2020	12.10	15.63	9.78	14.45	5,412.43	0
Oct 11, 2020	14.83	17.68	11.09	12.10	3,147.60	0
Oct 10, 2020	21.46	21.47	11.63	14.83	4,492.16	0
Oct 09, 2020	21.96	26.29	16.77	21.46	5,641.89	0
Oct 08, 2020	23.22	27.19	16.11	21.96	7,549.84	0
Oct 07, 2020	36.14	37.22	23.22	23.22	14,252.91	0
Oct 06, 2020	69.54	71.19	32.36	36.14	245,595	0
