date	open	high	low	close	volume	market_cap
Dec 16, 2020	3,636.67	3,786.94	3,314.89	3,469.99	4,642,565	13,831,361
Dec 15, 2020	3,438.27	3,874.77	3,427.54	3,636.74	5,076,344	14,496,049
Dec 14, 2020	3,478.46	3,542.32	3,414.73	3,437.65	4,262,363	13,702,475
Dec 13, 2020	3,271.79	3,496.24	3,178.99	3,479.16	4,275,221	13,867,922
Dec 12, 2020	3,205.33	3,312.80	3,122.59	3,270.89	3,466,947	13,037,770
Dec 11, 2020	3,334.57	3,338.07	3,056.85	3,205.96	3,794,034	12,778,959
Dec 10, 2020	3,156.38	3,567.46	3,030.77	3,337.29	4,543,679	13,302,439
Dec 09, 2020	2,661.03	3,157.22	2,452.58	3,156.86	5,279,607	12,583,233
Dec 08, 2020	2,665.64	2,852.10	2,491.92	2,660.75	3,778,626	10,605,759
Dec 07, 2020	2,821.68	2,824.09	2,472.31	2,665.80	3,215,109	10,625,862
Dec 06, 2020	2,735.79	2,855.56	2,666.61	2,821.11	3,497,192	11,244,930
Dec 05, 2020	2,507.06	2,904.22	2,468.51	2,735.63	4,489,557	10,904,213
Dec 04, 2020	2,858.42	2,936.06	2,472.99	2,507.28	3,545,045	9,994,031
Dec 03, 2020	2,697.61	2,910.62	2,647.80	2,858.56	3,418,624	11,394,226
Dec 02, 2020	2,601.06	2,868.24	2,555.45	2,697.67	4,205,397	10,752,923
Dec 01, 2020	2,804.46	2,814.18	2,486.27	2,601.49	3,441,970	10,369,544
Nov 30, 2020	2,655.09	3,104.14	2,631.55	2,804.27	4,417,578	11,177,834
Nov 29, 2020	2,517.75	2,746.52	2,405.15	2,655.17	3,700,545	10,583,511
Nov 28, 2020	2,426.25	2,605.11	2,218.74	2,517.96	3,324,205	10,036,593
Nov 27, 2020	2,486.35	2,567.10	2,266.68	2,426.04	3,142,335	9,670,208
Nov 26, 2020	2,381.34	2,566.29	1,963.21	2,485.96	4,553,271	9,909,037
Nov 25, 2020	2,853.06	2,930.52	2,257.92	2,381.57	3,682,161	9,492,938
Nov 24, 2020	3,001.69	3,191.48	2,846.38	2,852.88	3,754,645	11,371,575
Nov 23, 2020	2,711.02	3,146.48	2,638.22	3,002.00	5,213,753	11,965,980
Nov 22, 2020	2,362.06	2,788.79	2,145.72	2,711.17	4,903,872	10,806,704
Nov 21, 2020	2,593.98	2,638.84	1,994.61	2,362.06	4,427,027	9,415,156
Nov 20, 2020	2,263.57	2,616.13	2,166.91	2,594.09	4,634,819	10,340,045
Nov 19, 2020	1,927.84	2,314.65	1,927.84	2,263.58	4,754,197	9,022,613
Nov 18, 2020	1,841.83	2,024.93	1,806.92	1,927.68	3,163,892	7,683,729
Nov 17, 2020	1,694.22	1,969.38	1,645.01	1,842.25	3,646,088	7,343,208
Nov 16, 2020	1,267.95	1,634.49	1,166.91	1,585.00	3,949,155	25,659,214
Nov 15, 2020	1,197.97	1,370.85	1,177.98	1,267.94	1,708,567	20,526,405
Nov 14, 2020	1,214.88	1,332.07	1,106.97	1,197.93	1,858,508	19,393,108
Nov 13, 2020	925.80	1,342.62	865.62	1,214.59	2,322,705	19,662,776
Nov 12, 2020	1,131.57	1,156.34	895.32	925.92	1,719,978	14,989,491
Nov 11, 2020	1,168.46	1,229.27	1,102.10	1,131.57	1,378,900	18,318,825
Nov 10, 2020	1,379.60	1,381.02	1,081.20	1,168.70	2,266,332	18,919,863
Nov 09, 2020	1,312.61	1,445.10	1,233.22	1,379.64	1,917,860	22,330,560
Nov 08, 2020	1,268.90	1,525.54	1,222.16	1,312.69	2,206,346	20,707,871
Nov 07, 2020	1,423.78	1,597.15	1,206.63	1,268.52	2,525,778	19,977,876
Nov 06, 2020	1,610.39	1,723.89	1,288.78	1,423.11	1,868,507	22,366,765
Nov 05, 2020	1,421.28	1,790.75	1,393.73	1,610.40	2,185,066	25,021,794
Nov 04, 2020	1,196.19	1,508.87	1,031.52	1,421.26	1,303,804	22,094,255
Nov 03, 2020	1,261.07	1,308.21	1,033.82	1,196.22	1,015,472	18,552,783
Nov 02, 2020	988.96	1,339.83	953.96	1,260.96	2,899,448	19,417,968
Nov 01, 2020	812.52	989.33	790.89	988.92	1,151,498	15,219,873
Oct 31, 2020	739.76	838.65	664.26	812.42	576,297	12,498,573
Oct 30, 2020	784.41	858.51	735.56	739.76	396,254	11,449,870
Oct 29, 2020	774.18	867.83	709.68	784.42	450,639	12,144,379
Oct 28, 2020	822.82	929.67	613.31	774.14	1,596,572	11,971,988
Oct 27, 2020	482.50	881.08	482.50	822.84	1,065,947	12,672,244
Oct 26, 2020	557.52	566.55	448.01	482.47	446,197	7,311,742
Oct 25, 2020	677.08	686.26	554.52	557.51	193,580	8,377,981
Oct 24, 2020	647.66	688.98	601.02	677.09	176,133	10,097,968
Oct 23, 2020	620.68	706.22	581.16	647.69	0	9,468,638
Oct 22, 2020	449.00	687.72	433.19	623.80	253,171	3,583,739
Oct 21, 2020	510.12	524.18	401.52	449.00	274,395	2,579,479
Oct 20, 2020	530.59	573.18	468.21	510.17	97,205.63	2,930,905
Oct 19, 2020	619.67	620.77	462.59	530.59	238,338	3,048,237
Oct 18, 2020	603.87	619.80	603.17	619.67	0	3,560,000
Oct 17, 2020	601.71	605.20	598.24	604.15	0	3,470,863
Oct 16, 2020	620.09	622.56	597.30	601.71	0	3,456,798
Oct 15, 2020	621.50	624.13	610.15	620.09	0	3,562,440
Oct 14, 2020	626.47	634.23	615.48	621.50	0	3,570,503
Oct 13, 2020	591.37	633.33	591.37	626.47	0	3,599,092
Oct 12, 2020	584.38	594.97	553.32	591.37	256,599	3,397,392
Oct 11, 2020	584.57	606.34	583.40	584.38	139,811	3,357,284
Oct 10, 2020	480.18	586.26	479.91	584.57	560,614	3,358,350
Oct 09, 2020	466.56	480.56	454.60	480.16	288,073	2,758,493
Oct 08, 2020	475.63	486.59	467.26	467.56	317,648	2,686,142
Oct 07, 2020	441.42	475.63	435.80	475.63	408,978	2,732,516
Oct 06, 2020	447.56	447.96	421.90	441.42	342,218	2,535,979
Oct 05, 2020	464.52	468.09	445.51	447.59	467,460	2,571,383
Oct 04, 2020	488.59	496.90	464.38	464.54	386,716	2,668,778
Oct 03, 2020	455.52	487.66	452.32	487.19	307,468	2,798,931
Oct 02, 2020	579.12	581.73	457.89	457.91	395,458	2,630,680
Oct 01, 2020	518.95	585.22	518.84	579.12	669,866	3,327,021
Sep 30, 2020	347.53	518.89	326.37	518.89	1,032,513	2,981,041
Sep 29, 2020	381.88	381.92	346.35	347.53	204,396	1,996,584
Sep 28, 2020	330.40	420.35	330.40	381.88	496,015	2,193,901
Sep 27, 2020	452.92	454.00	314.44	330.42	568,065	1,898,244
Sep 26, 2020	533.40	533.62	452.86	452.92	307,929	2,602,007
Sep 25, 2020	550.50	579.53	533.60	533.60	245,521	3,065,537
Sep 24, 2020	582.69	582.69	549.10	550.50	606,406	3,162,594
Sep 23, 2020	838.01	838.29	583.02	583.38	1,217,092	3,351,489
Sep 22, 2020	964.88	970.22	842.41	843.76	711,545	4,847,411
Sep 21, 2020	911.27	1,004.03	909.29	966.12	1,638,713	5,550,350
Sep 20, 2020	712.98	913.97	704.07	911.27	1,443,699	5,235,221
Sep 19, 2020	502.01	713.41	502.01	712.09	1,155,815	4,090,930
