date	open	high	low	close	volume	market_cap
Dec 16, 2020	81.00	84.94	80.36	81.12	92.44	0
Dec 15, 2020	81.03	84.24	80.57	81.00	1,938,615	0
Dec 14, 2020	80.98	84.77	80.51	81.03	2,181,902	0
Dec 13, 2020	81.05	81.33	80.58	80.98	2,254,393	0
Dec 12, 2020	80.94	81.57	80.79	81.04	1,946,640	0
Dec 11, 2020	80.81	81.49	80.13	80.96	1,950,182	0
Dec 10, 2020	80.92	81.77	78.53	80.87	1,848,521	0
Dec 09, 2020	80.95	81.59	80.34	80.92	1,966,196	0
Dec 08, 2020	80.96	81.52	80.22	80.94	2,010,276	0
Dec 07, 2020	81.03	81.26	80.52	80.97	2,163,703	0
Dec 06, 2020	81.11	82.29	80.10	81.02	2,110,306	0
Dec 05, 2020	80.92	81.53	52.66	81.09	2,204,711	0
Dec 04, 2020	81.02	81.41	80.24	81.00	1,928,960	0
Dec 03, 2020	80.95	81.69	80.34	81.02	2,316,079	0
Dec 02, 2020	80.81	81.45	80.36	80.96	2,136,847	0
Dec 01, 2020	80.97	81.84	78.54	80.83	1,941,112	0
Nov 30, 2020	81.21	81.66	80.28	80.96	2,220,948	0
Nov 29, 2020	81.05	82.38	80.60	81.21	2,047,653	0
Nov 28, 2020	81.06	81.95	59.66	81.06	1,790,179	0
Nov 27, 2020	65.04	81.55	64.48	81.05	1,754,140	0
Nov 26, 2020	64.85	65.89	63.23	65.00	1,876,430	0
Nov 25, 2020	65.06	65.38	64.58	64.86	1,860,945	0
Nov 24, 2020	65.12	65.58	64.37	65.06	2,004,302	0
Nov 23, 2020	64.69	65.51	64.36	65.06	2,113,431	0
Nov 22, 2020	64.98	65.53	64.37	64.70	2,020,087	0
Nov 21, 2020	65.02	65.39	64.51	64.98	2,136,229	0
Nov 20, 2020	65.06	68.24	64.59	65.03	2,003,597	0
Nov 19, 2020	64.98	66.82	64.75	65.04	1,888,111	0
Nov 18, 2020	64.98	65.47	63.53	64.98	1,871,990	0
Nov 17, 2020	64.68	65.25	64.53	64.98	1,845,499	0
Nov 16, 2020	64.28	65.20	64.10	64.69	1,905,719	0
Nov 15, 2020	64.69	65.20	64.24	64.28	1,672,397	0
Nov 14, 2020	64.99	65.17	64.29	64.70	1,612,053	0
Nov 13, 2020	64.91	65.18	64.45	64.99	1,768,196	0
Nov 12, 2020	64.96	65.31	14.75	64.91	176,780	0
Nov 11, 2020	31.16	66.57	31.15	64.97	172,736	0
Nov 10, 2020	64.97	65.38	31.15	31.16	0	0
