date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.104789	0.112647	0.103543	0.112647	27.48	0
Dec 15, 2020	0.104072	0.105860	0.103237	0.104785	9.88	0
Dec 14, 2020	0.104786	0.104900	0.102552	0.104075	2.47	0
Dec 13, 2020	0.103323	0.107032	0.101800	0.104784	160.33	0
Dec 12, 2020	0.099342	0.104246	0.099096	0.103321	5.68	0
Dec 11, 2020	0.101907	0.101913	0.097491	0.099340	0	0
Dec 10, 2020	0.104696	0.104814	0.099810	0.101910	18.72	0
Dec 09, 2020	0.101014	0.105128	0.097086	0.104693	0	0
Dec 08, 2020	0.110375	0.111025	0.100576	0.101014	163.56	0
Dec 07, 2020	0.112509	0.112520	0.109195	0.110377	0	0
Dec 06, 2020	0.111237	0.113092	0.109281	0.112507	0	0
Dec 05, 2020	0.106728	0.111283	0.105426	0.111239	1.83	0
Dec 04, 2020	0.115051	0.115209	0.106276	0.106728	21.38	0
Dec 03, 2020	0.111730	0.115754	0.109626	0.115052	13.20	0
Dec 02, 2020	0.108882	0.112134	0.107067	0.111733	89.40	0
Dec 01, 2020	0.112133	0.116599	0.105515	0.108880	196.08	0
Nov 30, 2020	0.104095	0.112139	0.103873	0.112139	81.35	0
Nov 29, 2020	0.097344	0.104335	0.096378	0.104095	23.10	0
Nov 28, 2020	0.093760	0.098964	0.092123	0.097342	0	0
Nov 27, 2020	0.093822	0.095949	0.090204	0.093757	42.15	0
Nov 26, 2020	0.133544	0.134843	0.087042	0.093816	1,695.65	0
Nov 25, 2020	0.143276	0.143574	0.130395	0.133544	117.37	0
Nov 24, 2020	0.147236	0.149840	0.141246	0.143277	157.65	0
Nov 23, 2020	0.146698	0.160351	0.143928	0.147240	936.14	0
Nov 22, 2020	0.144613	0.151985	0.135596	0.146706	5.10	0
Nov 21, 2020	0.131892	0.144615	0.130870	0.144615	103.99	0
Nov 20, 2020	0.120686	0.131966	0.120448	0.131900	105.77	0
Nov 19, 2020	0.124450	0.124668	0.119970	0.120685	76.09	0
Nov 18, 2020	0.121851	0.126706	0.120665	0.124437	181.73	0
Nov 17, 2020	0.117974	0.121972	0.116830	0.121910	39.35	0
Nov 16, 2020	0.114050	0.117055	0.112938	0.116176	90.57	0
Nov 15, 2020	0.125204	0.125204	0.112173	0.114044	358.41	0
Nov 14, 2020	0.130056	0.130237	0.123425	0.125199	87.98	0
Nov 13, 2020	0.126891	0.130292	0.125691	0.129989	18.40	0
Nov 12, 2020	0.130669	0.130672	0.124777	0.126936	143.24	0
Nov 11, 2020	0.126273	0.132956	0.126273	0.130669	93.69	0
Nov 10, 2020	0.126850	0.127664	0.124220	0.126332	126.10	0
Nov 09, 2020	0.130618	0.131011	0.125001	0.126852	46.34	0
Nov 08, 2020	0.126784	0.132698	0.125884	0.130607	76.58	0
Nov 07, 2020	0.145258	0.145342	0.126557	0.126626	723.85	0
Nov 06, 2020	0.151556	0.162385	0.145125	0.145204	990.31	0
Nov 05, 2020	0.146551	0.152629	0.145428	0.151557	3.72	0
Nov 04, 2020	0.148164	0.148788	0.138993	0.146548	314.99	0
Nov 03, 2020	0.146444	0.197617	0.142097	0.148167	9,090.64	0
Nov 02, 2020	0.153634	0.156529	0.145406	0.146431	123.99	0
Nov 01, 2020	0.156329	0.160341	0.153525	0.153628	430.03	0
Oct 31, 2020	0.157433	0.158464	0.154884	0.156312	125.41	0
Oct 30, 2020	0.159714	0.161528	0.151739	0.157432	376.25	0
Oct 29, 2020	0.149552	0.161114	0.148863	0.159715	492.75	0
Oct 28, 2020	0.157833	0.157833	0.143872	0.149544	505.69	0
Oct 23, 2020	0.246143	0.246267	0.244435	0.246267	0	0
Oct 22, 2020	0.233166	0.249216	0.233166	0.246131	0	0
Oct 21, 2020	0.218930	0.236735	0.218930	0.233166	0	0
Oct 20, 2020	0.225529	0.225805	0.218607	0.218948	0	0
Oct 19, 2020	0.224329	0.227775	0.221851	0.225529	0	0
Oct 18, 2020	0.230955	0.231327	0.219118	0.224329	0	0
Oct 17, 2020	0.275090	0.276300	0.221124	0.231063	3,406.93	0
Oct 16, 2020	0.308280	0.308374	0.275090	0.275090	1,112.49	0
Oct 15, 2020	0.332085	0.380207	0.265138	0.308280	9,842.28	0
Oct 14, 2020	0.357399	0.368706	0.328594	0.328790	7,460.15	0
Oct 13, 2020	0.454672	0.698481	0.259669	0.357399	49,196.41	0
Oct 12, 2020	0.328218	0.714911	0.328218	0.454672	68,428.43	0
Oct 11, 2020	0.483284	2.03	0.341943	0.342050	268,080	0
Oct 10, 2020	0.662501	0.678146	0.374710	0.483284	25,258.28	0
Oct 09, 2020	0.558976	0.848132	0.558976	0.680116	15,948.77	0
Oct 08, 2020	0.699329	0.789598	0.552997	0.558976	16,450.15	0
Oct 07, 2020	0.719598	0.800881	0.699093	0.699329	13,493.37	0
Oct 06, 2020	0.843201	1.11	0.709047	0.719598	32,172.69	0
Oct 05, 2020	1.20	1.41	0.652325	0.810130	60,361.19	0
Oct 04, 2020	1.38	1.46	1.09	1.20	48,745.18	0
Oct 03, 2020	1.83	1.84	1.31	1.38	26,547.38	0
Oct 02, 2020	1.86	1.86	1.39	1.63	42,484.68	0
Oct 01, 2020	2.23	2.23	1.59	1.86	63,466.41	0
Sep 30, 2020	2.43	2.50	1.79	2.23	80,776.55	0
Sep 29, 2020	3.30	6.17	2.14	2.43	594,308	0
Sep 28, 2020	2.66	4.11	1.83	3.30	304,796	0
Sep 27, 2020	2.43	3.22	1.77	2.66	119,806	0
Sep 26, 2020	2.53	2.98	2.22	2.43	39,204.23	0
Sep 25, 2020	2.67	4.05	2.27	2.53	142,340	0
Sep 24, 2020	2.20	2.72	2.04	2.67	66,087.00	0
Sep 23, 2020	2.24	3.00	2.11	2.20	63,987.46	0
Sep 22, 2020	3.03	3.06	2.19	2.25	56,645.25	0
Sep 21, 2020	3.28	3.76	2.56	3.04	144,512	0
Sep 20, 2020	3.81	4.17	2.97	3.28	137,074	0
Sep 19, 2020	4.67	4.98	3.27	3.99	260,756	0
Sep 18, 2020	5.15	7.67	4.30	4.67	143,566	0
Sep 17, 2020	6.70	6.98	4.74	5.15	167,550	0
Sep 16, 2020	6.78	10.43	4.20	6.70	1,420,304	0
Sep 15, 2020	5.81	8.77	4.37	6.77	485,351	0
Sep 14, 2020	4.96	5.87	4.56	5.81	261,046	0
Sep 13, 2020	7.44	7.69	3.87	4.96	346,001	0
Sep 12, 2020	4.40	7.77	3.67	7.44	370,833	0
Sep 11, 2020	5.61	5.83	2.96	4.40	291,522	0
Sep 10, 2020	3.90	7.42	3.35	5.61	634,710	0
Sep 09, 2020	4.47	5.04	3.05	3.90	330,884	0
Sep 08, 2020	8.72	9.42	4.06	4.47	973,761	0
Sep 07, 2020	11.46	11.47	6.24	8.72	1,715,196	0
