date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.77	2.17	1.77	1.77	74,192.45	0
Dec 15, 2020	1.99	2.00	1.76	1.77	47,763.01	0
Dec 14, 2020	2.04	2.28	1.99	1.99	40,886.14	0
Dec 13, 2020	2.97	2.97	1.97	2.04	60,469.27	0
Dec 12, 2020	1.76	2.97	1.75	2.97	37,350.77	0
Dec 11, 2020	1.83	2.11	1.70	1.76	60,682.43	0
Dec 10, 2020	1.71	2.29	1.71	1.83	25,869.50	0
Dec 09, 2020	1.99	2.38	1.71	1.71	66,850.82	0
Dec 08, 2020	1.99	2.19	1.61	1.99	63,070.35	0
Dec 07, 2020	1.82	2.51	1.53	1.99	40,015.19	0
Dec 06, 2020	2.05	2.14	1.79	1.82	36,697.39	0
Dec 05, 2020	2.11	2.27	1.74	2.05	29,038.73	0
Dec 04, 2020	1.65	2.13	1.56	2.11	24,157.80	0
Dec 03, 2020	2.27	2.27	1.47	1.65	265.83	0
Dec 02, 2020	2.20	2.27	1.53	2.27	61.71	0
Dec 01, 2020	2.13	2.34	1.97	2.20	157.05	0
Nov 30, 2020	2.22	2.22	2.06	2.13	259.01	0
Nov 29, 2020	2.10	2.54	2.08	2.22	135.13	0
Nov 28, 2020	2.12	2.96	1.85	2.10	1,014.49	0
Nov 27, 2020	1.88	2.25	1.87	2.12	1,197.00	0
Nov 26, 2020	3.74	4.83	1.87	1.88	9,181.10	0
Nov 25, 2020	3.23	6.45	2.40	3.74	6,145.76	0
Nov 24, 2020	1.35	3.59	1.01	3.23	3,603.13	0
Nov 23, 2020	1.06	1.62	1.06	1.35	64.36	0
Nov 22, 2020	1.58	1.58	0.621025	1.06	472.42	0
Nov 21, 2020	1.35	2.24	1.35	1.58	244.51	0
Nov 20, 2020	1.79	1.79	1.35	1.35	24.82	0
Nov 19, 2020	1.86	1.88	1.34	1.79	596.32	0
Nov 18, 2020	1.29	1.88	1.29	1.86	89.57	0
Nov 17, 2020	1.30	1.89	1.29	1.29	140.99	0
Nov 16, 2020	1.27	1.89	1.27	1.30	38.40	0
Nov 15, 2020	1.71	1.89	1.25	1.27	10.18	0
Nov 14, 2020	1.59	1.77	1.32	1.71	49.58	0
Nov 13, 2020	1.65	1.73	1.18	1.59	359.68	0
Nov 12, 2020	1.43	1.83	1.10	1.65	134.28	0
Nov 11, 2020	1.92	1.92	0.876258	1.43	1,284.53	0
Nov 10, 2020	1.94	1.94	1.67	1.92	53.93	0
Nov 09, 2020	2.24	2.30	1.94	1.94	32.29	0
Nov 08, 2020	1.94	2.24	1.63	2.24	94.54	0
Nov 07, 2020	2.04	2.07	1.88	1.94	512.22	0
Nov 06, 2020	2.36	2.36	2.04	2.04	593.63	0
Nov 05, 2020	2.23	2.36	2.23	2.36	123.79	0
Nov 04, 2020	2.04	2.48	1.79	2.23	710.39	0
Nov 03, 2020	2.25	2.27	1.89	2.04	124.04	0
Nov 02, 2020	2.11	2.28	1.95	2.25	335.91	0
Nov 01, 2020	2.32	2.62	2.04	2.11	212.17	0
Oct 31, 2020	2.90	2.90	2.25	2.32	1,768.30	0
Oct 30, 2020	3.88	3.89	2.88	2.90	1,014.45	0
Oct 29, 2020	3.80	3.89	3.43	3.88	644.77	0
Oct 28, 2020	5.63	5.63	3.30	3.80	2,245.74	0
Oct 27, 2020	5.86	6.99	4.20	5.63	570.02	0
Oct 26, 2020	7.61	8.78	5.61	5.86	2,940.05	0
Oct 25, 2020	4.10	10.01	3.20	7.61	3,095.18	0
Oct 24, 2020	5.50	5.50	2.04	4.10	513.29	0
Oct 23, 2020	3.47	5.99	2.61	5.50	1,644.73	0
Oct 22, 2020	4.34	4.34	2.55	3.47	439.72	0
Oct 21, 2020	5.60	5.60	2.51	4.34	985.06	0
Oct 20, 2020	4.21	6.62	4.21	5.60	1,231.36	0
Oct 19, 2020	5.01	6.99	4.02	4.21	1,432.64	0
Oct 18, 2020	5.00	7.00	4.00	5.01	874.48	0
Oct 17, 2020	6.21	8.31	5.00	5.00	2,484.13	0
Oct 16, 2020	8.61	11.01	6.14	6.21	1,652.35	0
Oct 15, 2020	9.46	9.46	7.31	8.61	2,253.16	0
Oct 14, 2020	10.01	11.31	7.01	9.46	3,681.13	0
Oct 13, 2020	14.51	14.51	7.26	10.01	0	0
Oct 12, 2020	36.58	47.69	8.23	14.51	0	0
Oct 11, 2020	54.35	54.78	33.50	36.58	0	0
Oct 10, 2020	71.40	75.01	49.98	57.70	0	0
Oct 09, 2020	95.66	96.85	48.02	70.39	0	0
