date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.003227	0.003368	0.003126	0.003368	1,968.50	0
Dec 15, 2020	0.003543	0.003602	0.003196	0.003227	4,655.37	0
Dec 14, 2020	0.003276	0.003889	0.003221	0.003543	23,594.10	0
Dec 13, 2020	0.003015	0.003685	0.002996	0.003276	11,846.07	0
Dec 12, 2020	0.002634	0.003530	0.002628	0.003015	26,758.08	0
Dec 11, 2020	0.002716	0.002717	0.002586	0.002634	172.64	0
Dec 10, 2020	0.002781	0.002784	0.002660	0.002717	27.25	0
Dec 09, 2020	0.002796	0.002796	0.002563	0.002781	2,001.54	0
Dec 08, 2020	0.003236	0.003236	0.002784	0.002796	2,893.22	0
Dec 07, 2020	0.003978	0.003983	0.003227	0.003242	10,919.78	0
Dec 06, 2020	0.003937	0.004003	0.003873	0.003980	455.51	0
Dec 05, 2020	0.004225	0.004379	0.003906	0.003937	8,898.84	0
Dec 04, 2020	0.004799	0.004806	0.004207	0.004225	2,244.04	0
Dec 03, 2020	0.004895	0.004941	0.004768	0.004799	2,977.97	0
Dec 02, 2020	0.005076	0.005077	0.004759	0.004895	2,901.58	0
Dec 01, 2020	0.005456	0.005469	0.004944	0.005076	1,873.36	0
Nov 30, 2020	0.005350	0.005633	0.005285	0.005456	3,035.19	0
Nov 29, 2020	0.005277	0.005362	0.005125	0.005350	3,328.50	0
Nov 28, 2020	0.004779	0.005442	0.004668	0.005277	8,999.05	0
Nov 27, 2020	0.005347	0.005489	0.004580	0.004779	23,092.16	0
Nov 26, 2020	0.005749	0.005785	0.004737	0.005346	12,592.09	0
Nov 25, 2020	0.007458	0.007473	0.005734	0.005749	38,788.91	0
Nov 24, 2020	0.009463	0.009825	0.007446	0.007458	30,264.93	0
Nov 23, 2020	0.008323	0.009754	0.008234	0.009463	41,469.59	0
Nov 22, 2020	0.010186	0.010350	0.008324	0.008324	33,033.49	0
Nov 21, 2020	0.010642	0.010822	0.009513	0.010186	14,679.98	0
Nov 20, 2020	0.010188	0.011051	0.009690	0.010642	13,191.59	0
Nov 19, 2020	0.011186	0.011186	0.009839	0.010188	25,957.50	0
Nov 18, 2020	0.010777	0.011290	0.010141	0.011185	20,325.54	0
Nov 17, 2020	0.008932	0.011426	0.008559	0.010782	30,563.75	0
Nov 16, 2020	0.008184	0.008783	0.008104	0.008719	6,010.18	0
Nov 15, 2020	0.010706	0.010706	0.008049	0.008184	15,382.54	0
Nov 14, 2020	0.011425	0.011441	0.010232	0.010706	10,408.70	0
Nov 13, 2020	0.011296	0.014424	0.009279	0.011419	109,623	0
Nov 12, 2020	0.009995	0.011601	0.009241	0.011300	32,984.79	0
Nov 11, 2020	0.008806	0.010796	0.008606	0.009995	26,355.17	0
Nov 10, 2020	0.008318	0.009421	0.008075	0.008810	41,351.80	0
Nov 09, 2020	0.007779	0.008318	0.007455	0.008318	17,064.23	0
Nov 08, 2020	0.006570	0.007833	0.006306	0.007779	11,690.61	0
Nov 07, 2020	0.007584	0.007744	0.006476	0.006562	4,336.45	0
Nov 06, 2020	0.007237	0.007958	0.007237	0.007581	6,754.88	0
Nov 05, 2020	0.007767	0.007969	0.006998	0.007237	8,029.56	0
Nov 04, 2020	0.008899	0.008986	0.007521	0.007766	14,084.40	0
Nov 03, 2020	0.007119	0.009728	0.006705	0.008899	28,694.76	0
Nov 02, 2020	0.008980	0.008980	0.007112	0.007118	15,769.11	0
Nov 01, 2020	0.009999	0.010059	0.008939	0.008979	9,823.11	0
Oct 31, 2020	0.007342	0.010022	0.007187	0.009998	159,268	0
Oct 30, 2020	0.006556	0.007348	0.006188	0.007342	18,934.20	0
Oct 29, 2020	0.006570	0.006711	0.006177	0.006556	8,049.33	0
Oct 28, 2020	0.006356	0.007031	0.006352	0.006570	10,984.30	0
Oct 27, 2020	0.006080	0.006572	0.006080	0.006357	4,799.15	0
Oct 26, 2020	0.006544	0.007402	0.005965	0.006080	24,616.22	0
Oct 25, 2020	0.006543	0.006621	0.006429	0.006544	2,007.18	0
Oct 24, 2020	0.006598	0.006663	0.006435	0.006543	5,263.46	0
Oct 23, 2020	0.006784	0.006787	0.006526	0.006598	0	0
Oct 22, 2020	0.006226	0.006944	0.006046	0.006784	15,326.33	0
Oct 21, 2020	0.006229	0.006812	0.005942	0.006226	16,103.31	0
Oct 20, 2020	0.007183	0.007183	0.006201	0.006230	21,721.87	0
Oct 19, 2020	0.007729	0.007772	0.006848	0.007183	27,042.74	0
Oct 18, 2020	0.007213	0.009738	0.007205	0.007729	45,407.11	0
Oct 17, 2020	0.008187	0.008347	0.006939	0.007216	15,380.46	0
Oct 16, 2020	0.007642	0.008504	0.007186	0.008187	26,996.33	0
Oct 15, 2020	0.007382	0.007923	0.006898	0.007642	16,412.35	0
Oct 14, 2020	0.008461	0.008942	0.007133	0.007382	27,266.96	0
Oct 13, 2020	0.007869	0.009498	0.006824	0.008461	84,139.98	0
Oct 12, 2020	0.007759	0.008516	0.007548	0.007869	23,821.83	0
Oct 11, 2020	0.008195	0.008260	0.006211	0.007759	55,198.25	0
Oct 10, 2020	0.007768	0.008683	0.007378	0.008195	19,183.20	0
Oct 09, 2020	0.008894	0.008903	0.006875	0.007770	32,080.77	0
Oct 08, 2020	0.008370	0.009008	0.007663	0.008884	56,377.61	0
Oct 07, 2020	0.009022	0.009503	0.008148	0.008370	19,390.75	0
Oct 06, 2020	0.012379	0.013852	0.009067	0.009070	54,490.93	0
Oct 05, 2020	0.018202	0.018202	0.010310	0.012477	0	0
Oct 04, 2020	0.006282	0.020990	0.005838	0.018202	0	0
Oct 03, 2020	0.007852	0.008164	0.006260	0.006282	0	0
Oct 02, 2020	0.008287	0.009434	0.006741	0.007852	0	0
Oct 01, 2020	0.012014	0.012182	0.006519	0.008287	0	0
Sep 30, 2020	0.012769	0.018569	0.008436	0.012014	0	0
