date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.005722	0.007400	0.004900	0.006415	800.44	9,845,874
Dec 15, 2020	0.004962	0.007185	0.004954	0.005722	2,002.74	8,781,165
Dec 14, 2020	0.004930	0.005861	0.004673	0.004962	357.91	7,615,458
Dec 13, 2020	0.004615	0.005861	0.004608	0.004930	371.50	7,566,690
Dec 12, 2020	0.005003	0.005130	0.004412	0.004615	250.57	7,082,480
Dec 11, 2020	0.005142	0.005338	0.004880	0.005003	145.37	7,678,003
Dec 10, 2020	0.006466	0.006751	0.005055	0.005141	834.31	7,890,666
Dec 09, 2020	0.006870	0.007004	0.006466	0.006466	1,895.64	9,924,134
Dec 08, 2020	0.007333	0.007535	0.006864	0.006870	2,395.69	10,542,745
Dec 07, 2020	0.007176	0.008170	0.007077	0.007333	5,951.77	11,253,463
Dec 06, 2020	0.006889	0.007275	0.006889	0.007176	1,484.99	11,013,042
Dec 05, 2020	0.006870	0.007538	0.006269	0.006888	2,265.43	10,571,802
Dec 04, 2020	0.005985	0.006908	0.005637	0.006871	3,628.20	10,544,783
Dec 03, 2020	0.005003	0.006300	0.004998	0.005985	3,280.50	9,185,009
Dec 02, 2020	0.005082	0.006506	0.004959	0.005003	5,754.53	7,678,103
Dec 01, 2020	0.005155	0.007199	0.004806	0.005081	18,445.27	7,798,485
Nov 30, 2020	0.005808	0.005955	0.005087	0.005155	6,633.09	7,910,996
Nov 29, 2020	0.006193	0.006488	0.005191	0.005808	5,228.63	8,913,329
Nov 28, 2020	0.005724	0.006386	0.005566	0.006193	2,824.84	9,503,942
Nov 27, 2020	0.005450	0.006156	0.004919	0.005723	2,145.52	8,783,869
Nov 26, 2020	0.008536	0.008658	0.005216	0.005448	2,559.03	8,361,732
Nov 25, 2020	0.010695	0.011598	0.007845	0.008536	8,564.38	13,099,894
Nov 24, 2020	0.007040	0.010845	0.006257	0.010694	5,446.84	16,412,834
Nov 23, 2020	0.006805	0.007286	0.006277	0.007040	5,957.90	10,803,875
Nov 22, 2020	0.006845	0.007146	0.006147	0.006805	6,534.55	10,443,878
Nov 21, 2020	0.006084	0.006909	0.006035	0.006845	5,499.04	10,505,690
Nov 20, 2020	0.007100	0.008922	0.006084	0.006084	4,157.18	9,337,531
Nov 19, 2020	0.007831	0.008082	0.006621	0.007099	5,503.03	10,895,047
Nov 18, 2020	0.005364	0.008149	0.005232	0.007831	11,617.39	12,018,099
Nov 17, 2020	0.004445	0.006186	0.004411	0.005364	8,606.83	8,231,645
Nov 16, 2020	0.004143	0.004555	0.004137	0.004227	4,479.26	6,487,623
Nov 15, 2020	0.004745	0.004769	0.003970	0.004143	4,422.41	0
Nov 14, 2020	0.004309	0.004802	0.004298	0.004745	7,511.15	0
Nov 13, 2020	0.005102	0.005192	0.004280	0.004309	8,572.28	0
Nov 12, 2020	0.002551	0.005407	0.002546	0.005102	10,767.76	0
Nov 11, 2020	0.001912	0.002671	0.001912	0.002551	4,745.35	0
Nov 10, 2020	0.001702	0.002347	0.001521	0.001912	4,457.12	0
Nov 09, 2020	0.001254	0.001865	0.001054	0.001702	7,194.23	0
Nov 08, 2020	0.001651	0.003825	0.001110	0.001254	5,632.85	0
Nov 07, 2020	0.000810	0.001662	0.000794	0.001651	10,520.05	0
Nov 06, 2020	0.001028	0.003659	0.000777	0.000810	4,056.02	0
Nov 05, 2020	0.001207	0.001311	0.000587	0.001028	4,146.28	0
Nov 04, 2020	0.001960	0.004361	0.001150	0.001207	4,195.63	0
Nov 03, 2020	0.001660	0.002133	0.001246	0.001960	4,342.39	0
Nov 02, 2020	0.006289	0.009509	0.000564	0.001660	5,138.16	0
Nov 01, 2020	0.006288	0.010068	0.003013	0.006288	17,075.19	0
Oct 31, 2020	0.033573	0.033575	0.003583	0.006288	21,751.28	0
Oct 30, 2020	0.048097	0.052556	0.032345	0.033573	17,782.79	0
Oct 29, 2020	0.057575	0.057614	0.041787	0.048097	13,384.79	0
Oct 28, 2020	0.064979	0.065290	0.032840	0.057575	14,990.46	0
Oct 27, 2020	0.063217	0.066820	0.043098	0.064977	37,677.17	0
Oct 26, 2020	0.067350	0.068726	0.062019	0.063217	26,681.96	0
Oct 25, 2020	0.065986	0.070907	0.055655	0.067348	38,199.43	0
Oct 24, 2020	0.064514	0.067658	0.063239	0.065988	19,134.87	0
Oct 23, 2020	0.073340	0.078776	0.064297	0.064513	42,199.68	0
Oct 22, 2020	0.073242	0.077165	0.072268	0.073333	34,640.30	0
Oct 21, 2020	0.072674	0.074226	0.071894	0.073236	35,694.43	0
Oct 20, 2020	0.075607	0.077081	0.071464	0.072141	25,471.67	0
