date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002435	0.003095	0.002359	0.002787	17,058.87	167,240
Dec 15, 2020	0.002321	0.002863	0.002301	0.002437	4,131.31	146,237
Dec 14, 2020	0.002309	0.002328	0.002293	0.002321	0	139,273
Dec 13, 2020	0.002256	0.002337	0.002248	0.002308	41.54	138,503
Dec 12, 2020	0.002167	0.002270	0.002166	0.002257	0	135,400
Dec 11, 2020	0.002192	0.002192	0.002114	0.002167	3.22	130,013
Dec 10, 2020	0.002226	0.002226	0.002155	0.002192	0	131,499
Dec 09, 2020	0.002208	0.002235	0.002162	0.002226	88.88	133,585
Dec 08, 2020	0.002303	0.002314	0.002202	0.002208	349.49	132,454
Dec 07, 2020	0.002362	0.002370	0.002272	0.002303	472.11	138,192
Dec 06, 2020	0.002731	0.002744	0.002270	0.002361	2,069.27	141,676
Dec 05, 2020	0.002797	0.002872	0.002710	0.002731	516.79	163,880
Dec 04, 2020	0.002915	0.002925	0.002797	0.002798	12.42	167,868
Dec 03, 2020	0.002778	0.002935	0.002739	0.002915	1,915.86	174,914
Dec 02, 2020	0.002860	0.002937	0.002746	0.002779	114.96	166,719
Dec 01, 2020	0.003332	0.003339	0.002732	0.002860	267.64	171,609
Nov 30, 2020	0.003087	0.003353	0.002732	0.003333	53.22	199,964
Nov 29, 2020	0.003007	0.003104	0.002982	0.003087	3.94	185,200
Nov 28, 2020	0.002903	0.003030	0.002870	0.003007	0	180,404
Nov 27, 2020	0.002910	0.002960	0.002805	0.002903	42.13	174,200
Nov 26, 2020	0.003344	0.003368	0.002642	0.002910	1,570.40	174,571
Nov 25, 2020	0.003411	0.003461	0.002836	0.003348	0	200,901
Nov 24, 2020	0.002718	0.003454	0.002683	0.003407	520.72	204,448
Nov 23, 2020	0.002684	0.002759	0.002630	0.002716	219.29	162,966
Nov 22, 2020	0.003695	0.003704	0.002225	0.002684	557.73	161,043
Nov 21, 2020	0.003706	0.003768	0	0.003695	4.03	221,689
Nov 20, 2020	0.002961	0.003736	0	0.003706	767.41	222,347
Nov 19, 2020	0.003027	0.003048	0	0.002961	129.46	177,677
Nov 18, 2020	0.003111	0.003229	0	0.003026	488.35	181,584
Nov 17, 2020	0.002942	0.003135	0.001461	0.003111	0	186,645
Nov 16, 2020	0.002883	0.002982	0.002870	0.002947	0.753998	176,810
Nov 15, 2020	0.002593	0.003427	0.002548	0.002883	245.50	172,991
Nov 14, 2020	0.003061	0.003061	0.002538	0.002593	154.85	155,596
Nov 13, 2020	0.003218	0.003475	0.002604	0.003061	609.59	183,674
Nov 12, 2020	0.002826	0.003224	0.002796	0.003218	751.55	193,069
Nov 11, 2020	0.003257	0.004161	0.002779	0.002827	43,139.55	169,595
Nov 10, 2020	0.002604	0.003756	0.002578	0.003257	218,110	195,431
Nov 09, 2020	0.002639	0.002676	0.002524	0.002604	63.69	156,251
Nov 08, 2020	0.002553	0.002666	0.002537	0.002640	36.21	158,423
Nov 07, 2020	0.002589	0.002708	0.002482	0.002556	83.43	153,332
Nov 06, 2020	0.002804	0.003804	0.002478	0.002586	541.35	155,186
Nov 05, 2020	0.002544	0.002827	0.002538	0.002804	282.87	168,265
Nov 04, 2020	0.002512	0.002559	0.002446	0.002544	341.85	152,640
Nov 03, 2020	0.002440	0.002519	0.002400	0.002506	10.89	150,363
Nov 02, 2020	0.002425	0.002460	0.002337	0.002442	0.193480	146,516
Nov 01, 2020	0.002432	0.002447	0.002405	0.002420	19.79	145,212
Oct 31, 2020	0.002390	0.002475	0.002374	0.002432	6.63	145,920
Oct 30, 2020	0.002553	0.002589	0.002126	0.002390	1,531.16	143,375
Oct 29, 2020	0.002556	0.002586	0.002466	0.002555	6.89	153,325
Oct 28, 2020	0.002813	0.002851	0.002470	0.002557	681.67	153,395
Oct 27, 2020	0.002693	0.002834	0.002691	0.002810	0	168,573
Oct 26, 2020	0.002841	0.002855	0.002613	0.002693	1,409.48	161,573
Oct 25, 2020	0.002858	0.002906	0.002814	0.002839	0	170,369
Oct 24, 2020	0.002820	0.002867	0.002810	0.002859	4.00	171,512
Oct 23, 2020	0.002828	0.002839	0.002781	0.002820	0	169,181
Oct 22, 2020	0.002894	0.002921	0.002761	0.002828	872.22	169,672
Oct 21, 2020	0.002495	0.003049	0.002492	0.002894	707.92	173,659
Oct 20, 2020	0.002583	0.002634	0.002385	0.002495	136.50	149,717
Oct 19, 2020	0.002641	0.002647	0.002530	0.002583	5.58	154,995
Oct 18, 2020	0.002612	0.002641	0.002610	0.002641	251.09	158,470
Oct 17, 2020	0.002627	0.002640	0.002600	0.002612	389.36	156,742
Oct 16, 2020	0.002586	0.002633	0.002469	0.002627	1,576.72	157,604
Oct 15, 2020	0.002686	0.002686	0.002507	0.002586	463.56	155,184
Oct 14, 2020	0.002633	0.002775	0.002606	0.002686	430.46	161,156
Oct 13, 2020	0.002844	0.002844	0.002618	0.002633	237.62	157,952
Oct 12, 2020	0.003017	0.003022	0.002841	0.002844	292.30	170,626
Oct 11, 2020	0.002999	0.003029	0.002996	0.003017	963.51	181,009
Oct 10, 2020	0.003220	0.003227	0.002894	0.002999	211.98	179,951
Oct 09, 2020	0.003195	0.003249	0.003114	0.003220	314.23	193,185
Oct 08, 2020	0.002987	0.003211	0.002975	0.003195	260.88	191,700
Oct 07, 2020	0.002755	0.002991	0.002743	0.002987	346.74	179,239
Oct 06, 2020	0.002596	0.002755	0.002531	0.002755	570.51	165,301
Oct 05, 2020	0.002668	0.002690	0.002570	0.002596	365.89	155,744
Oct 04, 2020	0.002669	0.002685	0.002589	0.002668	1,983.15	160,090
Oct 03, 2020	0.002612	0.002682	0.002596	0.002669	0	160,139
Oct 02, 2020	0.003183	0.003194	0.002577	0.002612	2,092.99	156,736
Oct 01, 2020	0.003168	0.003256	0.002580	0.003183	1,953.98	190,959
Sep 30, 2020	0.003034	0.003181	0.002985	0.003168	221.08	190,052
Sep 29, 2020	0.002997	0.003039	0.002980	0.003034	0	182,060
Sep 28, 2020	0.003014	0.003091	0.002995	0.002997	115.69	179,794
Sep 27, 2020	0.002997	0.003022	0.002971	0.003014	130.38	180,828
Sep 26, 2020	0.002622	0.003032	0.002616	0.002997	270.92	179,838
Sep 25, 2020	0.002636	0.002641	0.002592	0.002622	1.07	157,311
Sep 24, 2020	0.002715	0.002729	0.002530	0.002636	1,515.02	158,173
Sep 23, 2020	0.003002	0.003003	0.002702	0.002715	806.38	162,914
Sep 22, 2020	0.002976	0.002996	0.002958	0.002985	0	179,073
Sep 21, 2020	0.003155	0.003167	0.002905	0.002977	434.24	178,646
Sep 20, 2020	0.003046	0.003157	0.002981	0.003155	7.03	189,300
Sep 19, 2020	0.003282	0.003345	0.003013	0.003046	134.64	182,763
Sep 18, 2020	0.003392	0.003420	0.003251	0.003281	91.93	196,838
Sep 17, 2020	0.003507	0.003531	0.003259	0.003392	516.21	203,518
Sep 16, 2020	0.003451	0.003546	0.003418	0.003506	155.19	210,389
Sep 15, 2020	0.003492	0.003537	0.003342	0.003452	757.69	207,091
Sep 14, 2020	0.003359	0.003514	0.003356	0.003491	1,257.02	209,437
Sep 13, 2020	0.003560	0.003560	0.003328	0.003359	979.97	201,530
Sep 12, 2020	0.003537	0.003734	0.003286	0.003560	757.96	213,591
Sep 11, 2020	0.003686	0.003695	0.003519	0.003536	338.89	212,177
Sep 10, 2020	0.003738	0.003961	0.003662	0.003685	185.87	221,123
Sep 09, 2020	0.003849	0.004279	0.003507	0.003738	1,947.18	224,257
Sep 08, 2020	0.003803	0.004524	0.003626	0.003848	2,121.61	230,903
Sep 07, 2020	0.003347	0.005325	0.003225	0.003802	6,083.49	228,102
Sep 06, 2020	0.003253	0.003563	0.003080	0.003347	5,194.54	200,816
Sep 05, 2020	0.003166	0.003361	0.002964	0.003253	1,963.63	195,196
Sep 04, 2020	0.003151	0.003316	0.002956	0.003167	1,426.48	190,017
Sep 03, 2020	0.003303	0.003742	0.003025	0.003150	1,905.32	189,000
Sep 02, 2020	0.003923	0.003930	0.003266	0.003305	5,228.63	198,287
