date	open	high	low	close	volume	market_cap
Dec 16, 2020	1,210.78	1,360.83	1,009.73	1,147.96	13,228.79	0
Dec 15, 2020	1,402.89	1,448.87	1,092.82	1,210.72	18,024.42	0
Dec 14, 2020	1,279.95	1,559.96	887.40	1,402.95	47,418.02	0
Dec 13, 2020	1,247.64	1,495.89	1,242.12	1,279.80	5,932.43	0
Dec 12, 2020	1,126.97	1,336.68	1,126.91	1,247.64	4,777.85	0
Dec 11, 2020	1,230.89	1,423.86	1,055.11	1,126.97	20,173.93	0
Dec 10, 2020	1,414.04	1,418.36	1,106.77	1,230.85	25,146.75	0
Dec 09, 2020	1,342.83	1,582.97	1,185.94	1,414.02	18,931.07	0
Dec 08, 2020	1,878.95	2,084.56	822.13	1,342.95	82,479.28	0
Dec 07, 2020	1,858.19	2,111.38	1,771.51	1,878.97	18,287.80	0
Dec 06, 2020	1,920.96	2,272.33	1,697.44	1,858.21	64,293.82	0
Dec 05, 2020	1,619.01	2,363.79	1,472.55	1,920.72	49,057.86	0
Dec 04, 2020	1,669.71	1,854.49	1,541.38	1,618.86	27,346.14	0
Dec 03, 2020	1,301.74	1,903.73	1,182.05	1,669.73	63,284.98	0
Dec 02, 2020	1,252.72	1,474.62	1,159.73	1,301.74	38,361.82	0
Dec 01, 2020	1,178.27	1,563.28	807.22	1,252.82	218,936	0
Nov 30, 2020	1,384.10	1,434.13	1,037.27	1,178.22	187,411	0
Nov 29, 2020	1,410.78	1,554.33	1,130.48	1,384.19	164,175	0
Nov 28, 2020	1,282.71	1,448.14	1,040.03	1,410.31	92,422.28	0
Nov 27, 2020	1,479.35	1,597.84	1,182.49	1,281.78	182,825	0
Nov 26, 2020	1,730.24	1,761.43	1,060.81	1,479.42	455,899	0
Nov 25, 2020	1,440.33	2,228.80	1,374.07	1,730.55	608,571	0
Nov 24, 2020	1,554.91	1,728.88	1,024.07	1,440.39	833,091	0
Nov 23, 2020	1,426.15	1,997.79	1,174.05	1,554.90	836,948	0
Nov 22, 2020	1,504.75	1,743.47	984.41	1,426.21	2,119,215	0
Nov 21, 2020	1,730.41	2,016.04	1,386.06	1,504.77	1,869,233	0
Nov 20, 2020	1,327.47	1,818.93	1,083.14	1,730.51	2,962,533	0
Nov 19, 2020	1,298.22	1,845.95	1,216.29	1,327.50	3,046,848	0
Nov 18, 2020	1,340.43	1,558.06	517.07	1,298.12	7,379,750	0
Nov 17, 2020	1,219.67	3,781.70	874.28	1,340.38	13,473,292	0
Nov 16, 2020	402.88	1,096.48	396.22	794.89	3,288,097	0
Nov 15, 2020	303.51	462.36	294.44	402.88	468,245	0
Nov 14, 2020	67.12	436.70	67.11	303.50	1,213,930	0
Nov 13, 2020	85.15	85.91	66.79	67.12	45,902.56	0
Nov 12, 2020	96.00	108.51	85.02	85.14	52,915.78	0
Nov 11, 2020	124.01	125.28	90.24	96.00	73,363.15	0
Nov 10, 2020	155.27	167.73	124.02	124.02	70,502.84	0
Nov 09, 2020	87.37	287.36	87.32	155.27	626,632	0
Nov 08, 2020	72.20	90.35	72.01	87.37	81,535.92	0
Nov 07, 2020	51.26	86.80	51.17	72.20	93,643.46	0
