date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000001	0.000001	9.90e-7	0.000001	3,596.38	12,982.55
Dec 15, 2020	0.000001	0.000001	9.90e-7	0.000001	3,105.71	16,268.74
Dec 14, 2020	0.000001	0.000001	9.80e-7	0.000001	479.93	16,175.40
Dec 13, 2020	8.50e-7	0.000001	8.50e-7	0.000001	2,738.60	12,737.17
Dec 12, 2020	0.000001	0.000001	8.30e-7	8.50e-7	1,554.56	10,237.36
Dec 11, 2020	0.000001	0.000001	7.60e-7	0.000001	1,777.35	12,444.55
Dec 10, 2020	0.000001	0.000001	7.90e-7	0.000001	1,339.36	12,132.55
Dec 09, 2020	0.000001	0.000001	7.90e-7	0.000001	906.03	13,764.42
Dec 08, 2020	0.000001	0.000001	8.00e-7	0.000001	264.51	13,314.16
Dec 07, 2020	0.000001	0.000001	6.60e-7	0.000001	1,922.76	13,497.34
Dec 06, 2020	9.50e-7	0.000001	9.50e-7	0.000001	1,561.53	17,330.61
Dec 05, 2020	6.30e-7	0.000002	6.20e-7	9.50e-7	1,344.86	11,453.94
Dec 04, 2020	0.000002	0.000002	4.10e-7	6.30e-7	1,683.08	7,517.90
Dec 03, 2020	0.000001	0.000002	0.000001	0.000002	1,963.62	20,725.69
Dec 02, 2020	0.000002	0.000002	0.000001	0.000001	1,869.98	17,235.47
Dec 01, 2020	0.000002	0.000002	0.000001	0.000002	5,114.91	22,113.83
Nov 30, 2020	0.000002	0.000002	0.000001	0.000002	6,192.12	18,443.61
Nov 29, 2020	0.000001	0.000002	0.000001	0.000002	1,982.89	23,695.28
Nov 28, 2020	0.000002	0.000002	0.000001	0.000001	2,126.34	14,859.45
Nov 27, 2020	0.000002	0.000002	0.000001	0.000002	1,581.23	19,871.03
Nov 26, 2020	0.000002	0.000092	9.80e-7	0.000002	5,185.91	20,559.75
Nov 25, 2020	0.000066	0.000067	4.20e-7	0.000002	1,586.45	23,292.04
Nov 24, 2020	0.000002	0.000095	0.000002	0.000066	0	796,588
Nov 23, 2020	0.000002	0.000002	0.000002	0.000002	2.07	24,064.59
Nov 22, 2020	0.000002	0.000002	0.000002	0.000002	0.242439	22,103.67
Nov 21, 2020	0.000002	0.000002	0.000002	0.000002	2,343.02	22,421.15
Nov 20, 2020	0.000002	0.000002	0.000002	0.000002	3,501.56	21,412.67
Nov 19, 2020	0.000002	0.000002	0.000002	0.000002	2,169.78	21,041.26
Nov 18, 2020	0.000002	0.000002	0.000002	0.000002	6,241.80	28,193.93
Nov 17, 2020	0.000002	0.000002	0.000002	0.000002	9,611.57	21,329.60
Nov 16, 2020	0.000002	0.000002	0.000002	0.000002	8,008.07	20,422.23
Nov 15, 2020	0.000002	0.000002	0.000002	0.000002	4,071.63	19,873.99
Nov 14, 2020	0.000002	0.000002	0.000002	0.000002	3,027.87	28,163.10
Nov 13, 2020	0.000002	0.000003	0.000002	0.000002	3,658.52	20,506.25
Nov 12, 2020	0.000002	0.000002	0.000002	0.000002	7,410.80	21,577.32
Nov 11, 2020	0.000002	0.000002	0.000002	0.000002	5,252.53	20,002.34
Nov 10, 2020	0.000002	0.000002	0.000002	0.000002	2,185.63	21,048.74
Nov 09, 2020	0.000002	0.000002	0.000002	0.000002	5,666.68	23,455.68
Nov 08, 2020	0.000002	0.000003	0.000002	0.000002	3,963.05	23,950.45
Nov 07, 2020	0.000002	0.000002	0.000002	0.000002	3,835.71	23,008.27
Nov 06, 2020	0.000001	0.000002	0.000001	0.000002	4,000.89	24,011.91
Nov 05, 2020	0.000002	0.000002	0.000001	0.000001	7,293.44	17,890.01
Nov 04, 2020	0.000002	0.000002	0.000001	0.000002	7,947.58	19,787.09
Nov 03, 2020	0.000001	0.000002	0.000001	0.000002	4,160.58	21,832.84
Nov 02, 2020	0.000002	0.000002	0.000001	0.000001	6,408.93	16,591.24
Nov 01, 2020	0.000002	0.000003	0.000001	0.000002	4,579.85	24,259.14
Oct 31, 2020	0.000070	0.000070	0.000001	0.000002	3,462.84	19,950.71
Oct 30, 2020	0.000001	0.000070	0.000001	0.000070	0	835,845
Oct 29, 2020	0.000001	0.000002	0.000001	0.000001	3,172.96	16,928.82
Oct 28, 2020	0.000001	0.000002	0.000001	0.000001	4,993.91	16,792.27
Oct 27, 2020	0.000002	0.000002	0.000001	0.000001	6,947.94	16,970.22
Oct 26, 2020	0.000001	0.000002	0.000001	0.000002	5,713.27	18,907.96
Oct 25, 2020	0.000002	0.000002	0.000001	0.000001	3,124.66	17,550.89
Oct 24, 2020	0.000002	0.000002	0.000002	0.000002	2,578.90	18,315.39
Oct 23, 2020	0.000002	0.000067	0.000002	0.000002	197.71	18,688.17
Oct 22, 2020	0.000002	0.000002	0.000002	0.000002	2,171.90	19,863.37
Oct 21, 2020	0.000001	0.000002	0.000001	0.000002	9,061.47	18,827.26
Oct 20, 2020	0.000002	0.000004	0.000001	0.000001	4,219.48	17,720.60
Oct 19, 2020	0.000002	0.000006	0.000002	0.000002	13,671.62	20,989.45
Oct 18, 2020	0.000002	0.000002	0.000002	0.000002	5,248.70	24,511.04
Oct 17, 2020	0.000002	0.000002	0.000002	0.000002	1,861.27	19,942.23
Oct 16, 2020	0.000002	0.000002	0.000002	0.000002	6,588.51	22,763.73
Oct 15, 2020	0.000002	0.000002	0.000002	0.000002	6,169.67	19,517.65
Oct 14, 2020	0.000002	0.000002	0.000002	0.000002	4,871.77	24,137.94
Oct 13, 2020	0.000002	0.000002	0.000002	0.000002	3,310.81	24,704.02
Oct 12, 2020	0.000002	0.000002	0.000002	0.000002	9,692.53	25,593.18
Oct 11, 2020	0.000002	0.000002	0.000002	0.000002	4,529.61	22,961.31
Oct 10, 2020	0.000002	0.000003	0.000002	0.000002	4,819.02	18,698.90
Oct 09, 2020	0.000001	0.000002	0.000001	0.000002	7,459.40	29,396.82
Oct 08, 2020	0.000002	0.000003	0.000001	0.000001	6,334.59	17,680.63
Oct 07, 2020	0.000001	0.000002	0.000001	0.000002	4,727.80	28,872.04
Oct 06, 2020	0.000002	0.000003	0.000001	0.000001	7,259.14	15,951.99
Oct 05, 2020	0.000001	0.000003	0.000001	0.000002	6,641.03	29,735.55
Oct 04, 2020	0.000001	0.000002	0.000001	0.000001	4,396.44	15,656.00
Oct 03, 2020	0.000001	0.000001	0.000001	0.000001	1,781.78	17,466.70
Oct 02, 2020	0.000001	0.000001	0.000001	0.000001	5,123.99	17,452.43
Oct 01, 2020	0.000001	0.000002	0.000001	0.000001	5,092.11	15,684.14
Sep 30, 2020	0.000001	0.000002	0.000001	0.000001	4,073.56	15,983.05
Sep 29, 2020	0.000001	0.000002	0.000001	0.000001	4,389.80	17,270.29
Sep 28, 2020	0.000001	0.000002	0.000001	0.000001	7,148.52	17,902.10
Sep 27, 2020	0.000001	0.000039	0.000001	0.000001	3,444.61	15,872.14
Sep 26, 2020	0.000001	0.000001	0.000001	0.000001	2,273.45	16,638.74
Sep 25, 2020	0.000002	0.000002	0.000001	0.000001	3,213.53	17,752.06
Sep 24, 2020	0.000002	0.000002	0.000001	0.000002	6,111.93	18,448.20
Sep 23, 2020	0.000002	0.000002	0.000001	0.000002	4,949.44	19,269.18
Sep 22, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 21, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 20, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 19, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 18, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 17, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 16, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 15, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 14, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 13, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 12, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 11, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 10, 2020	0.000100	0.000100	0.000100	0.000100	0	1,205,468
Sep 09, 2020	0.000101	0.000101	0.000100	0.000100	0	1,205,468
Sep 08, 2020	0.000119	0.000119	0.000099	0.000101	11.14	1,215,417
Sep 07, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Sep 06, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Sep 05, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Sep 04, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Sep 03, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Sep 02, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Sep 01, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 31, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 30, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 29, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 28, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 27, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 26, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 25, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 24, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 23, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 22, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 21, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 20, 2020	0.000119	0.000119	0.000119	0.000119	0	1,433,846
Aug 19, 2020	0.000120	0.000120	0.000119	0.000119	0	1,433,846
Aug 18, 2020	0.000089	0.000123	0.000089	0.000120	1.20	1,436,660
Aug 17, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 16, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 15, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 14, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 13, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 12, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 11, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 10, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 09, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 08, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 07, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 06, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 05, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 04, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 03, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
Aug 02, 2020	0.000089	0.000089	0.000089	0.000089	0	1,066,154
