date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.003107	0.003648	0.002897	0.003622	25.14	273,904
Dec 15, 2020	0.002887	0.003112	0.002876	0.003107	1.86	234,957
Dec 14, 2020	0.002489	0.003060	0.002293	0.002887	12.04	218,306
Dec 13, 2020	0.002068	0.002493	0.002061	0.002489	2.54	188,210
Dec 12, 2020	0.001986	0.002080	0.001985	0.002068	27.05	156,352
Dec 11, 2020	0.002009	0.002514	0.001957	0.001988	0.254990	150,312
Dec 10, 2020	0.002226	0.003154	0.001975	0.002009	15.22	151,910
Dec 09, 2020	0.002931	0.003164	0.002190	0.002228	13.26	168,453
Dec 08, 2020	0.002111	0.003027	0.002064	0.002931	20.74	221,641
Dec 07, 2020	0.002128	0.002310	0.002082	0.002111	1.36	159,643
Dec 06, 2020	0.002107	0.002133	0.002079	0.002127	0.270143	160,852
Dec 05, 2020	0.002244	0.002461	0.002086	0.002107	33.16	159,313
Dec 04, 2020	0.002722	0.002732	0.002057	0.002244	22.81	169,696
Dec 03, 2020	0.002688	0.002739	0.002650	0.002723	0.558007	205,875
Dec 02, 2020	0.002632	0.002839	0.002590	0.002688	0.705438	203,282
Dec 01, 2020	0.002944	0.002977	0.002565	0.002633	10.14	199,064
Nov 30, 2020	0.002727	0.002954	0.002381	0.002944	54.48	222,617
Nov 29, 2020	0.002303	0.002730	0.002287	0.002727	2.34	206,181
Nov 28, 2020	0.002395	0.002671	0.002204	0.002303	0.554563	174,165
Nov 27, 2020	0.003087	0.003487	0.002148	0.002395	240.28	181,112
Nov 26, 2020	0.003372	0.003391	0.001962	0.003086	9.08	233,355
Nov 25, 2020	0.002293	0.003476	0.002240	0.003372	55.94	254,977
Nov 24, 2020	0.003489	0.003500	0.002008	0.002293	55.94	173,393
Nov 23, 2020	0.002021	0.003490	0.001980	0.003490	92.17	263,885
Nov 22, 2020	0.001864	0.002961	0.001834	0.002023	151.87	152,993
Nov 21, 2020	0.002421	0.002651	0.001850	0.001864	35.63	140,939
Nov 20, 2020	0.002138	0.002609	0.002132	0.002421	20.59	183,081
Nov 19, 2020	0.001780	0.002174	0.001780	0.002136	7.26	161,490
Nov 18, 2020	0.002117	0.002207	0.001752	0.001780	63.16	134,612
Nov 17, 2020	0.002170	0.002346	0.001828	0.002117	12.98	160,103
Nov 16, 2020	0.002234	0.002241	0.001759	0.001839	3.47	139,028
Nov 15, 2020	0.003374	0.003374	0.001737	0.002234	96.10	168,907
Nov 14, 2020	0.002774	0.003382	0.002533	0.003374	30.31	255,134
Nov 13, 2020	0.002604	0.003431	0.002559	0.002774	59.32	209,757
Nov 12, 2020	0.003454	0.003546	0.001731	0.002604	61.09	196,915
Nov 11, 2020	0.003211	0.003490	0.003211	0.003455	14.46	261,227
Nov 10, 2020	0.003220	0.003223	0.002586	0.003211	54.43	242,821
Nov 09, 2020	0.003096	0.003315	0.002745	0.003220	28.83	243,474
Nov 08, 2020	0.002670	0.003127	0.002654	0.003096	46.88	234,085
