date	open	high	low	close	volume	market_cap
Dec 16, 2020	10.43	11.17	10.30	11.09	0	0
Dec 15, 2020	10.32	10.48	10.25	10.43	0	0
Dec 14, 2020	10.42	10.47	10.23	10.32	90.80	0
Dec 13, 2020	10.01	10.48	9.92	10.42	0	0
Dec 12, 2020	9.87	10.20	9.82	10.01	142.11	0
Dec 11, 2020	10.23	10.24	9.83	9.87	498.36	0
Dec 10, 2020	10.44	10.45	10.12	10.24	0	0
Dec 09, 2020	10.32	10.50	9.92	10.44	1,225.26	0
Dec 08, 2020	10.95	10.97	10.29	10.32	0	0
Dec 07, 2020	10.76	11.03	10.59	10.96	1,233.96	0
Dec 06, 2020	11.14	11.33	10.45	10.76	2,055.93	0
Dec 05, 2020	12.74	13.04	10.95	11.14	8,350.72	0
Dec 04, 2020	13.77	13.79	12.68	12.74	0	0
Dec 03, 2020	13.39	13.86	13.12	13.77	137.49	0
Dec 02, 2020	13.19	13.51	12.97	13.39	85.75	0
Dec 01, 2020	13.99	14.43	13.06	13.19	814.68	0
Nov 30, 2020	13.53	14.46	13.50	13.99	1,858.13	0
Nov 29, 2020	14.98	15.12	12.94	13.53	8,665.20	0
Nov 28, 2020	14.47	15.23	14.18	14.98	132.65	0
Nov 27, 2020	14.76	15.10	13.88	14.47	925.70	0
Nov 26, 2020	16.26	16.41	13.69	14.76	21.20	0
Nov 25, 2020	19.87	19.91	15.87	16.26	8,297.48	0
Nov 24, 2020	20.10	20.47	19.64	19.87	193.59	0
Nov 23, 2020	20.39	21.69	19.57	20.10	6,527.69	0
Nov 22, 2020	20.33	21.29	19.04	20.39	755.65	0
Nov 21, 2020	19.89	20.60	19.29	20.33	3,592.07	0
Nov 20, 2020	18.56	20.23	18.52	19.89	510.92	0
Nov 19, 2020	19.11	19.11	18.37	18.56	564.35	0
Nov 18, 2020	19.22	19.64	18.53	19.11	0	0
Nov 17, 2020	18.58	19.24	18.42	19.23	0	0
Nov 16, 2020	17.67	18.54	17.50	18.30	780.99	0
Nov 15, 2020	20.09	20.09	17.38	17.67	4,922.54	0
Nov 14, 2020	21.82	21.85	19.81	20.09	3,285.65	0
Nov 13, 2020	21.31	21.86	21.06	21.80	227.62	0
Nov 12, 2020	23.02	23.04	20.99	21.32	4,140.24	0
Nov 11, 2020	22.38	23.49	22.38	23.02	406.26	0
Nov 10, 2020	22.23	22.64	22.06	22.39	189.06	0
Nov 09, 2020	22.64	23.11	22.04	22.23	1,534.67	0
Nov 08, 2020	22.38	23.13	22.08	22.64	1,791.67	0
Nov 07, 2020	23.47	24.01	21.98	22.35	333.05	0
Nov 06, 2020	22.14	23.88	22.14	23.46	2,002.62	0
Nov 05, 2020	21.47	22.29	21.28	22.14	201.60	0
Nov 04, 2020	20.73	21.79	20.25	21.47	0	0
Nov 03, 2020	20.57	20.82	19.96	20.74	145.04	0
Nov 02, 2020	21.19	21.58	20.38	20.57	0	0
Nov 01, 2020	20.97	21.26	20.86	21.18	614.92	0
Oct 31, 2020	20.83	21.26	20.74	20.97	3.31	0
Oct 30, 2020	20.96	21.20	20.34	20.83	42.03	0
Oct 29, 2020	21.22	21.43	20.73	20.96	653.89	0
Oct 28, 2020	23.10	23.31	20.87	21.22	2,552.95	0
Oct 27, 2020	21.37	23.42	21.36	23.10	3,587.16	0
Oct 26, 2020	26.31	26.42	21.20	21.37	10,234.46	0
Oct 25, 2020	27.33	27.65	26.29	26.31	1,582.48	0
Oct 24, 2020	27.37	27.73	27.21	27.34	570.36	0
Oct 23, 2020	28.19	28.39	27.28	27.37	0	0
Oct 22, 2020	29.45	30.18	28.19	28.19	6,836.48	0
Oct 21, 2020	27.88	30.37	27.67	29.45	14,913.01	0
Sep 22, 2020	87.45	87.92	72.73	74.93	47,555.03	0
Sep 21, 2020	119.41	138.14	79.51	87.58	346,220	0
Sep 20, 2020	121.77	141.58	111.83	119.41	155,507	0
Sep 19, 2020	97.27	130.06	90.31	121.63	167,303	0
Sep 18, 2020	112.23	129.58	93.37	97.27	45,664.91	0
Sep 17, 2020	97.46	119.73	95.44	112.39	32,910.41	0
Sep 16, 2020	102.53	107.85	82.47	97.46	117,490	0
Sep 15, 2020	112.94	118.38	95.74	102.57	102,977	0
