date	open	high	low	close	volume	market_cap
Dec 16, 2020	4.07	4.29	4.02	4.21	4,274.30	0
Dec 15, 2020	4.13	4.13	4.01	4.07	1,971.56	0
Dec 14, 2020	4.16	4.16	4.07	4.13	0	0
Dec 13, 2020	4.01	4.19	3.98	4.16	0	0
Dec 12, 2020	3.89	4.03	3.88	4.01	1,527.22	0
Dec 11, 2020	3.99	3.99	3.82	3.89	0	0
Dec 10, 2020	4.09	4.10	3.91	3.99	0	0
Dec 09, 2020	4.01	4.17	3.85	4.09	1,445.86	0
Dec 08, 2020	4.30	4.33	3.99	4.01	630.72	0
Dec 07, 2020	4.39	4.39	4.26	4.30	0	0
Dec 06, 2020	4.34	4.41	4.26	4.39	4.40	0
Dec 05, 2020	4.17	4.35	4.12	4.34	4.45	0
Dec 04, 2020	4.48	4.48	4.15	4.17	616.73	0
Dec 03, 2020	4.34	4.51	4.27	4.48	0	0
Dec 02, 2020	4.22	4.36	4.15	4.34	1,110.71	0
Dec 01, 2020	4.46	4.55	4.11	4.22	1,294.38	0
Nov 30, 2020	4.75	4.83	4.30	4.46	7,571.44	0
Nov 29, 2020	4.62	4.76	4.33	4.75	11,609.87	0
Nov 28, 2020	3.86	4.80	3.81	4.62	18,550.16	0
Nov 27, 2020	3.70	3.86	3.60	3.86	1,927.47	0
Nov 26, 2020	4.45	4.46	3.47	3.70	6,313.74	0
Nov 25, 2020	4.47	4.69	4.31	4.45	4,818.29	0
Nov 24, 2020	4.27	4.53	4.17	4.47	5,235.90	0
Nov 23, 2020	3.92	4.27	3.87	4.27	68.47	0
Nov 22, 2020	3.80	4.06	3.62	3.92	1,027.26	0
Nov 21, 2020	3.52	3.80	3.49	3.80	33.83	0
Nov 20, 2020	3.25	3.55	3.25	3.52	295.78	0
Nov 19, 2020	3.32	3.32	3.22	3.25	0	0
Nov 18, 2020	3.42	3.50	3.22	3.32	1,534.03	0
Nov 17, 2020	3.31	3.43	3.28	3.43	0	0
Nov 16, 2020	3.09	3.29	3.06	3.26	8,461.01	0
Nov 15, 2020	3.28	3.28	3.04	3.09	1,226.59	0
Nov 14, 2020	3.32	3.33	3.19	3.28	747.40	0
Nov 13, 2020	3.28	3.33	3.22	3.32	979.79	0
Nov 12, 2020	3.41	3.41	3.23	3.28	1,636.63	0
Nov 11, 2020	3.25	3.48	3.24	3.41	2,477.92	0
Nov 10, 2020	3.22	3.29	3.19	3.25	0	0
Nov 09, 2020	3.33	3.34	3.16	3.22	588.46	0
Nov 08, 2020	3.20	3.35	3.18	3.33	90.48	0
Nov 07, 2020	3.24	3.49	3.13	3.19	4,093.29	0
Nov 06, 2020	2.95	3.26	2.95	3.24	3,272.12	0
Nov 05, 2020	2.86	2.97	2.83	2.95	251.38	0
Nov 04, 2020	2.82	2.94	2.78	2.86	2,328.76	0
Nov 03, 2020	3.07	3.07	2.75	2.82	4,346.31	0
Nov 02, 2020	2.98	3.10	2.83	3.07	3,767.73	0
Nov 01, 2020	2.99	3.00	2.92	2.98	1,137.97	0
Oct 31, 2020	3.09	3.14	2.99	2.99	15,782.21	0
